,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
芝適性,1,6,2,1,1,1,11,1,8,39,1,1,1,1,1,9
距離適性,72,55,39,58,58,49,48,73,99,97,85,83,97,58,58,51
脚質,24,82,88,116,1,100,75,32,116,78,106,26,74,1,1,102
成長,54,44,50,82,116,58,40,71,108,58,86,37,111,58,97,37
馬場適性,34,70,57,35,116,34,82,58,70,20,53,18,20,58,58,62
総合評価,4.48,4.86,4.94,3.07,3.5,3.83,4.04,3.89,3.67,3.33,4.22,4.23,3.69,3.25,3.3,3.56
実績評価,4.48,4.86,4.94,3.07,3.5,3.83,4.04,3.89,3.67,3.33,4.22,4.23,3.69,3.25,3.3,3.56
ポテンシャル評価,4.53,4.88,4.91,2.93,3.25,3.47,3.95,3.64,3.43,1.67,3.66,3.68,3.85,3.0,3.2,3.2
前走レース名,"<a href=""/race/202105021211/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/202109020411/"" title=""大阪杯(G1)"">大阪杯(G1)</a>","<a href=""/race/202105030211/"" title=""安田記念(G1)"">安田記念(G1)</a>","<a href=""/race/202105040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/202106020211/"" title=""中山記念(G2)"">中山記念(G2)</a>","<a href=""/race/202105040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/202101020411/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/202105040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/202101020411/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/202109040211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/202109021211/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/202109030411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/202109040211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/202105040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/202104040811/"" title=""新潟記念(G3)"">新潟記念(G3)</a>","<a href=""/race/202105040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>"
前走オッズ,1.7,1.8,1.5,35.9,2.5,8.7,28.2,40.0,32.2,43.8,5.2,6.7,12.5,45.0,6.0,39.4
前走成績,2,3,2,6,1,3,3,13,6,11,1,4,13,5,2,10
2走前レース名,"<a href=""/race/202106030811/"" title=""皐月賞(G1)"">皐月賞(G1)</a>","<a href=""/race/202005050912/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/202105020811/"" title=""ヴィクトリアマイル(G1)"">ヴィクトリアマイル(G1)</a>","<a href=""/race/202107040111/"" title=""鳴尾記念(G3)"">鳴尾記念(G3)</a>","<a href=""/race/202106010111/"" title=""日刊スポ賞中山金杯(G3)"">日刊スポ賞中山金杯(G3)</a>","<a href=""/race/202104020211/"" title=""新潟大賞典(G3)"">新潟大賞典(G3)</a>","<a href=""/race/202107040111/"" title=""鳴尾記念(G3)"">鳴尾記念(G3)</a>","<a href=""/race/202106030111/"" title=""日経賞(G2)"">日経賞(G2)</a>","<a href=""/race/202109021211/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/202105021212/"" title=""目黒記念(G2)"">目黒記念(G2)</a>","<a href=""/race/202106030111/"" title=""日経賞(G2)"">日経賞(G2)</a>","<a href=""/race/202109021211/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/202109030411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/202104040610/"" title=""朱鷺S(L)"">朱鷺S(L)</a>","<a href=""/race/202102010611/"" title=""函館記念(G3)"">函館記念(G3)</a>","<a href=""/race/202109030411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>"
2走前オッズ,3.7,2.8,1.3,3.7,3.1,3.5,11.3,7.9,12.0,15.1,5.0,7.3,23.5,3.8,4.5,74.0
2走前成績,1,2,1,6,1,2,4,8,7,11,3,3,8,1,1,7
