,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
芝適性,5,25,7,5,10,6,26,5,25,8,10,14,6,20,10,10,8,7
距離適性,56,78,55,100,64,63,60,58,47,77,56,44,61,60,62,58,75,87
脚質,100,39,84,111,61,110,66,84,11,100,56,19,97,6,87,70,36,13
成長,87,80,54,80,95,70,63,76,85,70,59,47,60,46,71,93,78,61
馬場適性,55,50,69,60,43,61,53,62,24,56,50,50,50,46,51,39,45,52
総合評価,4.18,3.79,4.3,3.48,3.5,4.28,3.45,3.58,3.71,3.25,3.86,3.62,3.78,3.59,3.0,3.38,3.92,3.78
実績評価,4.18,3.79,4.3,3.48,3.5,4.28,3.45,3.58,3.71,3.25,3.86,3.62,3.78,3.59,3.0,3.38,3.92,3.78
ポテンシャル評価,4.15,3.6,4.58,3.42,3.17,4.26,3.55,3.42,3.71,3.25,3.69,3.75,3.5,3.45,3.25,3.25,4.0,4.0
前走レース名,"<a href=""/race/200905040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200909030410/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200905040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200908040211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/200906040611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/200906040611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/200905040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200904030611/"" title=""新潟記念(G3)"">新潟記念(G3)</a>","<a href=""/race/200906040611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/200905040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200905040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200909040110/"" title=""朝日チャレンジC(G3)"">朝日チャレンジC(G3)</a>","<a href=""/race/200909030410/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200935092710/"" title=""岩手県知事杯OROカ(G)"">岩手県知事杯OROカ(G)</a>","<a href=""/race/200901020809/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/200904030611/"" title=""新潟記念(G3)"">新潟記念(G3)</a>","<a href=""/race/200906040611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/200908030410/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>"
前走オッズ,11.8,21.4,1.3,4.9,3.1,2.6,10.0,7.5,18.8,40.6,11.5,2.4,8.3,1.7,17.3,9.9,4.6,3.5
前走成績,1,5,2,1,3,2,9,4,14,6,7,1,2,1,3,1,1,9
2走前レース名,"<a href=""/race/200909030410/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200908030410/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/200905030611/"" title=""安田記念(G1)"">安田記念(G1)</a>","<a href=""/race/200909010811/"" title=""阪神大賞典(G2)"">阪神大賞典(G2)</a>","<a href=""/race/200905030811/"" title=""エプソムC(G3)"">エプソムC(G3)</a>","<a href=""/race/200909030410/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200901020809/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/200906020211/"" title=""中山記念(G2)"">中山記念(G2)</a>","<a href=""/race/200809030410/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200909030410/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200904020811/"" title=""関屋記念(G3)"">関屋記念(G3)</a>","<a href=""/race/200904020811/"" title=""関屋記念(G3)"">関屋記念(G3)</a>","<a href=""/race/200907030310/"" title=""金鯱賞(G2)"">金鯱賞(G2)</a>","<a href=""/race/200935071910/"" title=""せきれい賞(G)"">せきれい賞(G)</a>","<a href=""/race/200901011209/"" title=""函館記念(G3)"">函館記念(G3)</a>","<a href=""/race/200910020610/"" title=""小倉記念(G3)"">小倉記念(G3)</a>","<a href=""/race/200901020809/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/200909010811/"" title=""阪神大賞典(G2)"">阪神大賞典(G2)</a>"
2走前オッズ,31.5,6.3,1.8,2.6,3.3,7.1,28.2,4.5,11.3,44.1,4.7,9.7,2.1,1.3,6.5,4.2,6.9,3.7
2走前成績,4,14,1,7,1,1,1,5,1,10,1,4,1,2,1,2,9,1
3走前レース名,"<a href=""/race/200905030611/"" title=""安田記念(G1)"">安田記念(G1)</a>","<a href=""/race/200909010811/"" title=""阪神大賞典(G2)"">阪神大賞典(G2)</a>","<a href=""/race/200905020811/"" title=""ヴィクトリアマイル(G1)"">ヴィクトリアマイル(G1)</a>","<a href=""/race/200805050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200904010311/"" title=""新潟大賞典(G3)"">新潟大賞典(G3)</a>","<a href=""/race/200908030410/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/200907020111/"" title=""トヨタ賞中京記念(G3)"">トヨタ賞中京記念(G3)</a>","<a href=""/race/200906010811/"" title=""アメリカジョッキーC(G2)"">アメリカジョッキーC(G2)</a>","<a href=""/race/200807020311/"" title=""金鯱賞(G2)"">金鯱賞(G2)</a>","<a href=""/race/200904010311/"" title=""新潟大賞典(G3)"">新潟大賞典(G3)</a>","<a href=""/race/200905030611/"" title=""安田記念(G1)"">安田記念(G1)</a>","<a href=""/race/200806030811/"" title=""皐月賞(G1)"">皐月賞(G1)</a>","<a href=""/race/200908020711/"" title=""京都記念(G2)"">京都記念(G2)</a>","<a href=""/race/200909030410/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200901010809/"" title=""巴賞(OP)"">巴賞(OP)</a>","<a href=""/race/200903020811/"" title=""七夕賞(G3)"">七夕賞(G3)</a>","<a href=""/race/200909020410/"" title=""産経大阪杯(G2)"">産経大阪杯(G2)</a>","<a href=""/race/200908020711/"" title=""京都記念(G2)"">京都記念(G2)</a>"
3走前オッズ,20.6,4.0,1.7,7.3,8.4,8.6,2.0,4.5,4.6,7.1,30.0,17.1,1.8,159.9,9.5,5.4,6.2,8.9
3走前成績,4,4,1,5,1,3,2,2,1,4,9,1,2,13,3,3,7,1
