,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
芝適性,9,4,2,6,7,2,5,6,57,4,28,17,15,5,16,14,58,4
距離適性,71,59,57,44,61,61,105,56,46,58,56,62,48,78,69,44,49,55
脚質,87,113,105,99,77,106,112,111,101,103,86,13,10,69,40,99,102,6
成長,72,92,59,64,92,78,67,65,58,61,33,85,63,67,56,33,78,73
馬場適性,56,82,63,57,40,77,58,71,34,36,50,43,45,47,34,86,11,66
総合評価,4.38,3.75,3.5,4.17,4.17,3.5,3.25,3.88,3.5,3.25,3.0,,3.67,3.33,,2.33,4.3,
実績評価,4.38,3.75,3.5,4.17,4.17,3.5,3.25,3.88,3.5,3.25,3.0,,3.67,3.33,,2.33,4.3,
ポテンシャル評価,4.38,3.75,3.0,4.25,4.0,3.5,2.83,2.75,3.07,3.25,3.0,,3.42,3.0,,2.33,4.41,
前走レース名,"<a href=""/race/200309030411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200309030411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200305030211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200305030211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200305030211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200206030811/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200306050611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/200310030211/"" title=""小倉記念(G3)"">小倉記念(G3)</a>","<a href=""/race/200335101310/"" title=""マイルチャンピオンシ(G1)"">マイルチャンピオンシ(G1)</a>","<a href=""/race/200304030611/"" title=""新潟記念(G3)"">新潟記念(G3)</a>","<a href=""/race/200302020411/"" title=""函館記念(G3)"">函館記念(G3)</a>","<a href=""/race/200308030211/"" title=""アンタレスS(G3)"">アンタレスS(G3)</a>","<a href=""/race/2003A8090705/"" title=""ムーラン・ド・ロン(G1)"">ムーラン・ド・ロン(G1)</a>","<a href=""/race/200305030211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200305030211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200308040111/"" title=""夕刊フジ杯大原S(1600万下)"">夕刊フジ杯大原S(1600万下)</a>","<a href=""/race/200335101310/"" title=""マイルチャンピオンシ(G1)"">マイルチャンピオンシ(G1)</a>","<a href=""/race/200305030211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>"
前走オッズ,2.1,30.4,32.4,9.7,8.3,6.9,8.7,6.9,,6.1,7.7,182.7,,12.3,102.8,3.3,,22.6
前走成績,5,2,5,3,4,3,2,1,4,1,6,16,2,2,8,1,5,9
