,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
芝適性,2,22,5,12,16,3,6,14,2,5,21,12,8,5,1,1,3,20
距離適性,58,53,53,64,47,48,69,59,49,71,72,76,78,49,63,72,73,11
脚質,29,75,40,93,82,75,100,94,2,98,94,47,21,95,102,105,66,65
成長,89,63,50,68,52,59,64,79,81,74,61,74,70,62,68,53,75,69
馬場適性,67,26,66,52,75,63,54,50,44,63,46,51,52,75,58,47,22,23
総合評価,4.14,3.65,4.13,3.84,3.66,3.32,3.52,3.49,3.95,3.82,3.15,3.96,3.84,3.54,3.65,3.84,3.88,3.17
実績評価,4.14,3.65,4.13,3.84,3.66,3.32,3.52,3.49,3.95,3.82,3.15,3.96,3.84,3.54,3.65,3.84,3.88,3.17
ポテンシャル評価,4.21,3.2,4.17,3.78,3.57,2.87,2.96,2.56,3.7,3.15,3.06,3.63,3.8,3.38,2.81,3.94,3.75,2.88
前走レース名,"<a href=""/race/201508040311/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/201505040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201505040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201506040711/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201505040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201505040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201501010311/"" title=""札幌日経OP(OP)"">札幌日経OP(OP)</a>","<a href=""/race/201505040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201505040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201505040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201508030411/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/201501020211/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/201508040311/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/201504021211/"" title=""新潟記念(G3)"">新潟記念(G3)</a>","<a href=""/race/201501020211/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/201508040311/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/201505021210/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/201505040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>"
前走オッズ,3.1,8.8,9.2,7.6,5.0,22.7,8.0,6.7,4.9,8.6,5.4,4.6,8.1,10.7,9.6,6.1,6.3,5.6
