,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
芝適性,1,1,1,58,1,1,15,20,7,1,1,1,1,24,15,1,1,1
距離適性,85,58,68,58,115,87,58,58,63,78,87,58,68,29,58,58,58,58
脚質,106,39,26,58,100,105,87,87,86,116,116,116,102,29,1,1,116,58
成長,86,87,64,58,102,116,78,78,29,58,116,87,73,15,87,87,87,58
馬場適性,53,58,33,58,32,102,44,20,44,39,44,20,70,1,58,58,58,58
総合評価,4.22,3.86,4.04,,3.57,3.12,3.58,3.86,3.55,4.0,3.83,3.72,4.1,2.93,4.1,3.63,3.17,3.5
実績評価,4.22,3.86,4.04,,3.57,3.12,3.58,3.86,3.55,4.0,3.83,3.72,4.1,2.93,4.1,3.63,3.17,3.5
ポテンシャル評価,3.66,2.36,3.66,,2.88,2.77,3.42,3.64,3.19,3.5,3.33,3.39,3.9,2.86,4.1,3.13,2.67,3.3
前走レース名,"<a href=""/race/201909040711/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/201906040511/"" title=""朝日セントライト記念(G2)"">朝日セントライト記念(G2)</a>","<a href=""/race/201909040711/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/201901020111/"" title=""札幌日刊スポーツ杯(2勝クラス)"">札幌日刊スポーツ杯(2勝クラス)</a>","<a href=""/race/201909040806/"" title=""3歳以上1勝クラス"">3歳以上1勝クラス</a>","<a href=""/race/201909040711/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/201906040511/"" title=""朝日セントライト記念(G2)"">朝日セントライト記念(G2)</a>","<a href=""/race/201901010610/"" title=""HTB賞(2勝クラス)"">HTB賞(2勝クラス)</a>","<a href=""/race/201906040511/"" title=""朝日セントライト記念(G2)"">朝日セントライト記念(G2)</a>","<a href=""/race/201901010112/"" title=""阿寒湖特別(2勝クラス)"">阿寒湖特別(2勝クラス)</a>","<a href=""/race/201904020810/"" title=""阿賀野川特別(2勝クラス)"">阿賀野川特別(2勝クラス)</a>","<a href=""/race/201906040511/"" title=""朝日セントライト記念(G2)"">朝日セントライト記念(G2)</a>","<a href=""/race/201906040511/"" title=""朝日セントライト記念(G2)"">朝日セントライト記念(G2)</a>","<a href=""/race/201906040511/"" title=""朝日セントライト記念(G2)"">朝日セントライト記念(G2)</a>","<a href=""/race/201909040711/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/201909040711/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/201906040311/"" title=""レインボーS(3勝クラス)"">レインボーS(3勝クラス)</a>","<a href=""/race/201908040209/"" title=""清滝特別(2勝クラス)"">清滝特別(2勝クラス)</a>"
前走オッズ,13.2,14.5,2.6,6.1,4.6,22.8,11.5,3.4,5.8,1.6,2.5,17.8,6.8,135.6,41.6,32.6,8.1,1.1
前走成績,3,2,2,5,1,4,6,1,5,1,1,11,3,9,5,6,3,1
2走前レース名,"<a href=""/race/201909010711/"" title=""若葉S(L)"">若葉S(L)</a>","<a href=""/race/201905021211/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/201905021211/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/201902020510/"" title=""横津岳特別(1勝クラス)"">横津岳特別(1勝クラス)</a>","<a href=""/race/201907030508/"" title=""3歳以上1勝クラス"">3歳以上1勝クラス</a>","<a href=""/race/201905021211/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/201905021211/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/201905020311/"" title=""テレビ東京杯青葉賞(G2)"">テレビ東京杯青葉賞(G2)</a>","<a href=""/race/201905021211/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/201902010208/"" title=""3歳以上1勝クラス"">3歳以上1勝クラス</a>","<a href=""/race/201905030108/"" title=""3歳以上1勝クラス"">3歳以上1勝クラス</a>","<a href=""/race/201905021211/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/201905020810/"" title=""プリンシパルS(L)"">プリンシパルS(L)</a>","<a href=""/race/201905021211/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/201902020610/"" title=""松前特別(2勝クラス)"">松前特別(2勝クラス)</a>","<a href=""/race/201909030710/"" title=""京橋特別(2勝クラス)"">京橋特別(2勝クラス)</a>","<a href=""/race/201903020710/"" title=""いわき特別(2勝クラス)"">いわき特別(2勝クラス)</a>","<a href=""/race/201909040109/"" title=""野分特別(2勝クラス)"">野分特別(2勝クラス)</a>"
2走前オッズ,3.2,67.7,4.3,6.2,7.8,92.9,265.1,13.8,107.9,1.4,2.7,80.0,7.9,420.1,3.3,2.6,4.6,1.7
2走前成績,2,17,3,1,13,8,9,11,5,1,1,10,1,13,1,1,1,2
3走前レース名,"<a href=""/race/201908020709/"" title=""つばき賞(500万下)"">つばき賞(500万下)</a>","<a href=""/race/201906030811/"" title=""皐月賞(G1)"">皐月賞(G1)</a>","<a href=""/race/201906030811/"" title=""皐月賞(G1)"">皐月賞(G1)</a>","<a href=""/race/201905020311/"" title=""テレビ東京杯青葉賞(G2)"">テレビ東京杯青葉賞(G2)</a>","<a href=""/race/201909030506/"" title=""3歳未勝利"">3歳未勝利</a>","<a href=""/race/201908030511/"" title=""京都新聞杯(G2)"">京都新聞杯(G2)</a>","<a href=""/race/201908030511/"" title=""京都新聞杯(G2)"">京都新聞杯(G2)</a>","<a href=""/race/201906030309/"" title=""山吹賞(500万下)"">山吹賞(500万下)</a>","<a href=""/race/201906030811/"" title=""皐月賞(G1)"">皐月賞(G1)</a>","<a href=""/race/201905020810/"" title=""プリンシパルS(L)"">プリンシパルS(L)</a>","<a href=""/race/201905010709/"" title=""フリージア賞(500万下)"">フリージア賞(500万下)</a>","<a href=""/race/201906030811/"" title=""皐月賞(G1)"">皐月賞(G1)</a>","<a href=""/race/201906020606/"" title=""3歳500万下"">3歳500万下</a>","<a href=""/race/201908030511/"" title=""京都新聞杯(G2)"">京都新聞杯(G2)</a>","<a href=""/race/201902020110/"" title=""八雲特別(1勝クラス)"">八雲特別(1勝クラス)</a>","<a href=""/race/201904010710/"" title=""早苗賞(500万下)"">早苗賞(500万下)</a>","<a href=""/race/201903020109/"" title=""南相馬特別(1勝クラス)"">南相馬特別(1勝クラス)</a>","<a href=""/race/201908030109/"" title=""あずさ賞(500万下)"">あずさ賞(500万下)</a>"
3走前オッズ,4.5,35.4,9.0,138.7,9.3,34.6,4.1,6.4,30.2,7.3,2.9,51.4,9.0,32.6,2.2,2.5,3.1,4.2
3走前成績,1,14,2,13,1,1,5,1,17,3,7,15,1,4,1,1,1,1
