,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
芝適性,10,4,3,12,1,5,16,4,5,6,1,1,1,10,5,1,1,1
距離適性,75,62,108,76,58,32,53,57,58,111,58,58,73,58,58,63,93,52
脚質,49,75,1,47,116,100,58,13,109,82,72,1,116,116,101,102,83,1
成長,62,62,65,74,67,54,47,70,53,91,66,58,60,58,63,68,58,66
馬場適性,38,57,24,51,29,54,47,55,64,18,58,58,69,68,58,58,75,26
総合評価,4.11,3.44,3.53,3.96,3.07,2.7,3.25,3.5,3.64,3.5,3.0,2.17,2.72,2.75,2.61,3.65,3.79,3.13
実績評価,4.11,3.44,3.53,3.96,3.07,2.7,3.25,3.5,3.64,3.5,3.0,2.17,2.72,2.75,2.61,3.65,3.79,3.13
ポテンシャル評価,3.76,2.87,3.23,3.63,3.0,2.5,2.5,3.04,3.18,3.0,3.08,2.17,2.41,2.5,2.61,2.81,4.07,2.75
前走レース名,"<a href=""/race/201309040711/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/201309040711/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/201309040909/"" title=""兵庫特別(1000万下)"">兵庫特別(1000万下)</a>","<a href=""/race/201309040711/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/201306040511/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/201309040209/"" title=""野分特別(1000万下)"">野分特別(1000万下)</a>","<a href=""/race/201306040511/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/201309040711/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/201309040711/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/201309040711/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/201309040711/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/201309040711/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/201309040711/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/201309040111/"" title=""西宮S(1600万下)"">西宮S(1600万下)</a>","<a href=""/race/201306040511/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/201306040511/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/201306040511/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/201306040810/"" title=""習志野特別(1000万下)"">習志野特別(1000万下)</a>"
前走オッズ,1.4,7.3,3.9,10.5,4.9,1.3,11.5,23.0,56.2,83.6,22.7,189.1,33.6,9.6,6.2,7.9,3.3,18.3
前走成績,1,3,1,7,5,1,3,5,4,10,8,6,2,2,1,2,13,13
