,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
芝適性,5,10,7,9,19,16,17,17,26,56,29,36,20,10,16,10,44,19
距離適性,100,91,79,67,65,74,68,77,60,74,71,77,54,58,55,56,70,56
脚質,111,64,67,106,40,102,94,51,66,76,22,41,90,67,26,56,24,38
成長,80,77,72,76,50,62,76,60,63,60,77,70,53,80,61,59,66,54
馬場適性,60,57,52,72,39,52,62,55,53,43,36,38,60,56,54,50,45,51
総合評価,3.48,3.0,3.86,3.36,3.2,,3.56,,3.45,3.0,3.3,2.9,2.83,,2.67,3.86,,
実績評価,3.48,3.0,3.86,3.36,3.2,,3.56,,3.45,3.0,3.3,2.9,2.83,,2.67,3.86,,
ポテンシャル評価,3.42,2.5,3.79,3.29,3.0,,3.06,,3.55,3.0,3.0,2.8,2.83,,2.67,3.69,,
前走レース名,"<a href=""/race/200809040610/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200809040610/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200809040610/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200809040109/"" title=""野分特別(1000万下)"">野分特別(1000万下)</a>","<a href=""/race/200806040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/200809040610/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200809040210/"" title=""朝日チャレンジC(G3)"">朝日チャレンジC(G3)</a>","<a href=""/race/200806040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/200809040610/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200806040809/"" title=""習志野特別(1000万下)"">習志野特別(1000万下)</a>","<a href=""/race/200809040610/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200809040610/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200805040110/"" title=""本栖湖特別(1000万下)"">本栖湖特別(1000万下)</a>","<a href=""/race/200809040310/"" title=""西宮S(1600万下)"">西宮S(1600万下)</a>","<a href=""/race/200809040610/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200809040610/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200809040809/"" title=""兵庫特別(1000万下)"">兵庫特別(1000万下)</a>","<a href=""/race/200806040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>"
前走オッズ,4.2,128.6,31.1,2.5,3.1,81.5,20.8,18.5,21.0,10.4,133.8,107.4,2.1,6.1,25.9,8.1,6.1,11.5
前走成績,3,12,6,1,2,4,7,1,8,1,5,17,1,1,7,9,1,3
2走前レース名,"<a href=""/race/200804030312/"" title=""阿賀野川特別(1000万下)"">阿賀野川特別(1000万下)</a>","<a href=""/race/200805030410/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/200810030509/"" title=""玄海特別(1000万下)"">玄海特別(1000万下)</a>","<a href=""/race/200810030509/"" title=""玄海特別(1000万下)"">玄海特別(1000万下)</a>","<a href=""/race/200801010409/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/200805030410/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/200810020509/"" title=""高千穂特別(1000万下)"">高千穂特別(1000万下)</a>","<a href=""/race/200804030312/"" title=""阿賀野川特別(1000万下)"">阿賀野川特別(1000万下)</a>","<a href=""/race/200807020310/"" title=""白百合S(OP)"">白百合S(OP)</a>","<a href=""/race/200806040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/200805030511/"" title=""ユニコーンS(G3)"">ユニコーンS(G3)</a>","<a href=""/race/200805030410/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/200804020410/"" title=""佐渡特別(1000万下)"">佐渡特別(1000万下)</a>","<a href=""/race/200810030709/"" title=""不知火特別(1000万下)"">不知火特別(1000万下)</a>","<a href=""/race/200809030711/"" title=""三田特別(1000万下)"">三田特別(1000万下)</a>","<a href=""/race/200805030410/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/200805030410/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/200803020611/"" title=""ラジオNIKKEI賞(G3)"">ラジオNIKKEI賞(G3)</a>"
2走前オッズ,3.5,89.8,4.1,1.6,3.4,66.0,12.1,3.9,4.9,140.1,22.9,41.1,2.2,7.4,5.7,49.2,86.9,10.0
2走前成績,1,8,1,2,6,9,1,3,1,16,12,17,5,1,1,2,10,2
