,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
芝適性,18,6,11,10,23,30,8,8,52,11,20,20,81,11,9,24,43,95
距離適性,93,71,66,82,71,68,56,79,51,90,71,68,70,60,68,57,58,61
脚質,100,104,9,24,75,79,100,38,22,83,73,41,56,75,82,20,72,69
成長,80,60,50,67,84,64,45,66,46,85,63,64,68,58,53,53,64,75
馬場適性,37,44,50,27,45,50,52,66,50,49,50,53,71,57,53,68,50,55
総合評価,3.94,3.91,3.0,4.14,3.5,,3.83,3.25,3.0,3.38,3.0,,2.75,3.33,3.5,3.0,,3.0
実績評価,3.94,3.91,3.0,4.14,3.5,,3.83,3.25,3.0,3.38,3.0,,2.75,3.33,3.5,3.0,,3.0
ポテンシャル評価,3.91,3.44,2.67,4.24,3.5,,3.83,3.25,3.0,3.5,2.75,,2.75,3.33,2.5,3.0,,3.08
前走レース名,"<a href=""/race/200607030611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200607030611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200607030611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200607030611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200601020611/"" title=""HTB賞(1000万下)"">HTB賞(1000万下)</a>","<a href=""/race/200606040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/200605040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200605030410/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/200601020111/"" title=""TVh賞(1000万下)"">TVh賞(1000万下)</a>","<a href=""/race/200606040710/"" title=""九十九里特別(1000万下)"">九十九里特別(1000万下)</a>","<a href=""/race/200606040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/200607030611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200607030411/"" title=""納屋橋S(1600万下)"">納屋橋S(1600万下)</a>","<a href=""/race/200606040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/200606040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/200606040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/200606040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/200606040812/"" title=""利根川特別(1000万下)"">利根川特別(1000万下)</a>"
前走オッズ,42.3,8.6,3.6,1.6,1.6,12.2,13.4,34.2,3.2,5.8,28.5,36.3,3.4,11.3,2.4,67.8,45.4,2.4
前走成績,3,1,7,2,1,9,4,9,1,1,3,9,3,2,6,1,11,1
