,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
芝適性,4,3,7,3,10,17,9,1,1,17,3,11,8,58,1,1,13,58
距離適性,85,97,51,68,83,99,83,116,111,87,55,71,92,58,87,116,69,39
脚質,71,106,41,112,71,80,69,116,116,26,95,99,39,58,1,58,45,1
成長,49,98,60,49,92,83,102,82,109,68,51,71,87,58,29,58,66,24
馬場適性,42,14,27,45,34,49,7,58,42,29,58,48,42,58,58,58,69,82
総合評価,4.28,4.17,4.14,4.21,3.93,3.7,3.64,3.42,3.95,3.17,3.72,3.3,4.0,,2.75,3.0,3.36,1.75
実績評価,4.28,4.17,4.14,4.21,3.93,3.7,3.64,3.42,3.95,3.17,3.72,3.3,4.0,,2.75,3.0,3.36,1.75
ポテンシャル評価,4.14,3.96,3.75,4.23,3.58,3.2,3.45,3.0,3.36,2.83,3.14,2.7,3.64,,2.5,2.67,2.64,1.75
前走レース名,"<a href=""/race/201609040611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/201601020211/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/201609040611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/201606040411/"" title=""朝日セントライト記念(G2)"">朝日セントライト記念(G2)</a>","<a href=""/race/201609040611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/201609040809/"" title=""兵庫特別(1000万下)"">兵庫特別(1000万下)</a>","<a href=""/race/201606040411/"" title=""朝日セントライト記念(G2)"">朝日セントライト記念(G2)</a>","<a href=""/race/201609040611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/201609040611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/201609030409/"" title=""三田特別(1000万下)"">三田特別(1000万下)</a>","<a href=""/race/201606040411/"" title=""朝日セントライト記念(G2)"">朝日セントライト記念(G2)</a>","<a href=""/race/201601020111/"" title=""札幌日刊スポーツ杯(1000万下)"">札幌日刊スポーツ杯(1000万下)</a>","<a href=""/race/201606040710/"" title=""習志野特別(1000万下)"">習志野特別(1000万下)</a>","<a href=""/race/201609040611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/201609040611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/201606040509/"" title=""九十九里特別(1000万下)"">九十九里特別(1000万下)</a>","<a href=""/race/201609040611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/201609040809/"" title=""兵庫特別(1000万下)"">兵庫特別(1000万下)</a>"
前走オッズ,1.2,12.3,6.7,1.4,27.4,2.6,13.5,22.2,19.0,1.7,8.1,2.5,6.6,117.4,69.0,15.2,59.4,7.5
