,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
芝適性,7,8,12,6,11,12,10,4,13,18,15,7,54,40,9,30,50,17
距離適性,95,99,54,70,61,83,63,59,50,63,57,68,43,54,61,50,83,64
脚質,38,87,79,95,16,82,102,74,87,44,73,89,68,32,86,99,27,28
成長,83,81,49,66,53,77,60,47,65,63,64,72,84,42,44,48,65,62
馬場適性,67,51,45,71,42,60,53,51,63,68,69,35,35,48,64,56,32,44
総合評価,3.5,3.55,3.1,3.5,3.3,2.63,2.86,3.63,3.89,,2.58,4.24,,2.67,3.7,3.8,3.58,3.25
実績評価,3.5,3.55,3.1,3.5,3.3,2.63,2.86,3.63,3.89,,2.58,4.24,,2.67,3.7,3.8,3.58,3.25
ポテンシャル評価,3.6,3.55,3.1,3.33,3.2,2.75,2.86,3.63,3.45,,2.75,4.37,,2.67,3.58,3.2,3.42,3.25
前走レース名,"<a href=""/race/200909040509/"" title=""野分特別(1000万下)"">野分特別(1000万下)</a>","<a href=""/race/200906040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/200909040610/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200909040610/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200909040610/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200908040111/"" title=""夕刊フジ杯大原S(1600万下)"">夕刊フジ杯大原S(1600万下)</a>","<a href=""/race/200906040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/200909040610/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200909040610/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200908040111/"" title=""夕刊フジ杯大原S(1600万下)"">夕刊フジ杯大原S(1600万下)</a>","<a href=""/race/200906040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/200906040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/200910030409/"" title=""フィリピンT(1000万下)"">フィリピンT(1000万下)</a>","<a href=""/race/200906040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/200909040610/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200909040110/"" title=""朝日チャレンジC(G3)"">朝日チャレンジC(G3)</a>","<a href=""/race/200901021008/"" title=""阿寒湖特別(1000万下)"">阿寒湖特別(1000万下)</a>","<a href=""/race/200909040610/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>"
前走オッズ,3.7,23.6,17.1,24.0,3.9,3.3,11.2,34.6,19.4,14.9,2.4,4.3,7.9,267.6,2.5,11.6,3.3,3.8
前走成績,1,3,3,1,2,9,2,7,10,13,4,1,1,15,4,2,1,11
2走前レース名,"<a href=""/race/200904030710/"" title=""弥彦特別(1000万下)"">弥彦特別(1000万下)</a>","<a href=""/race/200904030410/"" title=""阿賀野川特別(1000万下)"">阿賀野川特別(1000万下)</a>","<a href=""/race/200905030410/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/200903020611/"" title=""ラジオNIKKEI賞(G3)"">ラジオNIKKEI賞(G3)</a>","<a href=""/race/200905030410/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/200901010209/"" title=""HTB賞(1000万下)"">HTB賞(1000万下)</a>","<a href=""/race/200904020710/"" title=""信濃川特別(1000万下)"">信濃川特別(1000万下)</a>","<a href=""/race/200901020809/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/200905030410/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/200909040411/"" title=""美作特別(1000万下)"">美作特別(1000万下)</a>","<a href=""/race/200909030709/"" title=""三田特別(1000万下)"">三田特別(1000万下)</a>","<a href=""/race/200905030410/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/200910020412/"" title=""3歳以上500万下"">3歳以上500万下</a>","<a href=""/race/200901010809/"" title=""巴賞(OP)"">巴賞(OP)</a>","<a href=""/race/200905030410/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/200905030410/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/200901011211/"" title=""松前特別(1000万下)"">松前特別(1000万下)</a>","<a href=""/race/200905030410/"" title=""東京優駿(G1)"">東京優駿(G1)</a>"
2走前オッズ,3.6,9.0,9.0,6.7,9.9,2.4,2.8,24.0,15.3,12.8,3.0,25.1,5.4,6.1,2.1,38.1,6.8,23.3
2走前成績,5,2,13,4,2,1,1,10,14,1,1,4,1,11,12,15,2,3
3走前レース名,"<a href=""/race/200908030406/"" title=""3歳500万下"">3歳500万下</a>","<a href=""/race/200910020510/"" title=""高千穂特別(1000万下)"">高千穂特別(1000万下)</a>","<a href=""/race/200906030811/"" title=""皐月賞(G1)"">皐月賞(G1)</a>","<a href=""/race/200907030309/"" title=""白百合S(OP)"">白百合S(OP)</a>","<a href=""/race/200906030811/"" title=""皐月賞(G1)"">皐月賞(G1)</a>","<a href=""/race/200907030309/"" title=""白百合S(OP)"">白百合S(OP)</a>","<a href=""/race/200904020110/"" title=""五頭連峰特別(1000万下)"">五頭連峰特別(1000万下)</a>","<a href=""/race/200905030410/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/200906030811/"" title=""皐月賞(G1)"">皐月賞(G1)</a>","<a href=""/race/200909030811/"" title=""3歳以上500万下"">3歳以上500万下</a>","<a href=""/race/200907030807/"" title=""3歳500万下"">3歳500万下</a>","<a href=""/race/200906030811/"" title=""皐月賞(G1)"">皐月賞(G1)</a>","<a href=""/race/200909030512/"" title=""3歳以上500万下"">3歳以上500万下</a>","<a href=""/race/200907030309/"" title=""白百合S(OP)"">白百合S(OP)</a>","<a href=""/race/200906030811/"" title=""皐月賞(G1)"">皐月賞(G1)</a>","<a href=""/race/200905020611/"" title=""NHKマイルC(G1)"">NHKマイルC(G1)</a>","<a href=""/race/200901010811/"" title=""北海ハンデキャップ(1000万下)"">北海ハンデキャップ(1000万下)</a>","<a href=""/race/200905020511/"" title=""プリンシパルS(OP)"">プリンシパルS(OP)</a>"
3走前オッズ,2.5,2.1,21.2,7.1,5.3,6.8,8.0,70.2,51.3,8.4,1.5,24.2,17.4,77.5,6.1,3.3,101.7,3.0
3走前成績,1,8,3,1,13,2,4,6,2,1,1,8,3,4,1,9,3,2
