,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
芝適性,6,3,2,18,6,24,8,4,12,5,20,7,6,10,31,4,29,20
距離適性,73,96,64,54,51,47,80,59,67,55,70,84,64,68,78,58,60,68
脚質,107,109,97,50,89,47,48,108,25,99,51,39,49,73,24,31,41,13
成長,74,76,63,58,48,58,76,62,57,63,66,82,53,49,70,62,58,43
馬場適性,15,32,84,54,63,44,36,56,47,44,63,52,58,49,38,58,21,41
総合評価,4.35,4.09,3.55,2.83,3.36,,3.85,3.7,3.36,3.68,3.0,3.21,2.38,3.33,3.0,3.0,3.74,3.0
実績評価,4.35,4.09,3.55,2.83,3.36,,3.85,3.7,3.36,3.68,3.0,3.21,2.38,3.33,3.0,3.0,3.74,3.0
ポテンシャル評価,4.37,3.75,3.32,2.75,3.18,,3.33,3.28,3.43,3.27,2.75,2.64,2.5,3.0,2.83,3.0,3.66,3.0
前走レース名,"<a href=""/race/201109050611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/201109050611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/201106040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/201101020511/"" title=""HTB賞(1000万下)"">HTB賞(1000万下)</a>","<a href=""/race/201106040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/201109050708/"" title=""3歳以上500万下"">3歳以上500万下</a>","<a href=""/race/201106040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/201109050611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/201106040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/201109050611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/201109050610/"" title=""ムーンライトH(1600万下)"">ムーンライトH(1600万下)</a>","<a href=""/race/201106040510/"" title=""九十九里特別(1000万下)"">九十九里特別(1000万下)</a>","<a href=""/race/201109050809/"" title=""兵庫特別(1000万下)"">兵庫特別(1000万下)</a>","<a href=""/race/201109050409/"" title=""美作特別(1000万下)"">美作特別(1000万下)</a>","<a href=""/race/201109050809/"" title=""兵庫特別(1000万下)"">兵庫特別(1000万下)</a>","<a href=""/race/201109050611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/201106040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/201108050209/"" title=""清滝特別(1000万下)"">清滝特別(1000万下)</a>"
前走オッズ,1.7,4.5,4.1,1.8,3.1,2.6,21.8,7.7,13.3,6.4,4.6,3.7,26.1,5.8,13.7,50.5,3.8,8.3
前走成績,1,2,2,2,3,1,1,5,11,3,6,5,4,1,1,6,4,1
