,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
芝適性,7,4,6,7,4,10,5,9,4,60,15,6,6,4,99,11,55,9
距離適性,110,97,60,65,88,110,63,91,47,62,42,61,89,78,97,60,50,76
脚質,13,85,80,59,102,87,96,17,90,27,81,84,86,9,83,2,1,5
成長,61,73,34,67,74,81,71,85,46,61,41,57,72,52,80,65,42,60
馬場適性,18,67,27,47,68,34,48,65,89,35,45,45,58,22,41,54,36,60
総合評価,3.8,3.57,4.14,4.31,,3.33,3.25,3.5,3.88,,,,3.25,,,2.75,,
実績評価,3.8,3.57,4.14,4.31,,3.33,3.25,3.5,3.88,,,,3.25,,,2.75,,
ポテンシャル評価,3.5,3.29,4.07,4.31,,3.17,3.25,3.5,3.25,,,,2.75,,,2.25,,
前走レース名,"<a href=""/race/200309040611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200309040611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200309040611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200309040611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200309040611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200306050411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/200306050411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/200308040109/"" title=""鳴滝特別(1000万下)"">鳴滝特別(1000万下)</a>","<a href=""/race/200309040611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200309040611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200306050411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/200309040711/"" title=""ポートアイランドS(OP)"">ポートアイランドS(OP)</a>","<a href=""/race/200309040611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200306050411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/200305030112/"" title=""3歳以上1000万下"">3歳以上1000万下</a>","<a href=""/race/200301020611/"" title=""UHB賞(1000万下)"">UHB賞(1000万下)</a>","<a href=""/race/200305030110/"" title=""本栖湖特別(1000万下)"">本栖湖特別(1000万下)</a>","<a href=""/race/200308040109/"" title=""鳴滝特別(1000万下)"">鳴滝特別(1000万下)</a>"
前走オッズ,10.0,13.0,2.9,3.9,32.7,6.5,5.1,3.6,2.4,144.8,31.9,20.2,94.3,15.2,5.7,2.5,16.9,7.0
