,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
芝適性,1,20,1,3,1,1,7,58,1,1,1,58,8,58,1,1,1,1
距離適性,111,82,116,65,83,78,66,58,58,58,102,116,108,58,78,39,58,58
脚質,1,116,1,113,116,82,65,58,91,116,29,116,104,58,1,116,1,1
成長,101,116,58,77,64,92,97,58,58,1,58,58,76,58,58,102,29,58
馬場適性,10,10,58,5,64,17,58,58,44,1,58,58,1,58,58,1,58,58
総合評価,4.78,3.92,4.0,4.26,4.06,3.69,3.9,,3.06,3.17,3.13,3.25,3.56,,3.67,3.7,2.33,3.33
実績評価,4.78,3.92,4.0,4.26,4.06,3.69,3.9,,3.06,3.17,3.13,3.25,3.56,,3.67,3.7,2.33,3.33
ポテンシャル評価,4.64,3.5,3.5,3.93,3.72,2.81,3.6,,2.56,3.0,2.75,2.5,3.0,,3.17,3.4,2.33,2.5
前走レース名,"<a href=""/race/202106040511/"" title=""朝日セントライト記念(G2)"">朝日セントライト記念(G2)</a>","<a href=""/race/202106040511/"" title=""朝日セントライト記念(G2)"">朝日セントライト記念(G2)</a>","<a href=""/race/202107050409/"" title=""木曽川特別(2勝クラス)"">木曽川特別(2勝クラス)</a>","<a href=""/race/202107050711/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/202105021211/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/202109040209/"" title=""三田特別(2勝クラス)"">三田特別(2勝クラス)</a>","<a href=""/race/202110040110/"" title=""柳川特別(2勝クラス)"">柳川特別(2勝クラス)</a>","<a href=""/race/202101020311/"" title=""札幌日刊スポーツ杯(2勝クラス)"">札幌日刊スポーツ杯(2勝クラス)</a>","<a href=""/race/202106040511/"" title=""朝日セントライト記念(G2)"">朝日セントライト記念(G2)</a>","<a href=""/race/202106040511/"" title=""朝日セントライト記念(G2)"">朝日セントライト記念(G2)</a>","<a href=""/race/202107050711/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/202106040610/"" title=""九十九里特別(2勝クラス)"">九十九里特別(2勝クラス)</a>","<a href=""/race/202107050711/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/202107050711/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/202106040511/"" title=""朝日セントライト記念(G2)"">朝日セントライト記念(G2)</a>","<a href=""/race/202103010211/"" title=""ラジオNIKKEI賞(G3)"">ラジオNIKKEI賞(G3)</a>","<a href=""/race/202107050909/"" title=""浜名湖特別(2勝クラス)"">浜名湖特別(2勝クラス)</a>","<a href=""/race/202106040511/"" title=""朝日セントライト記念(G2)"">朝日セントライト記念(G2)</a>"
前走オッズ,2.9,9.8,2.7,3.0,23.7,3.6,2.7,4.5,42.7,18.9,33.0,8.6,26.5,41.1,6.4,7.8,3.3,99.5
前走成績,13,3,1,1,16,1,1,1,1,5,7,1,2,3,9,1,2,11
2走前レース名,"<a href=""/race/202105021211/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/202006050711/"" title=""ホープフルS(G1)"">ホープフルS(G1)</a>","<a href=""/race/202110030409/"" title=""タイランドC(1勝クラス)"">タイランドC(1勝クラス)</a>","<a href=""/race/202105021211/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/202106030811/"" title=""皐月賞(G1)"">皐月賞(G1)</a>","<a href=""/race/202107030111/"" title=""京都新聞杯(G2)"">京都新聞杯(G2)</a>","<a href=""/race/202110030108/"" title=""国東特別(1勝クラス)"">国東特別(1勝クラス)</a>","<a href=""/race/202102011208/"" title=""3歳以上1勝クラス"">3歳以上1勝クラス</a>","<a href=""/race/202103010211/"" title=""ラジオNIKKEI賞(G3)"">ラジオNIKKEI賞(G3)</a>","<a href=""/race/202105021211/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/202107030811/"" title=""白百合S(L)"">白百合S(L)</a>","<a href=""/race/202102010809/"" title=""北海ハンデキャップ(2勝クラス)"">北海ハンデキャップ(2勝クラス)</a>","<a href=""/race/202105021211/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/202101020509/"" title=""ルスツ特別(1勝クラス)"">ルスツ特別(1勝クラス)</a>","<a href=""/race/202105021211/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/202105020511/"" title=""プリンシパルS(L)"">プリンシパルS(L)</a>","<a href=""/race/202107050209/"" title=""長久手特別(2勝クラス)"">長久手特別(2勝クラス)</a>","<a href=""/race/202103010211/"" title=""ラジオNIKKEI賞(G3)"">ラジオNIKKEI賞(G3)</a>"
2走前オッズ,30.4,5.7,3.1,40.2,19.6,14.6,1.6,2.1,9.5,95.6,5.2,12.7,57.0,3.7,43.2,2.4,4.0,25.0
2走前成績,6,2,1,3,7,5,1,1,12,14,1,7,11,1,8,4,2,2
3走前レース名,"<a href=""/race/202106030811/"" title=""皐月賞(G1)"">皐月賞(G1)</a>","<a href=""/race/202005040509/"" title=""アイビーS(L)"">アイビーS(L)</a>","<a href=""/race/202109021109/"" title=""矢車賞(1勝クラス)"">矢車賞(1勝クラス)</a>","<a href=""/race/202106030811/"" title=""皐月賞(G1)"">皐月賞(G1)</a>","<a href=""/race/202109010610/"" title=""すみれS(L)"">すみれS(L)</a>","<a href=""/race/202104010110/"" title=""ひめさゆり賞(1勝クラス)"">ひめさゆり賞(1勝クラス)</a>","<a href=""/race/202107030509/"" title=""メルボルンT(1勝クラス)"">メルボルンT(1勝クラス)</a>","<a href=""/race/202105010409/"" title=""ゆりかもめ賞(1勝クラス)"">ゆりかもめ賞(1勝クラス)</a>","<a href=""/race/202106030811/"" title=""皐月賞(G1)"">皐月賞(G1)</a>","<a href=""/race/202106030811/"" title=""皐月賞(G1)"">皐月賞(G1)</a>","<a href=""/race/202109020505/"" title=""3歳1勝クラス"">3歳1勝クラス</a>","<a href=""/race/202103010211/"" title=""ラジオNIKKEI賞(G3)"">ラジオNIKKEI賞(G3)</a>","<a href=""/race/202107030111/"" title=""京都新聞杯(G2)"">京都新聞杯(G2)</a>","<a href=""/race/202102010909/"" title=""八甲田山特別(1勝クラス)"">八甲田山特別(1勝クラス)</a>","<a href=""/race/202106030811/"" title=""皐月賞(G1)"">皐月賞(G1)</a>","<a href=""/race/202106020507/"" title=""3歳1勝クラス"">3歳1勝クラス</a>","<a href=""/race/202104030611/"" title=""レパードS(G3)"">レパードS(G3)</a>","<a href=""/race/202106030811/"" title=""皐月賞(G1)"">皐月賞(G1)</a>"
3走前オッズ,17.0,3.5,11.7,14.3,1.4,2.8,1.9,4.7,32.7,10.1,3.6,42.9,4.3,2.4,15.7,2.6,14.0,158.0
3走前成績,2,1,5,3,1,1,3,5,16,9,4,16,1,5,6,1,4,12
