0,1,10,11,12,13,14,15,2,3,4,5,6,7,8,9,Unnamed: 0
サトノダイヤモンド,キタサンブラック,アドマイヤデウス,ヒットザターゲット,サトノノブレス,ムスカテール,マルターズアポジー,サムソンズプライド,ゴールドアクター,ヤマカツエース,ミッキークイーン,シュヴァルグラン,アルバート,サウンズオブアース,デニムアンドルビー,マリアライト,馬名
ルメール,武豊,岩田康誠,田辺裕信,シュミノ,中谷雄太,武士沢友,横山典弘,吉田隼人,池添謙一,浜中俊,福永祐一,戸崎圭太,Ｍ．デム,バルザロ,蛯名正義,騎手名
11,1,10,9,12,3,7,5,2,4,8,14,15,6,13,16,枠順
2:32.6,2:32.6,2:33.6,2:34.1,2:34.8,2:34.9,2:35.0,2:35.6,2:32.7,2:32.9,2:33.0,2:33.1,2:33.3,2:33.4,2:33.4,2:33.6,走破タイム
2.6,2.7,51.5,189.6,155.2,202.3,83.1,180.3,7.9,32.6,21.9,16.2,68.0,8.7,71.0,19.3,オッズ
4-3-3-3,2-2-2-2,4-5-6-6,16-16-15-13,7-5-3-8,14-14-13-14,1-1-1-1,6-7-10-14,3-3-3-3,9-10-13-12,9-9-6-6,11-10-8-5,11-12-15-16,11-12-10-8,14-14-10-8,7-7-8-11,通過順位
502(+4),536(0),490(+14),520(+4),510(-2),492(+2),536(+8),484(0),498(-6),508(+4),434(-8),484(+2),472(0),506(+4),444(0),436(+4),馬体重
牡3,牡4,牡5,牡8,牡6,牡8,牡4,牡6,牡5,牡4,牝4,牡4,牡5,牡5,牝6,牝5,性齢
55,57,57,57,57,57,57,57,57,57,55,57,57,57,55,55,斤量
35.5,35.8,36.3,36.1,37.8,37.1,38.3,38.0,35.7,35.1,35.8,35.7,35.3,35.8,35.7,36.2,上がり3ハロン
1,2,9,15,13,16,12,14,3,8,7,5,10,4,11,6,人気
4,3,21,11,4,24,5,,2,1,9,3,15,2,1,4,芝適性
85,106,72,65,62,82,54,,99,47,61,97,116,81,65,81,距離適性
71,3,94,96,75,93,1,,21,86,103,99,109,105,114,97,脚質
49,97,61,83,62,76,89,,99,97,36,101,107,86,58,93,成長
42,20,46,61,57,60,38,,35,29,63,57,44,60,22,26,馬場適性
4.28,4.58,3.15,3.34,3.44,3.31,3.71,,4.22,3.88,4.0,3.72,3.58,3.7,3.39,4.29,総合評価
4.28,4.58,3.15,3.34,3.44,3.31,3.71,,4.22,3.88,4.0,3.72,3.58,3.7,3.39,4.29,実績評価
4.14,4.67,3.06,2.98,2.87,2.92,3.33,,4.09,3.74,3.9,3.49,3.58,3.32,3.24,4.08,ポテンシャル評価
"<a href=""/race/201608040711/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/201605050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201605040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201605050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201607040111/"" title=""金鯱賞(G2)"">金鯱賞(G2)</a>","<a href=""/race/201607040111/"" title=""金鯱賞(G2)"">金鯱賞(G2)</a>","<a href=""/race/201603030411/"" title=""福島記念(G3)"">福島記念(G3)</a>",,"<a href=""/race/201605050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201607040111/"" title=""金鯱賞(G2)"">金鯱賞(G2)</a>","<a href=""/race/201608050411/"" title=""エリザベス女王杯(G1)"">エリザベス女王杯(G1)</a>","<a href=""/race/201605050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201606050111/"" title=""ステイヤーズS(G2)"">ステイヤーズS(G2)</a>","<a href=""/race/201605050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201607040111/"" title=""金鯱賞(G2)"">金鯱賞(G2)</a>","<a href=""/race/201608050411/"" title=""エリザベス女王杯(G1)"">エリザベス女王杯(G1)</a>",前走レース名
2.3,3.8,47.8,239.4,4.1,147.6,14.5,,4.5,9.9,3.6,13.9,1.3,12.2,17.6,3.1,前走オッズ
1,1,6,15,3,7,1,,4,1,3,3,1,2,8,6,前走成績
"<a href=""/race/201609040611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/201608040311/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/201608040311/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/201608040311/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/201605040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201605050211/"" title=""アルゼンチン共和国杯(G2)"">アルゼンチン共和国杯(G2)</a>","<a href=""/race/201606040711/"" title=""秋風S(1600万下)"">秋風S(1600万下)</a>",,"<a href=""/race/201606040611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201605040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201605020811/"" title=""ヴィクトリアマイル(G1)"">ヴィクトリアマイル(G1)</a>","<a href=""/race/201605050211/"" title=""アルゼンチン共和国杯(G2)"">アルゼンチン共和国杯(G2)</a>","<a href=""/race/201605050211/"" title=""アルゼンチン共和国杯(G2)"">アルゼンチン共和国杯(G2)</a>","<a href=""/race/201608040311/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/201509030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201606040611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>",2走前レース名
1.2,1.8,17.0,49.0,44.4,42.7,20.3,,2.0,167.8,3.4,3.9,5.4,4.8,31.3,2.9,2走前オッズ
1,1,2,5,10,11,1,,1,15,2,1,2,4,2,5,2走前成績
"<a href=""/race/201605021210/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/201609030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201608030411/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/201601020211/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/201606040611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201604021211/"" title=""新潟記念(G3)"">新潟記念(G3)</a>","<a href=""/race/201603020710/"" title=""いわき特別(1000万下)"">いわき特別(1000万下)</a>",,"<a href=""/race/201608030411/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/201601020211/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/201609020511/"" title=""サンスポ杯阪神牝馬S(G2)"">サンスポ杯阪神牝馬S(G2)</a>","<a href=""/race/201609030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201608030411/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/201608030411/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/201508030411/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/201609030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>",3走前レース名
3.8,5.0,30.9,23.4,7.0,103.1,3.9,,3.8,8.4,2.4,15.8,9.9,8.3,26.3,25.1,3走前オッズ
2,3,9,10,2,7,1,,12,5,2,9,6,15,10,1,3走前成績
