,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
馬名,エピファネイア,サトノノブレス,バンデ,ラストインパクト,ケイアイチョウサン,フルーキー,アドマイヤスピカ,タマモベストプレイ,アクションスター,ヤマイチパートナー,テイエムイナズマ,ナリタパイレーツ,マジェスティハーツ,インパラトール,ユールシンギング,ダービーフィズ,ヒラボクディープ,ネコタイショウ
騎手名,福永祐一,岩田康誠,松田大作,川田将雅,横山典弘,浜中俊,戸崎圭太,和田竜二,秋山真一,武幸四郎,幸英明,小牧太,武豊,リスポリ,北村宏司,田中勝春,蛯名正義,池添謙一
枠順,3,14,10,17,1,4,16,8,7,6,5,12,18,9,15,13,11,2
走破タイム,3:05.2,3:06.0,3:06.0,3:06.3,3:06.3,3:06.7,3:06.7,3:07.0,3:07.2,3:07.7,3:07.9,3:08.1,3:08.1,3:08.2,3:08.2,3:08.7,3:10.2,3:15.1
オッズ,1.6,19.5,11.5,27.5,25.9,24.9,67.5,43.8,109.9,37.8,74.8,55.5,8.7,57.5,17.5,39.1,82.8,62.9
通過順位,3-3-2-2,7-7-6-4,1-1-1-1,4-4-3-3,9-9-12-13,11-12-9-8,16-16-14-16,5-4-11-8,13-13-14-13,17-17-18-17,15-15-14-11,6-6-3-6,18-18-17-13,9-9-6-6,11-11-6-4,13-13-12-11,7-7-5-10,2-2-9-18
馬体重,486(+6),494(+6),490(+2),486(+4),442(+2),478(-4),486(0),490(+10),464(+6),480(0),502(+6),440(0),494(+6),510(+4),524(+4),444(-6),482(+2),426(-8)
性齢,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3
斤量,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
上がり3ハロン,35.9,36.2,36.9,36.9,35.8,36.8,36.1,36.8,36.7,37.0,37.7,38.5,37.6,38.3,38.5,38.5,40.4,44.0
人気,1,5,3,8,7,6,15,11,18,9,16,12,2,13,4,10,17,14
