,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
馬名,ザッツザプレンティ,リンカーン,ネオユニヴァース,ゼンノロブロイ,マッキーマックス,チャクラ,ヴィータローザ,トリリオンカット,サクラプレジデント,シルクチャンピオン,コスモインペリアル,アスクジュビリー,マーブルチーフ,ニシノシンフォニー,ペルフェット,サウスポール,マイネルダオス,テイエムテンライ
騎手名,安藤勝己,横山典弘,Ｍデムー,ペリエ,藤田伸二,後藤浩輝,蛯名正義,佐藤哲三,武豊,幸英明,武幸四郎,四位洋文,池添謙一,江田照男,吉田稔,武英智,武士沢友,小池隆生
枠順,8,2,17,4,18,13,16,5,10,12,9,15,6,1,7,3,11,14
走破タイム,3:04.8,3:04.9,3:05.0,3:05.3,3:05.4,3:05.6,3:05.6,3:05.7,3:06.0,3:06.3,3:06.4,3:06.4,3:06.4,3:07.0,3:08.1,3:08.2,3:08.3,3:08.8
オッズ,20.2,14.4,2.3,2.5,37.5,32.3,35.5,179.8,6.1,194.0,183.7,105.5,84.0,80.6,292.8,167.7,239.8,174.5
通過順位,8-9-3-1,8-8-12-11,12-12-6-2,6-6-10-11,14-14-10-5,16-16-15-7,10-10-6-2,6-6-6-7,12-12-16-15,1-1-1-2,10-11-12-15,15-15-17-15,16-16-18-15,3-3-3-7,18-18-12-13,4-4-5-7,4-4-6-13,2-2-2-6
馬体重,492(0),466(0),492(+2),494(+2),482(-16),468(-2),464(+4),454(0),488(+10),480(+12),486(+6),434(0),484(0),472(+10),510(+6),472(-8),482(-6),496(+2)
性齢,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3
斤量,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
上がり3ハロン,35.8,35.0,35.6,35.6,35.9,35.8,36.2,36.2,35.9,37.2,36.5,36.1,36.0,37.5,38.2,38.7,38.6,39.5
人気,5,4,1,2,8,6,7,14,3,16,15,11,10,9,18,12,17,13
