,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
馬名,ゴールドシップ,スカイディグニティ,ユウキソルジャー,ベールドインパクト,ラニカイツヨシ,ロードアクレイム,ダノンジェラート,フェデラルホール,マウントシャスタ,エタンダール,ニューダイナスティ,ミルドリーム,アーデント,タガノビッグバン,ビービージャパン,トリップ,コスモオオゾラ,フジマサエンペラー
騎手名,内田博幸,メンディ,秋山真一,四位洋文,佐藤哲三,福永祐一,三浦皇成,吉田隼人,川田将雅,松岡正海,浜中俊,江田照男,Ｍ．デム,太宰啓介,武幸四郎,小牧太,岩田康誠,池添謙一
枠順,1,16,15,3,4,6,13,2,10,7,8,14,5,17,11,18,12,9
走破タイム,3:02.9,3:03.2,3:03.5,3:03.5,3:03.6,3:03.8,3:03.9,3:04.1,3:04.2,3:05.0,3:05.4,3:05.8,3:05.9,3:06.2,3:08.4,3:09.6,3:10.2,3:10.3
オッズ,1.4,22.3,24.6,41.6,46.3,18.4,53.0,20.1,13.1,24.6,54.4,123.5,111.2,23.1,91.1,100.5,39.8,136.9
通過順位,17-17-4-2,12-12-7-4,12-12-12-10,15-15-12-6,16-15-9-4,14-14-12-11,18-18-16-14,7-7-9-7,7-7-3-1,7-7-9-11,7-7-18-18,7-7-4-7,4-5-16-16,4-5-4-11,1-1-1-2,2-2-2-7,4-3-7-15,3-3-12-17
馬体重,500(+2),486(+2),436(0),488(-4),478(-10),466(+6),474(-2),480(+2),468(0),446(+4),470(0),430(+2),458(-2),496(+2),478(-6),496(+1),470(+4),482(-2)
性齢,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3
斤量,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
上がり3ハロン,35.9,36.1,36.0,36.2,36.4,36.2,36.1,36.7,37.3,37.5,36.4,38.6,37.7,39.0,41.6,42.6,42.6,42.0
人気,1,5,7,10,11,3,12,4,2,8,13,17,16,6,14,15,9,18
