,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
馬名,コントレイル,アリストテレス,サトノフラッグ,ディープボンド,ブラックホール,ロバートソンキー,ヴェルトライゼンデ,ヴァルコス,ガロアクリーク,バビット,マンオブスピリット,サトノインプレッサ,ディアマンミノル,ターキッシュパレス,ダノングロワール,レクセランス,ビターエンダー,キメラヴェリテ
騎手名,福永祐一,ルメール,戸崎圭太,和田竜二,藤岡佑介,伊藤工真,池添謙一,岩田康誠,川田将雅,内田博幸,Ｍ．デム,坂井瑠星,幸英明,富田暁,北村友一,松山弘平,津村明秀,松若風馬
枠順,3,9,10,8,15,13,6,14,2,11,4,5,1,16,7,12,18,17
走破タイム,3:05.5,3:05.5,3:06.1,3:06.2,3:06.2,3:06.6,3:06.9,3:07.1,3:07.5,3:07.6,3:07.6,3:07.8,3:07.9,3:07.9,3:08.5,3:09.2,3:09.4,3:11.7
オッズ,1.1,23.0,34.9,51.6,116.8,76.7,10.3,42.2,82.5,12.5,116.6,96.9,109.9,254.4,64.2,140.6,302.1,324.0
通過順位,7-7-5-4,7-7-7-4,14-15-15-14,5-5-3-2,12-12-13-11,14-14-15-14,10-10-10-8,9-9-10-8,4-4-3-2,2-2-2-1,16-16-10-11,10-10-9-8,12-12-13-11,17-17-18-18,5-5-5-7,3-3-7-14,18-18-15-14,1-1-1-4
馬体重,458(-2),474(+8),490(+4),484(-6),436(-8),470(-4),488(0),502(+6),498(-4),450(-12),488(+2),484(0),458(-6),472(+4),488(+4),480(-4),476(+2),540(0)
性齢,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3
斤量,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
上がり3ハロン,35.2,35.1,35.2,36.1,35.4,35.6,36.3,36.5,37.4,37.7,36.9,37.2,37.1,36.6,38.1,38.4,38.3,41.8
人気,1,4,5,7,14,9,2,6,10,3,13,11,12,16,8,15,17,18
