,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
馬名,トーホウジャッカル,サウンズオブアース,ゴールドアクター,タガノグランパ,ショウナンラグーン,サトノアラジン,マイネルフロスト,トーセンスターダム,ワンアンドオンリー,ワールドインパクト,ヴォルシェーブ,ハギノハイブリッド,ミヤビジャスパー,メイショウスミトモ,シャンパーニュ,トゥザワールド,アドマイヤランディ,サングラス
騎手名,酒井学,蛯名正義,吉田隼人,菱田裕二,吉田豊,浜中俊,柴田大知,武豊,横山典弘,ブドー,岩田康誠,福永祐一,池添謙一,武幸四郎,松山弘平,川田将雅,藤岡康太,古川吉洋
枠順,2,4,10,12,6,16,1,7,15,8,17,9,13,18,5,14,11,3
走破タイム,3:01.0,3:01.1,3:01.7,3:01.8,3:01.8,3:01.9,3:02.1,3:02.1,3:02.2,3:02.2,3:02.4,3:02.5,3:02.6,3:03.4,3:04.0,3:05.2,3:05.4,3:08.1
オッズ,6.9,8.6,19.6,32.6,18.5,26.2,50.6,13.6,2.4,50.1,32.7,25.2,65.8,192.9,149.7,5.3,229.9,152.7
通過順位,5-5-5-2,10-10-8-4,5-5-7-6,10-10-12-10,14-14-15-11,16-16-12-11,2-2-3-2,12-13-11-11,7-7-5-6,9-8-8-8,12-12-12-11,8-8-8-8,16-16-16-15,15-15-16-17,2-2-1-1,4-4-4-4,18-18-18-18,1-1-2-15
馬体重,484(0),496(+8),476(-2),490(+10),474(-8),522(0),486(0),488(+4),486(+8),496(+8),492(+8),450(+2),496(0),470(+6),482(+2),520(+2),512(+4),494(+6)
性齢,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3
斤量,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
上がり3ハロン,34.5,34.4,35.0,34.8,34.6,34.9,35.7,35.1,35.6,35.4,35.4,35.7,35.2,35.7,37.9,38.7,37.3,41.5
人気,3,4,7,10,6,9,13,5,1,12,11,8,14,17,15,2,18,16
