Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
馬名,エフフォーリア,ディープボンド,クロノジェネシス,ステラヴェローチェ,タイトルホルダー,アリストテレス,アカイイト,モズベッロ,ユーキャンスマイル,キセキ,ウインキートス,シャドウディーヴァ,パンサラッサ,ペルシアンナイト,メロディーレーン,アサマノイタズラ
騎手名,横山武史,和田竜二,ルメール,Ｍ．デム,横山和生,武豊,幸英明,池添謙一,藤岡佑介,松山弘平,丹内祐次,横山典弘,菱田裕二,Ｃ．デム,岩田望来,田辺裕信
枠順,10,5,7,9,16,11,13,3,8,15,6,12,2,1,4,14
走破タイム,2:32.0,2:32.1,2:32.2,2:32.3,2:32.5,2:33.0,2:33.1,2:33.5,2:33.6,2:33.6,2:34.3,2:34.3,2:34.4,2:34.6,2:35.2,2:35.4
オッズ,2.1,20.9,2.9,7.9,10.2,47.7,31.8,146.2,150.6,43.8,70.0,144.5,45.5,62.3,146.8,51.1
通過順位,9-9-8-5,5-6-6-5,7-7-8-8,10-11-10-8,2-2-2-2,15-15-14-12,12-12-13-10,13-13-10-13,14-14-14-15,7-7-6-3,3-3-3-5,3-4-5-10,1-1-1-1,5-4-3-3,10-10-10-13,16-16-16-16
馬体重,516(+2),502(0),478(0),498(+4),476(+12),474(-6),516(+2),488(0),512(+6),516(+4),480(+10),476(-2),480(+6),500(-2),352(-2),496(+4)
性齢,牡3,牡4,牝5,牡3,牡3,牡4,牝4,牡5,牡6,牡7,牝4,牝5,牡4,牡7,牝5,牡3
斤量,55,57,55,55,55,57,55,57,57,57,55,55,57,57,55,55
上がり3ハロン,35.9,36.1,36.0,35.9,36.9,36.4,36.6,37.1,36.9,37.6,38.5,38.4,39.1,38.8,38.8,38.4
人気,1,5,2,3,4,9,6,14,16,7,12,13,8,11,15,10
芝適性,1,1,1,3,1,1,5,1,8,5,1,1,1,11,1,1
距離適性,72,113,63,65,110,111,97,97,99,91,75,102,58,48,115,58
脚質,27,12,77,113,1,43,102,74,116,41,24,97,1,75,107,91
成長,42,98,91,77,101,84,93,111,108,82,83,58,114,40,103,58
馬場適性,44,8,8,5,10,64,9,20,70,11,50,39,11,82,33,44
総合評価,4.42,4.17,4.35,4.26,4.79,4.13,3.54,3.69,3.67,4.4,3.56,3.64,4.13,4.04,3.61,3.06
実績評価,4.42,4.17,4.35,4.26,4.79,4.13,3.54,3.69,3.67,4.4,3.56,3.64,4.13,4.04,3.61,3.06
ポテンシャル評価,4.52,3.93,4.32,3.93,4.66,3.87,3.33,3.85,3.43,4.11,3.5,2.57,3.79,3.95,2.88,2.56
前走レース名,"<a href=""/race/202105040811/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/2021C8100304/"" title=""凱旋門賞(G1)"">凱旋門賞(G1)</a>","<a href=""/race/2021C8100304/"" title=""凱旋門賞(G1)"">凱旋門賞(G1)</a>","<a href=""/race/202109040611/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/202109040611/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/202105050812/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/202109050411/"" title=""エリザベス女王杯(G1)"">エリザベス女王杯(G1)</a>","<a href=""/race/202105050812/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/202105050812/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/202105050812/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/202109050411/"" title=""エリザベス女王杯(G1)"">エリザベス女王杯(G1)</a>","<a href=""/race/202105050812/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/202103020411/"" title=""福島記念(G3)"">福島記念(G3)</a>","<a href=""/race/202109060111/"" title=""チャレンジC(G3)"">チャレンジC(G3)</a>","<a href=""/race/202109040809/"" title=""古都S(3勝クラス)"">古都S(3勝クラス)</a>","<a href=""/race/202109040611/"" title=""菊花賞(G1)"">菊花賞(G1)</a>"
前走オッズ,3.4,12.8,4.8,4.1,8.0,20.5,64.9,278.8,240.1,37.4,9.7,76.4,9.0,10.0,5.3,13.1
前走成績,1,14,7,4,1,9,1,13,12,10,10,7,1,3,1,9
2走前レース名,"<a href=""/race/202105021211/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/2021C8a00b06/"" title=""フォワ賞(G2)"">フォワ賞(G2)</a>","<a href=""/race/202109030411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/202107050711/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/202106040511/"" title=""朝日セントライト記念(G2)"">朝日セントライト記念(G2)</a>","<a href=""/race/202109040211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/202105040311/"" title=""アイルランド府中牝馬(G2)"">アイルランド府中牝馬(G2)</a>","<a href=""/race/202105040811/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/202105040811/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/202109040211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/202106040711/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/202105040311/"" title=""アイルランド府中牝馬(G2)"">アイルランド府中牝馬(G2)</a>","<a href=""/race/202105040411/"" title=""オクトーバーS(L)"">オクトーバーS(L)</a>","<a href=""/race/202105040811/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/202109030411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/202106040511/"" title=""朝日セントライト記念(G2)"">朝日セントライト記念(G2)</a>"
2走前オッズ,1.7,,1.8,3.0,2.9,3.6,31.1,104.6,153.0,7.4,12.1,8.8,10.9,159.1,153.9,42.7
2走前成績,2,1,1,1,13,2,7,13,9,3,2,1,1,7,11,1
