0,1,10,11,12,13,14,15,2,3,4,5,6,7,8,9,Unnamed: 0
キタサンブラック,クイーンズリング,ミッキークイーン,ブレスジャーニー,サトノクラウン,トーセンビクトリー,カレンミロティック,サクラアンプルール,シュヴァルグラン,スワーヴリチャード,ルージュバック,シャケトラ,サウンズオブアース,レインボーライン,サトノクロニクル,ヤマカツエース,馬名
武豊,ルメール,浜中俊,三浦皇成,ムーア,田辺裕信,川田将雅,蛯名正義,ボウマン,Ｍ．デム,北村宏司,福永祐一,Ｃ．デム,岩田康誠,戸崎圭太,池添謙一,騎手名
2,3,13,4,12,5,15,9,10,14,11,7,16,8,6,1,枠順
2:33.6,2:33.8,2:34.5,2:34.6,2:34.6,2:34.8,2:35.1,2:35.5,2:33.8,2:33.8,2:34.0,2:34.1,2:34.2,2:34.3,2:34.3,2:34.4,走破タイム
1.9,33.1,19.6,71.7,9.8,159.5,204.8,72.9,6.7,4.5,55.4,29.6,132.9,44.7,70.7,24.6,オッズ
1-1-1-1,4-5-5-3,13-14-13-13,10-10-10-11,10-10-10-11,6-6-6-3,4-3-3-6,8-8-8-8,8-8-8-8,10-12-10-8,16-16-16-16,2-2-2-2,15-14-13-15,13-12-13-13,6-6-6-6,2-3-3-3,通過順位
540(-2),474(0),432(-10),466(+4),496(0),482(+10),460(+4),494(+12),474(+4),510(+8),460(+6),520(-4),512(+10),444(-4),454(0),510(+4),馬体重
牡5,牝5,牝5,牡3,牡5,牝5,セ9,牡6,牡5,牡3,牝5,牡4,牡6,牡4,牡3,牡5,性齢
57,55,55,55,57,55,57,57,57,55,55,57,57,57,55,57,斤量
35.2,35.1,35.1,35.4,35.4,36.0,36.5,36.6,34.8,34.5,34.3,35.6,34.7,34.9,35.5,35.8,上がり3ハロン
1,8,5,12,4,15,16,13,3,2,10,7,14,9,11,6,人気
3,16,9,10,3,1,8,,3,9,12,10,2,3,9,1,芝適性
106,41,61,52,73,58,78,,97,77,60,105,81,97,73,47,距離適性
3,39,103,108,66,68,21,,99,87,102,95,105,106,78,86,脚質
97,58,36,40,75,77,70,,101,74,53,99,86,98,71,97,成長
20,29,63,24,22,37,52,,57,50,59,43,60,14,52,29,馬場適性
4.58,3.77,4.0,4.2,3.88,3.5,3.84,,3.72,3.96,4.07,4.09,3.7,4.17,3.29,3.88,総合評価
4.58,3.77,4.0,4.2,3.88,3.5,3.84,,3.72,3.96,4.07,4.09,3.7,4.17,3.29,3.88,実績評価
4.67,3.85,3.9,3.84,3.75,3.11,3.8,,3.49,3.73,3.76,3.53,3.32,3.96,2.68,3.74,ポテンシャル評価
"<a href=""/race/201705050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201708050411/"" title=""エリザベス女王杯(G1)"">エリザベス女王杯(G1)</a>","<a href=""/race/201708050411/"" title=""エリザベス女王杯(G1)"">エリザベス女王杯(G1)</a>","<a href=""/race/201709050111/"" title=""チャレンジC(G3)"">チャレンジC(G3)</a>","<a href=""/race/201705050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201708050411/"" title=""エリザベス女王杯(G1)"">エリザベス女王杯(G1)</a>","<a href=""/race/201705050211/"" title=""アルゼンチン共和国杯(G2)"">アルゼンチン共和国杯(G2)</a>",,"<a href=""/race/201705050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201705050211/"" title=""アルゼンチン共和国杯(G2)"">アルゼンチン共和国杯(G2)</a>","<a href=""/race/201708050411/"" title=""エリザベス女王杯(G1)"">エリザベス女王杯(G1)</a>","<a href=""/race/201705050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201705050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201705050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201709050111/"" title=""チャレンジC(G3)"">チャレンジC(G3)</a>","<a href=""/race/201705050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>",前走レース名
2.1,15.1,7.2,3.7,5.7,86.7,31.7,,13.3,2.0,6.2,48.2,102.0,57.7,3.5,116.5,前走オッズ
3,7,3,3,10,10,5,,1,1,9,11,12,6,1,8,前走成績
"<a href=""/race/201705040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201705040411/"" title=""アイルランド府中牝馬(G2)"">アイルランド府中牝馬(G2)</a>","<a href=""/race/201709030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201708040711/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/201705040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201705040411/"" title=""アイルランド府中牝馬(G2)"">アイルランド府中牝馬(G2)</a>","<a href=""/race/201708040311/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>",,"<a href=""/race/201708040311/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/201705021210/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/201706040711/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201705040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201708040311/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/201705040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201708040711/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/201705040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>",2走前レース名
3.1,6.1,10.4,33.3,4.0,14.5,83.4,,2.2,5.9,7.8,30.6,4.2,59.6,14.7,15.9,2走前オッズ
1,4,3,12,2,5,8,,3,2,1,15,13,3,10,11,2走前成績
"<a href=""/race/201709030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201705020811/"" title=""ヴィクトリアマイル(G1)"">ヴィクトリアマイル(G1)</a>","<a href=""/race/201705020811/"" title=""ヴィクトリアマイル(G1)"">ヴィクトリアマイル(G1)</a>","<a href=""/race/201605050511/"" title=""東京スポーツ杯2歳S(G3)"">東京スポーツ杯2歳S(G3)</a>","<a href=""/race/201709030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201701010211/"" title=""クイーンS(G3)"">クイーンS(G3)</a>","<a href=""/race/2016G4110107/"" title=""メルボルンC(G1)"">メルボルンC(G1)</a>",,"<a href=""/race/201709030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201706030811/"" title=""皐月賞(G1)"">皐月賞(G1)</a>","<a href=""/race/201705020811/"" title=""ヴィクトリアマイル(G1)"">ヴィクトリアマイル(G1)</a>","<a href=""/race/201709030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201701020211/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/201709030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201706040511/"" title=""朝日セントライト記念(G2)"">朝日セントライト記念(G2)</a>","<a href=""/race/201701020211/"" title=""札幌記念(G2)"">札幌記念(G2)</a>",3走前レース名
1.4,9.4,1.9,3.2,9.0,14.7,,,12.7,7.0,7.6,8.5,8.0,23.8,6.6,2.7,3走前オッズ
9,6,7,1,1,2,23,,8,6,10,4,4,5,3,3,3走前成績
