,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
馬名,オルフェーヴル,ウインバリアシオン,トーセンラー,ハーバーコマンド,サダムパテック,ゴットマスタング,フェイトフルウォー,ショウナンマイティ,ユニバーサルバンク,フレールジャック,ロッカヴェラーノ,ルイーザシアター,スーサングレート,シゲルリジチョウ,ダノンマックイン,ダノンミル,ベルシャザール,サンビーム
騎手名,池添謙一,安藤勝己,蛯名正義,木村健,岩田康誠,国分恭介,柴田善臣,武豊,田辺裕信,福永祐一,川田将雅,岡部誠,和田竜二,藤田伸二,小牧太,浜中俊,後藤浩輝,秋山真一
枠順,14,13,1,12,11,7,5,18,4,17,10,2,3,6,16,9,8,15
走破タイム,3:02.8,3:03.2,3:03.5,3:03.6,3:03.8,3:03.8,3:04.0,3:04.0,3:04.2,3:04.5,3:04.9,3:05.4,3:06.0,3:06.3,3:06.4,3:07.7,3:08.1,3:13.6
オッズ,1.4,7.8,12.2,166.5,24.0,140.9,17.1,33.8,120.2,17.6,185.5,172.5,254.2,166.8,39.7,102.6,21.9,121.9
通過順位,10-10-6-3,18-18-16-14,11-12-8-6,6-5-5-5,4-3-2-2,15-14-16-14,11-11-11-11,15-16-12-9,4-5-8-8,1-1-2-3,2-2-1-1,13-13-12-12,8-8-12-9,17-17-16-14,6-7-8-12,14-14-12-14,8-8-4-6,3-3-6-18
馬体重,466(+6),516(+2),436(+8),466(-10),502(-4),460(-4),508(+4),486(+4),468(+6),440(-2),466(-2),488(-8),496(0),510(-6),480(+4),466(-2),536(0),516(+2)
性齢,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3
斤量,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
上がり3ハロン,34.6,34.3,35.2,35.5,35.9,35.0,35.4,35.6,35.9,36.4,37.2,36.7,37.4,37.6,37.8,39.1,40.1,44.7
人気,1,2,3,14,7,13,4,8,11,5,17,16,18,15,9,10,6,12
