,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
馬名,キセキ,クリンチャー,ポポカテペトル,マイネルヴンシュ,ダンビュライト,ミッキースワロー,アルアイン,クリノヤマトノオー,プラチナヴォイス,サトノクロニクル,サトノアーサー,ブレスジャーニー,ベストアプローチ,スティッフェリオ,トリコロールブルー,ウインガナドル,アダムバローズ,マイスタイル
騎手名,Ｍ．デム,藤岡佑介,和田竜二,柴田大知,武豊,横山典弘,ルメール,幸英明,田辺裕信,福永祐一,川田将雅,柴田善臣,岩田康誠,松若風馬,戸崎圭太,津村明秀,池添謙一,四位洋文
枠順,13,4,14,6,15,12,16,9,17,11,8,1,10,3,5,2,7,18
走破タイム,3:18.9,3:19.2,3:19.2,3:19.5,3:19.7,3:19.7,3:19.7,3:20.3,3:20.6,3:20.8,3:20.9,3:21.0,3:21.8,3:22.5,3:23.6,3:24.0,3:24.3,3:30.0
オッズ,4.5,30.9,44.2,31.5,8.3,5.2,4.9,69.6,96.7,14.7,14.0,33.3,17.6,51.1,15.7,14.7,95.4,68.3
通過順位,14-14-12-7,11-11-7-2,9-7-7-3,15-15-13-7,7-7-3-1,11-11-11-3,9-10-7-3,11-11-10-7,18-18-17-15,7-9-13-13,15-15-13-7,17-17-16-17,4-6-3-3,4-4-3-7,6-4-3-7,2-2-2-16,3-2-1-13,1-1-18-18
馬体重,488(+2),482(-8),478(-4),458(+6),478(-2),480(-2),520(-6),452(+4),518(+8),464(+2),482(+2),462(+14),482(-2),442(+4),494(-12),460(+2),512(+4),460(-2)
性齢,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3
斤量,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
上がり3ハロン,39.6,40.2,40.1,40.0,40.8,40.5,40.6,41.0,40.6,41.3,41.4,40.8,42.9,43.3,44.4,44.8,45.2,46.9
人気,1,10,13,11,4,3,2,16,18,6,5,12,9,14,8,7,17,15
