,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
馬名,ヒシミラクル,ファストタテヤマ,メガスターダム,アドマイヤドン,バランスオブゲーム,レニングラード,バンブーユベントス,ダンツシェイク,ヤマノブリザード,ナムラサンクス,アドマイヤマックス,キーボランチ,タイガーカフェ,マイネルアムンゼン,シンデレラボーイ,ローエングリン,ダイタクフラッグ,ノーリーズン
騎手名,角田晃一,安田康彦,松永幹夫,藤田伸二,田中勝春,池添謙一,幸英明,河内洋,柴田善臣,橋本美純,後藤浩輝,熊沢重文,蛯名正義,嘉藤貴行,福永祐一,岡部幸雄,太宰啓介,武豊
枠順,2,7,14,3,16,9,13,8,10,1,18,5,11,17,15,12,4,6
走破タイム,3:05.9,3:05.9,3:06.0,3:06.4,3:06.5,3:06.6,3:06.7,3:07.0,3:07.2,3:07.4,3:08.1,3:09.7,3:10.1,3:11.0,3:11.7,3:13.8,3:35.5,
オッズ,36.6,91.3,9.1,11.4,14.1,19.7,73.9,22.6,19.6,80.1,4.8,130.5,38.8,54.2,86.5,9.1,122.3,2.5
通過順位,14-13-7-2,15-15-14-12,10-8-4-1,8-8-10-4,6-4-7-9,15-15-14-14,12-12-12-14,12-13-16-9,15-15-12-2,8-8-4-9,11-11-10-6,4-4-7-14,4-3-2-6,6-6-4-6,2-2-2-12,1-1-1-4,2-6-17-17,
馬体重,460(+4),448(+10),498(+2),456(-4),454(-4),460(0),456(+4),468(+4),502(+2),460(+6),462(+4),472(-6),480(+12),468(-2),476(-6),470(-2),488(-2),474(+4)
性齢,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3
斤量,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
上がり3ハロン,35.2,34.8,35.4,35.6,35.7,35.6,35.7,35.7,36.4,36.7,37.3,38.9,39.4,40.3,41.0,43.3,50.1,
人気,10,16,3,5,6,8,13,9,7,14,2,18,11,12,15,4,17,1
