,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
馬名,キタサンブラック,リアルスティール,リアファル,タンタアレグリア,サトノラーゼン,ベルーフ,ブライトエンブレム,ミュゼエイリアン,マッサビエル,ジュンツバサ,スティーグリッツ,アルバートドック,タガノエスプレッソ,ワンダーアツレッタ,スピリッツミノル,ミコラソン,レッドソロモン,マサハヤドリーム
騎手名,北村宏司,福永祐一,ルメール,蛯名正義,岩田康誠,浜中俊,田辺裕信,横山典弘,戸崎圭太,石橋脩,内田博幸,藤岡康太,菱田裕二,Ｍ．デム,酒井学,武幸四郎,武豊,和田竜二
枠順,4,11,17,3,2,5,10,8,14,15,7,9,16,12,18,1,6,13
走破タイム,3:03.9,3:03.9,3:04.0,3:04.2,3:04.4,3:04.5,3:04.5,3:04.8,3:04.8,3:04.9,3:05.1,3:05.3,3:05.3,3:05.8,3:06.1,3:06.5,3:06.8,3:07.5
オッズ,13.4,4.3,3.1,15.0,5.9,17.4,20.9,34.5,30.6,38.2,10.6,38.7,204.1,25.0,121.8,189.3,52.3,154.5
通過順位,5-5-10-8,7-8-7-7,2-2-4-3,9-9-7-8,9-9-12-12,11-12-10-8,14-14-15-15,3-3-1-1,11-12-7-3,14-14-13-13,18-17-16-8,8-5-3-3,5-5-2-2,16-14-16-13,1-1-4-15,17-17-18-18,4-4-4-3,13-11-13-15
馬体重,530(-2),500(-4),506(0),478(+6),460(-2),482(+2),488(+4),476(0),510(+2),482(-8),512(+8),478(+4),442(-2),486(+6),488(0),488(+10),480(+2),460(+8)
性齢,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3
斤量,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
上がり3ハロン,35.0,35.1,35.3,35.3,35.3,35.6,35.1,36.3,36.1,35.7,36.0,36.6,36.7,36.4,37.1,36.3,38.1,38.3
人気,5,2,1,6,3,7,8,11,10,12,4,13,18,9,15,17,14,16
