,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
馬名,ソングオブウインド,ドリームパスポート,アドマイヤメイン,メイショウサムソン,アクシオン,インテレット,マルカシェンク,トーホウアラン,タガノマーシャル,ネヴァブション,ミストラルクルーズ,アペリティフ,マンノレーシング,トウショウシロッコ,フサイチジャンク,トーセンシャナオー,パッシングマーク,シルククルセイダー
騎手名,武幸四郎,横山典弘,武豊,石橋守,田中勝春,藤岡佑介,福永祐一,藤田伸二,和田竜二,石橋脩,池添謙一,安藤勝己,小牧太,吉田豊,岩田康誠,イネス,四位洋文,秋山真一
枠順,18,13,5,12,15,9,7,1,4,6,2,14,8,16,10,11,17,3
走破タイム,3:02.7,3:02.7,3:03.0,3:03.4,3:03.5,3:03.5,3:03.8,3:03.8,3:03.9,3:03.9,3:04.0,3:04.4,3:04.6,3:04.8,3:05.0,3:05.1,3:05.1,3:05.4
オッズ,44.2,4.9,6.2,2.0,60.5,152.5,8.1,24.9,143.1,69.3,63.4,29.2,243.6,126.8,17.2,48.9,254.4,198.4
通過順位,16-16-16-8,6-6-6-7,1-1-1-1,4-4-4-2,12-14-13-13,17-16-17-17,9-9-10-12,4-5-5-5,12-11-14-13,15-15-14-16,12-11-10-13,7-7-6-5,2-2-2-2,11-11-10-8,7-7-9-8,2-2-2-2,18-18-17-18,9-9-6-8
馬体重,480(+4),466(+4),498(+8),518(+6),520(-10),474(-4),506(-4),480(+10),526(-6),470(-4),486(-4),498(+6),464(+4),464(+2),484(+4),452(+14),478(0),510(+6)
性齢,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3
斤量,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
上がり3ハロン,33.5,34.0,35.9,34.9,34.4,34.0,34.9,35.2,34.7,34.6,34.9,35.8,36.2,35.9,36.2,36.7,35.4,36.6
人気,8,2,3,1,10,15,4,6,14,12,11,7,17,13,5,9,18,16
