,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
馬名,フィエールマン,エタリオウ,ユーキャンスマイル,ブラストワンピース,グローリーヴェイズ,タイムフライヤー,シャルドネゴールド,エポカドーロ,ジェネラーレウーノ,グレイル,ステイフーリッシュ,アフリカンゴールド,グロンディオーズ,メイショウテッコン,コズミックフォース,アイトーン,カフジバンガード,オウケンムーン
騎手名,ルメール,Ｍ．デム,武豊,池添謙一,福永祐一,和田竜二,藤岡康太,戸崎圭太,田辺裕信,岩田康誠,藤岡佑介,松若風馬,モレイラ,松山弘平,浜中俊,国分恭介,幸英明,北村宏司
枠順,12,9,7,3,18,13,17,5,4,2,16,10,14,6,11,1,8,15
走破タイム,3:06.1,3:06.1,3:06.3,3:06.5,3:06.6,3:06.7,3:06.9,3:06.9,3:07.1,3:07.4,3:07.5,3:07.8,3:07.9,3:08.0,3:08.1,3:09.6,3:09.9,3:11.2
オッズ,14.5,3.6,31.7,3.4,75.4,80.2,138.3,5.5,11.2,18.2,70.2,24.5,14.1,12.5,115.3,223.0,242.6,143.3
通過順位,7-7-5-6,10-9-8-6,9-9-10-10,12-11-10-9,14-14-14-12,11-11-12-12,16-16-16-16,3-3-3-5,1-1-1-1,17-17-17-17,14-14-14-14,5-5-5-3,12-13-12-14,5-5-5-6,3-3-3-3,7-7-8-10,2-2-2-2,18-18-18-18
馬体重,480(+4),472(+4),488(-2),530(0),448(+2),454(+2),450(0),490(+4),506(0),490(-4),452(-2),460(-2),530(-2),498(+2),472(+2),480(+12),482(+6),440(-6)
性齢,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3
斤量,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
上がり3ハロン,33.9,33.9,33.9,34.1,33.9,34.1,33.9,34.8,35.2,34.3,34.8,35.7,35.3,35.8,36.1,37.2,38.0,37.8
人気,7,2,10,1,12,13,15,3,4,8,11,9,6,5,14,17,18,16
