,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
馬名,サトノダイヤモンド,レインボーライン,エアスピネル,ディーマジェスティ,ミッキーロケット,シュペルミエール,マウントロブソン,カフジプリンス,レッドエルディスト,ジュンヴァルカン,プロディガルサン,ウムブルフ,ミライヘノツバサ,アグネスフォルテ,ジョルジュサンク,コスモジャーベ,イモータル,サトノエトワール
騎手名,ルメール,福永祐一,武豊,蛯名正義,和田竜二,北村宏司,川田将雅,岩田康誠,四位洋文,Ｍ．デム,田辺裕信,浜中俊,藤岡康太,松山弘平,幸英明,丹内祐次,ヴェロン,池添謙一
枠順,3,11,13,6,8,4,18,1,7,17,16,10,5,14,2,12,9,15
走破タイム,3:03.3,3:03.7,3:03.7,3:03.8,3:04.0,3:04.0,3:04.2,3:04.2,3:04.3,3:04.6,3:04.6,3:04.9,3:05.0,3:05.3,3:05.7,3:06.0,3:07.4,3:08.1
オッズ,2.3,24.9,20.5,3.2,12.2,21.2,90.9,11.7,16.3,23.5,60.8,26.1,139.8,182.1,144.0,157.4,170.8,164.0
通過順位,8-8-9-5,14-14-16-12,3-3-5-5,11-12-11-5,9-10-14-10,11-12-7-10,6-7-7-5,9-8-9-12,11-10-14-12,17-17-17-17,15-15-11-15,6-5-3-2,1-1-1-1,3-3-2-2,5-5-5-4,15-15-11-15,18-18-17-17,2-2-3-9
馬体重,498(-2),444(+2),478(+2),482(+6),472(+4),488(+2),478(-8),522(+6),506(0),518(+10),490(-6),460(+2),486(-2),438(+4),510(+4),466(-4),522(+2),504(+2)
性齢,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3
斤量,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
上がり3ハロン,34.1,34.2,34.6,34.5,34.6,34.7,35.0,34.8,34.8,34.8,35.0,35.9,36.4,36.4,36.6,36.4,37.7,39.0
人気,1,9,6,2,4,7,12,3,5,8,11,10,13,18,14,15,17,16
