,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
馬名,デルタブルース,ホオキパウェーブ,オペラシチー,コスモバルク,ストラタジェム,スズカマンボ,ハーツクライ,グレイトジャーニー,カンパニー,モエレエルコンドル,ハイアーゲーム,ブラックコンドル,ブルートルネード,エーピースピリット,シルクディレクター,ケイアイガード,トゥルーリーズン,コスモステージ
騎手名,岩田康誠,横山典弘,佐藤哲三,五十嵐冬,福永祐一,安藤勝己,武豊,小牧太,柴原央明,田中剛,蛯名正義,赤木高太,池添謙一,吉田豊,熊沢重文,松永幹夫,四位洋文,小池隆生
枠順,18,5,1,15,11,4,10,3,2,17,14,16,12,7,6,8,9,13
走破タイム,3:05.7,3:05.9,3:06.0,3:06.0,3:06.1,3:06.1,3:06.2,3:06.2,3:06.3,3:06.5,3:06.9,3:07.6,3:07.7,3:07.9,3:08.6,3:08.6,3:08.8,3:11.6
オッズ,45.1,8.3,11.9,3.8,117.5,9.7,2.7,83.4,70.4,98.4,6.5,101.1,166.9,113.8,61.3,22.6,49.3,122.4
通過順位,5-5-4-2,16-15-14-10,12-12-11-4,1-1-1-1,7-7-8-16,14-14-14-8,15-15-14-10,13-12-12-4,17-17-17-10,2-3-2-3,10-10-8-10,6-6-5-4,4-4-5-15,10-10-12-18,17-17-17-16,9-9-8-4,7-8-5-8,2-2-2-10
馬体重,526(+10),478(+2),500(-8),486(0),440(0),486(+10),492(+6),460(-2),452(-4),534(-4),496(-4),458(+8),518(+10),482(0),438(-10),496(+2),472(-8),512(+2)
性齢,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3
斤量,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
上がり3ハロン,35.7,35.1,35.5,36.1,35.5,35.4,35.3,35.6,35.4,36.4,36.4,37.3,37.3,37.0,37.5,38.3,38.5,41.4
人気,8,4,6,2,16,5,1,12,11,13,3,14,18,15,10,7,9,17
