,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
馬名,ワールドプレミア,サトノルークス,ヴェロックス,ディバインフォース,メロディーレーン,レッドジェニアル,タガノディアマンテ,カウディーリョ,ニシノデイジー,ヒシゲッコウ,ホウオウサーベル,メイショウテンゲン,ザダル,ナイママ,ユニコーンライオン,シフルマン,ヴァンケドミンゴ,カリボール
騎手名,武豊,福永祐一,川田将雅,横山典弘,坂井瑠星,酒井学,田辺裕信,Ｍ．デム,ルメール,スミヨン,蛯名正義,池添謙一,石橋脩,柴田大知,岩田康誠,松山弘平,藤岡佑介,藤井勘一
枠順,5,14,13,6,8,12,17,10,2,7,15,18,1,16,4,11,9,3
走破タイム,3:06.0,3:06.0,3:06.2,3:06.3,3:06.4,3:06.6,3:06.6,3:06.6,3:06.7,3:06.7,3:07.4,3:07.7,3:08.0,3:08.5,3:08.7,3:08.7,3:08.7,3:12.9
オッズ,6.5,24.7,2.2,164.8,65.7,15.0,59.9,68.0,6.0,9.6,10.5,117.2,14.9,274.0,53.0,71.3,187.5,52.4
通過順位,7-6-8-6,10-11-12-7,4-4-4-4,15-15-13-11,16-16-16-15,7-8-8-7,12-12-8-2,1-1-1-1,12-12-13-12,12-12-8-7,7-8-7-4,4-6-4-15,10-10-13-12,3-3-3-7,4-4-4-12,18-17-17-17,2-2-2-2,16-17-17-18
馬体重,484(+12),470(+8),490(0),448(+2),340(+2),486(-2),470(-4),434(-14),492(+4),484(-2),486(-2),456(+10),480(-12),474(+2),526(+10),494(-8),462(+6),490(0)
性齢,牡3,牡3,牡3,牡3,牝3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3
斤量,57,57,57,57,55,57,57,57,57,57,57,57,57,57,57,57,57,57
上がり3ハロン,35.8,35.7,36.2,35.8,35.7,36.4,36.6,36.8,36.2,36.5,37.4,37.3,37.5,38.4,38.5,37.9,38.8,41.8
人気,3,8,1,16,12,7,11,13,2,4,5,15,6,18,10,14,17,9
