0,1,10,11,12,13,14,15,16,17,2,3,4,5,6,7,8,9,Unnamed: 0
モーリス,リアルスティール,クラレント,エイシンヒカリ,カムフィー,サトノクラウン,ヤマカツエース,,,,ステファノス,アンビシャス,ロゴタイプ,アドマイヤデウス,ルージュバック,ヒストリカル,ラブリーデイ,サトノノブレス,馬名
ムーア,Ｍ．デム,内田博幸,武豊,蛯名正義,福永祐一,池添謙一,,,,川田将雅,横山典弘,田辺裕信,岩田康誠,戸崎圭太,田中勝春,ルメール,シュタル,騎手名
8,12,2,1,10,4,13,,,,14,3,5,6,9,11,15,7,枠順
1:59.3,1:59.5,2:00.6,2:00.6,2:00.7,2:00.8,2:00.8,,,,1:59.7,1:59.9,1:59.9,1:59.9,1:59.9,2:00.1,2:00.3,2:00.4,走破タイム
3.6,13.0,234.8,4.5,248.2,21.5,167.8,,,,11.2,6.0,43.2,47.8,5.1,114.9,11.1,44.4,オッズ
5-5-4,8-10-10,5-5-7,1-1-1,12-10-10,5-5-4,3-3-2,,,,13-14-14,14-12-10,3-3-4,9-8-8,11-12-10,15-15-15,2-2-2,9-8-8,通過順位
514(+4),502(+4),500(-2),502(0),462(0),480(0),484(-4),,,,486(0),466(-8),496(-6),476(-14),450(-4),450(-2),482(-6),496(-10),馬体重
牡5,牡4,牡7,牡5,牡7,牡4,牡4,,,,牡5,牡4,牡6,牡5,牝4,牡7,牡6,牡6,性齢
58,58,58,58,58,58,58,,,,58,58,58,58,56,58,58,58,斤量
33.8,33.5,35.0,35.5,34.8,35.4,35.6,,,,33.5,34.0,34.5,34.2,33.9,33.7,35.1,34.7,上がり3ハロン
1,7,14,2,15,8,13,,,,6,4,9,11,3,12,5,10,人気
3,3,3,2,15,3,1,,,,22,16,8,21,12,2,2,4,芝適性
36,60,48,49,73,73,47,,,,53,47,56,72,60,57,58,62,距離適性
92,75,75,2,47,66,86,,,,75,82,20,94,102,110,29,75,脚質
97,64,59,81,58,75,97,,,,63,52,58,61,53,77,89,62,成長
46,59,63,44,20,22,29,,,,26,75,54,46,59,48,67,57,馬場適性
4.28,3.98,3.32,3.95,3.13,3.88,3.88,,,,3.65,3.66,3.98,3.15,4.07,3.71,4.14,3.44,総合評価
4.28,3.98,3.32,3.95,3.13,3.88,3.88,,,,3.65,3.66,3.98,3.15,4.07,3.71,4.14,3.44,実績評価
4.31,3.75,2.87,3.7,2.13,3.75,3.74,,,,3.2,3.57,3.99,3.06,3.76,3.25,4.21,2.87,ポテンシャル評価
