0,1,10,11,12,13,14,15,16,17,2,3,4,5,6,7,8,9,Unnamed: 0
ゼンノロブロイ,ダンスインザムード,テレグノシス,リンカーン,シェルゲーム,サクラプレジデント,マイソールサウンド,ヒシミラクル,ダイワメジャー,,アドマイヤグルーヴ,ツルマルボーイ,ローエングリン,ナリタセンチュリー,ヴィータローザ,トーセンダンディ,バランスオブゲーム,シルクフェイマス,馬名
ペリエ,ルメール,勝浦正樹,安藤勝己,岡部幸雄,松永幹夫,本田優,角田晃一,柴田善臣,,武豊,蛯名正義,横山典弘,田島裕和,小牧太,江田照男,田中勝春,四位洋文,騎手名
13,4,2,16,3,9,7,14,17,,8,5,10,11,1,6,15,12,枠順
1:58.9,1:59.1,2:00.6,2:00.7,2:00.8,2:00.8,2:01.1,2:02.7,2:02.9,,1:59.3,1:59.3,1:59.5,1:59.6,2:00.2,2:00.3,2:00.5,2:00.6,走破タイム
3.4,38.3,6.4,9.6,50.7,23.9,87.4,19.8,37.5,,17.0,8.6,10.7,13.9,85.2,65.4,13.9,10.2,オッズ
11-8-9,3-3-3,16-15-15,11-13-11,2-2-2,8-7-5,3-3-3,13-14-13,5-5-5,,9-8-8,13-11-13,1-1-1,15-15-15,17-17-17,5-5-5,5-8-9,9-11-11,通過順位
498(+6),466(-8),472(-2),460(-6),430(-4),490(-2),468(0),454(0),520(0),,464(-12),464(+6),484(+4),464(-4),470(+8),520(+6),470(-8),466(-4),馬体重
牡4,牝3,牡5,牡4,牡3,牡4,牡5,牡5,牡3,,牝4,牡6,牡5,牡5,牡4,牡6,牡5,牡5,性齢
58,54,58,58,56,58,58,58,56,,56,58,58,58,58,58,58,58,斤量
34.4,34.9,35.5,36.1,36.8,36.5,36.9,37.8,38.6,,34.9,34.5,35.7,34.5,34.8,36.0,36.0,36.0,上がり3ハロン
1,13,2,4,14,11,17,10,12,,9,3,6,7,16,15,8,5,人気
7,7,4,4,22,4,7,4,14,,4,4,15,6,5,17,7,5,芝適性
65,46,24,97,62,47,66,109,48,,59,59,48,84,63,62,57,77,距離適性
59,24,112,85,15,90,19,96,10,,99,113,10,104,96,13,9,13,脚質
67,48,62,73,67,46,91,94,65,,64,92,63,96,71,85,65,98,成長
47,49,72,67,32,89,46,45,44,,69,82,45,47,48,43,32,91,馬場適性
4.31,3.78,3.7,3.57,,3.88,3.58,3.97,4.27,,4.0,3.75,3.67,3.67,3.25,,3.82,3.71,総合評価
4.31,3.78,3.7,3.57,,3.88,3.58,3.97,4.27,,4.0,3.75,3.67,3.67,3.25,,3.82,3.71,実績評価
4.31,3.69,3.7,3.29,,3.25,3.42,4.08,4.35,,4.09,3.75,3.42,3.33,3.25,,3.68,3.5,ポテンシャル評価
