0,1,10,11,12,13,14,15,16,17,2,3,4,5,6,7,8,9,Unnamed: 0
レイデオロ,サングレーザー,アクションスター,ブラックムーン,ダンビュライト,,,,,,キセキ,アルアイン,ミッキーロケット,サクラアンプルール,マカヒキ,ヴィブロス,ステファノス,スワーヴリチャード,馬名
ルメール,モレイラ,大野拓弥,横山典弘,戸崎圭太,,,,,,川田将雅,北村友一,和田竜二,田辺裕信,武豊,福永祐一,オドノヒ,Ｍ．デム,騎手名
4,9,13,2,8,,,,,,10,7,11,12,6,3,1,5,枠順
1:56.8,1:57.0,1:59.7,2:00.1,,,,,,,1:57.0,1:57.2,1:57.2,1:57.6,1:57.7,1:57.7,1:58.1,1:58.3,走破タイム
3.1,9.6,352.1,181.3,---,,,,,,12.8,12.7,22.0,135.2,7.0,17.4,71.0,2.5,オッズ
6-5-5,7-7-7,11-12-12,8-8-9,,,,,,,1-1-1,2-2-2,5-5-5,9-8-8,10-10-9,2-3-3,4-3-3,11-10-11,通過順位
482(-2),476(-12),472(+2),484(-16),488(+6),,,,,,496(-8),512(-6),474(-2),468(-12),494(-12),440(0),484(+2),510(+4),馬体重
牡4,牡4,牡8,牡6,牡4,,,,,,牡4,牡4,牡5,牡7,牡5,牝5,牡7,牡4,性齢
58,58,58,58,58,,,,,,58,58,58,58,58,56,58,58,斤量
33.6,33.4,35.3,36.1,,,,,,,34.7,34.5,34.0,33.8,33.7,34.7,35.2,34.1,上がり3ハロン
2,4,12,11,,,,,,,6,5,8,10,3,7,9,1,人気
2,6,5,1,16,,,,,,5,6,10,1,5,15,22,9,芝適性
75,38,58,20,87,,,,,,91,47,83,58,55,45,53,77,距離適性
92,101,109,116,42,,,,,,42,37,71,78,110,58,75,87,脚質
68,74,53,58,85,,,,,,82,58,92,116,40,62,63,74,成長
41,39,64,78,23,,,,,,11,49,34,83,59,67,26,50,馬場適性
4.29,4.19,3.64,3.57,3.78,,,,,,4.4,4.29,3.93,3.61,4.16,3.74,3.65,3.96,総合評価
4.29,4.19,3.64,3.57,3.78,,,,,,4.4,4.29,3.93,3.61,4.16,3.74,3.65,3.96,実績評価
4.22,3.94,3.18,3.29,3.29,,,,,,4.11,4.25,3.58,3.56,4.14,3.58,3.2,3.73,ポテンシャル評価
