0,1,10,11,12,13,14,15,16,17,2,3,4,5,6,7,8,9,Unnamed: 0
エフフォーリア,コントレイル,ワールドプレミア,カレンブーケドール,モズベッロ,カイザーミノル,トーセンスーリヤ,カデナ,,,グランアレグリア,サンレイポケット,ヒシイグアス,ポタジェ,ペルシアンナイト,ラストドラフト,ユーキャンスマイル,ムイトオブリガード,馬名
横山武史,福永祐一,岩田康誠,戸崎圭太,池添謙一,横山典弘,横山和生,田辺裕信,,,ルメール,鮫島克駿,松山弘平,川田将雅,大野拓弥,三浦皇成,藤岡佑介,柴田善臣,騎手名
5,1,7,14,3,10,6,2,,,9,8,15,4,13,12,16,11,枠順
1:57.9,1:58.0,1:59.1,1:59.2,1:59.3,1:59.3,1:59.4,1:59.7,,,1:58.1,1:58.4,1:58.7,1:58.7,1:58.7,1:58.9,1:59.0,1:59.1,走破タイム
3.4,2.5,30.2,19.6,104.6,146.7,67.1,257.8,,,2.8,113.5,40.4,23.3,159.1,190.4,153.0,332.6,オッズ
6-6-6,9-8-8,14-13-11,4-3-3,11-10-8,1-1-1,2-3-3,16-16-16,,,2-2-2,10-6-6,7-8-8,4-3-3,15-15-14,7-10-11,13-14-14,11-12-11,通過順位
514(+4),464(-8),482(-4),482(+2),482(+2),466(-2),488(0),478(+2),,,504(+2),472(0),492(+2),474(+2),490(-12),462(-6),500(-16),492(-10),馬体重
牡3,牡4,牡5,牝5,牡5,牡5,牡6,牡7,,,牝5,牡6,牡5,牡4,牡7,牡5,牡6,牡7,性齢
56,58,58,56,58,58,58,58,,,56,58,58,58,58,58,58,58,斤量
33.2,33.0,33.7,34.7,34.2,35.0,34.8,33.8,,,33.8,33.6,33.7,34.1,33.1,33.6,33.4,33.8,上がり3ハロン
3,1,6,4,9,11,8,15,,,2,10,7,5,13,14,12,16,人気
1,6,1,1,1,1,1,9,,,2,1,1,1,11,1,8,39,芝適性
72,55,85,83,97,58,58,51,,,39,58,58,49,48,73,99,97,距離適性
24,82,106,26,74,1,1,102,,,88,116,1,100,75,32,116,78,脚質
54,44,86,37,111,58,97,37,,,50,82,116,58,40,71,108,58,成長
34,70,53,18,20,58,58,62,,,57,35,116,34,82,58,70,20,馬場適性
4.48,4.86,4.22,4.23,3.69,3.25,3.3,3.56,,,4.94,3.07,3.5,3.83,4.04,3.89,3.67,3.33,総合評価
4.48,4.86,4.22,4.23,3.69,3.25,3.3,3.56,,,4.94,3.07,3.5,3.83,4.04,3.89,3.67,3.33,実績評価
4.53,4.88,3.66,3.68,3.85,3.0,3.2,3.2,,,4.91,2.93,3.25,3.47,3.95,3.64,3.43,1.67,ポテンシャル評価
"<a href=""/race/202105021211/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/202109020411/"" title=""大阪杯(G1)"">大阪杯(G1)</a>","<a href=""/race/202109021211/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/202109030411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/202109040211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/202105040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/202104040811/"" title=""新潟記念(G3)"">新潟記念(G3)</a>","<a href=""/race/202105040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>",,,"<a href=""/race/202105030211/"" title=""安田記念(G1)"">安田記念(G1)</a>","<a href=""/race/202105040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/202106020211/"" title=""中山記念(G2)"">中山記念(G2)</a>","<a href=""/race/202105040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/202101020411/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/202105040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/202101020411/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/202109040211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>",前走レース名
1.7,1.8,5.2,6.7,12.5,45.0,6.0,39.4,,,1.5,35.9,2.5,8.7,28.2,40.0,32.2,43.8,前走オッズ
2,3,1,4,13,5,2,10,,,2,6,1,3,3,13,6,11,前走成績
"<a href=""/race/202106030811/"" title=""皐月賞(G1)"">皐月賞(G1)</a>","<a href=""/race/202005050912/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/202106030111/"" title=""日経賞(G2)"">日経賞(G2)</a>","<a href=""/race/202109021211/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/202109030411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/202104040610/"" title=""朱鷺S(L)"">朱鷺S(L)</a>","<a href=""/race/202102010611/"" title=""函館記念(G3)"">函館記念(G3)</a>","<a href=""/race/202109030411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>",,,"<a href=""/race/202105020811/"" title=""ヴィクトリアマイル(G1)"">ヴィクトリアマイル(G1)</a>","<a href=""/race/202107040111/"" title=""鳴尾記念(G3)"">鳴尾記念(G3)</a>","<a href=""/race/202106010111/"" title=""日刊スポ賞中山金杯(G3)"">日刊スポ賞中山金杯(G3)</a>","<a href=""/race/202104020211/"" title=""新潟大賞典(G3)"">新潟大賞典(G3)</a>","<a href=""/race/202107040111/"" title=""鳴尾記念(G3)"">鳴尾記念(G3)</a>","<a href=""/race/202106030111/"" title=""日経賞(G2)"">日経賞(G2)</a>","<a href=""/race/202109021211/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/202105021212/"" title=""目黒記念(G2)"">目黒記念(G2)</a>",2走前レース名
3.7,2.8,5.0,7.3,23.5,3.8,4.5,74.0,,,1.3,3.7,3.1,3.5,11.3,7.9,12.0,15.1,2走前オッズ
1,2,3,3,8,1,1,7,,,1,6,1,2,4,8,7,11,2走前成績
"<a href=""/race/202105010611/"" title=""共同通信杯(G3)"">共同通信杯(G3)</a>","<a href=""/race/202008040611/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/202006050811/"" title=""有馬記念(G1)"">有馬記念(G1)</a>","<a href=""/race/202106030111/"" title=""日経賞(G2)"">日経賞(G2)</a>","<a href=""/race/202109020411/"" title=""大阪杯(G1)"">大阪杯(G1)</a>","<a href=""/race/202105020711/"" title=""京王杯スプリングC(G2)"">京王杯スプリングC(G2)</a>","<a href=""/race/202104020211/"" title=""新潟大賞典(G3)"">新潟大賞典(G3)</a>","<a href=""/race/202105030211/"" title=""安田記念(G1)"">安田記念(G1)</a>",,,"<a href=""/race/202109020411/"" title=""大阪杯(G1)"">大阪杯(G1)</a>","<a href=""/race/202104020211/"" title=""新潟大賞典(G3)"">新潟大賞典(G3)</a>","<a href=""/race/202005050911/"" title=""ウェルカムS(3勝クラス)"">ウェルカムS(3勝クラス)</a>","<a href=""/race/202107020211/"" title=""金鯱賞(G2)"">金鯱賞(G2)</a>","<a href=""/race/202109020411/"" title=""大阪杯(G1)"">大阪杯(G1)</a>","<a href=""/race/202106010811/"" title=""アメリカジョッキーC(G2)"">アメリカジョッキーC(G2)</a>","<a href=""/race/202109011211/"" title=""阪神大賞典(G2)"">阪神大賞典(G2)</a>","<a href=""/race/202104020211/"" title=""新潟大賞典(G3)"">新潟大賞典(G3)</a>",3走前レース名
6.8,1.1,13.5,2.3,68.8,15.7,20.3,167.9,,,2.8,5.5,8.9,19.8,111.3,14.7,8.7,32.2,3走前オッズ
1,1,5,2,2,3,4,6,,,4,1,1,3,10,3,2,7,3走前成績
