0,1,10,11,12,13,14,15,16,17,2,3,4,5,6,7,8,9,Unnamed: 0
ジャスタウェイ,ジェンティルドンナ,トーセンジョーダン,トゥザグローリー,オーシャンブルー,レインスティック,ダイワファルコン,ダノンバラード,レッドスパーダ,,エイシンフラッシュ,アンコイルド,コディーノ,ナカヤマナイト,ヒットザターゲット,ヴェルデグリーン,フラガラッハ,トウケイヘイロー,馬名
福永祐一,岩田康誠,メンディ,池添謙一,内田博幸,武士沢友,川須栄彦,川田将雅,蛯名正義,,Ｍ．デム,吉田隼人,リスポリ,柴田善臣,北村友一,田辺裕信,高倉稜,武豊,騎手名
7,9,10,4,14,5,3,16,15,,6,13,1,2,8,17,12,11,枠順
1:57.5,1:58.2,1:59.8,1:59.8,2:00.0,2:00.3,2:00.4,2:00.5,2:02.0,,1:58.5,1:58.6,1:58.8,1:59.1,1:59.2,1:59.3,1:59.5,1:59.7,走破タイム
15.5,2.0,59.7,51.2,83.4,235.4,240.9,32.1,141.9,,4.7,46.8,14.9,85.8,72.8,38.7,182.1,4.4,オッズ
11-10-9,2-2-2,8-6-7,12-12-11,13-13-13,16-16-16,2-2-3,5-5-3,4-2-3,,8-9-10,5-6-6,5-6-7,10-10-11,14-13-13,15-15-13,16-16-16,1-1-1,通過順位
496(-2),470(0),476(-18),526(-8),438(+12),464(+8),514(+6),484(+2),528(-6),,488(+4),478(-6),482(-8),486(0),512(-2),476(+4),496(-4),492(+4),馬体重
牡4,牝4,牡7,牡6,牡5,牡6,牡6,牡5,牡7,,牡6,牡4,牡3,牡5,牡5,牡5,牡6,牡4,性齢
58,56,58,58,58,58,58,58,58,,58,58,56,58,58,58,58,58,斤量
34.6,35.8,37.0,36.7,36.7,36.7,37.9,38.0,39.5,,35.5,36.0,36.1,36.0,35.9,35.9,35.9,37.5,上がり3ハロン
5,1,10,9,12,16,17,6,14,,3,8,4,13,11,7,15,2,人気
3,3,7,26,9,8,3,19,23,,6,14,8,5,11,3,11,7,芝適性
57,62,74,63,66,33,58,62,27,,72,63,55,54,65,58,28,46,距離適性
109,52,35,54,95,87,55,70,25,,92,28,51,78,96,95,104,12,脚質
98,50,73,75,76,56,61,59,60,,57,67,46,70,83,74,70,76,成長
49,83,54,49,49,58,53,40,52,,37,47,49,50,61,49,60,33,馬場適性
4.25,4.28,4.16,3.78,3.87,3.75,3.36,3.24,3.92,,4.23,3.0,3.95,3.56,3.34,3.05,3.66,3.62,総合評価
4.25,4.28,4.16,3.78,3.87,3.75,3.36,3.24,3.92,,4.23,3.0,3.95,3.56,3.34,3.05,3.66,3.62,実績評価
4.13,4.42,4.15,3.53,3.47,3.75,2.95,2.98,3.88,,4.18,2.88,3.81,3.35,2.98,3.0,3.21,3.48,ポテンシャル評価
"<a href=""/race/201305040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201309030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201302040211/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/201308040211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/201306040711/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201305040411/"" title=""アイルランドT(OP)"">アイルランドT(OP)</a>","<a href=""/race/201306040711/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201306040711/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201305040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>",,"<a href=""/race/201305040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201308040211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/201305040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201309030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201308040211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/201306040711/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201306040211/"" title=""京成杯オータムH(G3)"">京成杯オータムH(G3)</a>","<a href=""/race/201302040211/"" title=""札幌記念(G2)"">札幌記念(G2)</a>",前走レース名
9.3,2.4,10.2,33.2,14.1,16.5,6.9,3.0,9.8,,7.9,50.1,5.2,49.0,166.2,38.0,22.3,3.4,前走オッズ
2,3,13,6,7,1,8,3,4,,1,2,7,6,1,1,11,1,前走成績
