0,1,10,11,12,13,14,15,2,3,4,5,6,7,8,9,Unnamed: 0
ゼンノロブロイ,タップダンスシチー,コスモバルク,ピサノクウカイ,グレイトジャーニー,ヒシミラクル,コイントス,,シルクフェイマス,ダイタクバートラム,デルタブルース,ハイアーゲーム,アドマイヤドン,ツルマルボーイ,ハーツクライ,ユキノサンロイヤル,馬名
ペリエ,佐藤哲三,五十嵐冬,藤田伸二,小牧太,角田晃一,岡部幸雄,,四位洋文,武豊,ボニヤ,吉田豊,安藤勝己,蛯名正義,横山典弘,柴田善臣,騎手名
1,9,4,2,12,11,14,,6,8,10,3,15,13,5,7,枠順
2:29.5,2:29.6,2:30.5,2:31.0,2:31.0,2:31.3,2:31.5,,2:29.8,2:30.0,2:30.0,2:30.4,2:30.4,2:30.5,2:30.5,2:30.5,走破タイム
2.0,8.8,7.0,94.6,85.8,13.1,91.1,,27.3,11.2,8.9,109.8,21.3,15.5,43.5,125.2,オッズ
2-2-2-2,1-1-1-1,9-8-8-8,11-11-11-10,6-6-6-7,2-2-2-3,4-5-4-5,,7-6-6-5,10-10-9-10,4-4-4-3,13-14-14-14,8-8-9-8,11-11-11-12,15-15-15-15,13-13-13-12,通過順位
508(+6),504(0),498(+6),514(+2),458(-2),456(+2),534(+6),,480(+14),498(0),530(+18),518(+12),452(-2),462(-2),472(-8),472(+2),馬体重
牡4,牡7,牡3,牡3,牡3,牡5,牡6,,牡5,牡6,牡3,牡3,牡5,牡6,牡3,牡7,性齢
57,57,55,55,55,57,57,,57,57,55,55,57,57,55,57,斤量
35.3,35.7,35.6,35.7,36.4,37.1,37.1,,35.1,34.9,35.6,34.5,35.3,35.1,34.2,34.9,上がり3ハロン
1,3,2,13,11,6,12,,9,5,4,14,8,7,10,15,人気
7,8,20,9,10,4,4,,5,4,6,4,81,4,4,8,芝適性
65,80,60,69,37,109,88,,77,105,112,80,58,59,76,78,距離適性
59,3,6,34,49,96,19,,13,102,25,105,54,113,73,100,脚質
67,112,46,59,46,94,75,,98,93,83,60,62,92,80,95,成長
47,27,46,61,67,45,45,,91,66,43,75,29,82,63,45,馬場適性
4.31,4.29,3.59,,3.0,3.97,3.25,,3.71,3.5,3.9,3.9,3.73,3.75,4.35,3.25,総合評価
4.31,4.29,3.59,,3.0,3.97,3.25,,3.71,3.5,3.9,3.9,3.73,3.75,4.35,3.25,実績評価
4.31,4.23,3.45,,3.0,4.08,3.25,,3.5,3.38,4.0,3.5,3.68,3.75,4.27,3.25,ポテンシャル評価
