Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
馬名,マツリダゴッホ,ダイワスカーレット,ダイワメジャー,ロックドゥカンブ,ポップロック,ドリームパスポート,レゴラス,メイショウサムソン,インティライミ,コスモバルク,ウオッカ,デルタブルース,チョウサン,ハイアーゲーム,サンツェッペリン,フサイチパンドラ
騎手名,蛯名正義,安藤勝己,Ｍデムー,キネーン,ペリエ,高田潤,柴田善臣,武豊,福永祐一,松岡正海,四位洋文,川田将雅,横山典弘,ルメール,北村宏司,藤田伸二
枠順,3,7,4,8,6,2,5,1,12,11,16,13,15,14,9,10
走破タイム,2:33.6,2:33.8,2:34.2,2:34.3,2:34.5,2:34.8,2:35.1,2:35.2,2:35.3,2:35.6,2:35.7,2:35.7,2:36.3,2:36.6,2:37.4,
オッズ,52.3,8.1,15.2,7.5,5.0,20.5,137.6,2.4,27.4,87.6,6.9,59.6,71.1,94.1,111.1,---
通過順位,3-3-3-2,2-2-2-1,8-7-8-4,10-9-8-11,7-7-6-5,15-15-15-11,12-12-12-7,11-11-11-11,12-12-12-14,6-6-4-5,8-9-8-7,5-5-6-7,1-1-1-2,12-14-14-15,3-3-4-7,
馬体重,498(+12),486(+2),538(+10),508(+8),502(0),474(+4),510(0),520(+2),466(-6),510(0),488(0),524(-2),494(0),524(+8),474(+2),計不
性齢,牡4,牝3,牡6,牡3,牡6,牡4,牡6,牡4,牡5,牡6,牝3,牡6,牡5,牡6,牡3,牝4
斤量,57,53,57,53,57,57,57,57,57,57,53,57,57,57,55,55
上がり3ハロン,36.3,36.6,36.4,36.5,36.9,36.3,37.0,37.2,37.2,38.1,37.9,38.0,39.1,38.4,40.0,
人気,9,5,6,4,2,7,15,1,8,12,3,10,11,13,14,
芝適性,8.0,13.0,14.0,13.0,7.0,6.0,24.0,10.0,6.0,20.0,7.0,6.0,8.0,4.0,10.0,17
距離適性,75.0,57.0,48.0,74.0,104.0,71.0,68.0,82.0,80.0,60.0,55.0,112.0,71.0,80.0,67.0,61
脚質,36.0,5.0,10.0,45.0,76.0,104.0,47.0,24.0,48.0,6.0,84.0,25.0,60.0,105.0,10.0,35
成長,78.0,52.0,65.0,67.0,100.0,60.0,83.0,67.0,67.0,46.0,54.0,83.0,89.0,60.0,45.0,53
馬場適性,45.0,43.0,44.0,31.0,31.0,44.0,51.0,27.0,38.0,46.0,69.0,43.0,74.0,75.0,41.0,48
総合評価,3.92,4.56,4.27,3.25,3.75,3.91,3.5,4.14,3.5,3.59,4.3,3.9,3.0,3.9,3.0,3.88
実績評価,3.92,4.56,4.27,3.25,3.75,3.91,3.5,4.14,3.5,3.59,4.3,3.9,3.0,3.9,3.0,3.88
ポテンシャル評価,4.0,4.51,4.35,3.25,3.25,3.44,2.75,4.24,3.3,3.45,4.58,4.0,3.0,3.5,2.75,3.75
前走成績,7.0,1.0,3.0,12.0,11.0,11.0,3.0,8.0,15.0,10.0,8.0,16.0,9.0,6.0,11.0,取
前々走成績,17.0,2.0,1.0,3.0,5.0,9.0,1.0,6.0,11.0,12.0,1.0,10.0,14.0,8.0,8.0,9
前々前走成績,1.0,1.0,9.0,4.0,14.0,9.0,3.0,10.0,14.0,14.0,3.0,6.0,15.0,3.0,3.0,2
前走オッズ,9.4,2.6,15.2,6.9,51.4,11.5,3.5,8.4,22.7,89.9,,53.0,50.7,30.1,12.6,
前々走オッズ,33.2,3.6,3.8,4.1,17.5,23.1,3.1,6.5,17.3,123.9,3.6,47.6,15.6,24.6,4.3,74.8
前々前走オッズ,4.6,2.0,5.6,7.5,14.2,9.9,2.6,,123.9,131.5,2.1,36.5,12.5,112.9,5.9,8.3
