0,1,10,11,12,13,14,15,2,3,4,5,6,7,8,9,Unnamed: 0
シンボリクリスエス,リンカーン,ザッツザプレンティ,アクティブバイオ,,,,,ゼンノロブロイ,ツルマルボーイ,ウインブレイズ,ダービーレグノ,チャクラ,タップダンスシチー,アグネスデジタル,ファストタテヤマ,馬名
ペリエ,武豊,安藤勝己,武幸四郎,,,,,柴田善臣,横山典弘,木幡初広,蛯名正義,後藤浩輝,佐藤哲三,四位洋文,安田康彦,騎手名
12,3,8,10,,,,,2,1,5,4,7,6,11,9,枠順
2:30.5,2:32.0,2:34.2,2:36.1,,,,,2:32.1,2:32.2,2:32.3,2:32.4,2:32.6,2:32.8,2:32.8,2:33.9,走破タイム
2.6,8.1,8.7,58.1,,,,,5.9,13.2,64.7,78.9,39.8,3.9,17.4,65.7,オッズ
6-6-5-2,4-4-2-1,1-1-1-3,2-2-2-12,,,,,4-4-6-3,12-12-12-9,7-6-7-6,9-9-8-7,9-9-8-8,3-3-2-3,8-8-8-9,11-11-11-9,通過順位
538(-2),466(0),502(+6),504(+4),,,,,506(+12),454(-8),540(+6),458(0),466(+8),506(+4),466(-2),458(-2),馬体重
牡4,牡3,牡3,牡6,,,,,牡3,牡5,牡6,牡5,牡3,牡6,牡6,牡4,性齢
57,55,55,57,,,,,55,57,57,57,55,57,57,57,斤量
35.3,37.0,39.3,41.0,,,,,36.8,35.2,36.8,36.2,36.4,37.8,36.6,37.5,上がり3ハロン
1,4,5,9,,,,,3,6,10,12,8,2,7,11,人気
9,4,7,8,,,,,7,4,14,4,10,8,58,5,芝適性
71,97,110,101,,,,,65,59,55,58,110,80,49,105,距離適性
87,85,13,24,,,,,59,113,69,103,87,3,102,112,脚質
72,73,61,87,,,,,67,92,89,61,81,112,78,67,成長
56,67,18,23,,,,,47,82,44,36,34,27,11,58,馬場適性
4.38,3.57,3.8,3.25,,,,,4.31,3.75,3.25,3.25,3.33,4.29,4.3,3.25,総合評価
4.38,3.57,3.8,3.25,,,,,4.31,3.75,3.25,3.25,3.33,4.29,4.3,3.25,実績評価
4.38,3.29,3.5,3.25,,,,,4.31,3.75,3.25,3.25,3.17,4.23,4.41,2.83,ポテンシャル評価
"<a href=""/race/200305040810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200308040611/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/200305040810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200305040810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>",,,,,"<a href=""/race/200308040611/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/200305040810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200309050411/"" title=""鳴尾記念(G3)"">鳴尾記念(G3)</a>","<a href=""/race/200305040810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200306060111/"" title=""ステイヤーズS(G2)"">ステイヤーズS(G2)</a>","<a href=""/race/200305040810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200305030811/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200306060111/"" title=""ステイヤーズS(G2)"">ステイヤーズS(G2)</a>",前走レース名
1.9,14.4,14.0,123.6,,,,,2.5,20.6,9.4,143.3,11.4,13.8,7.9,2.8,前走オッズ
3,2,2,5,,,,,4,15,1,10,1,1,17,10,前走成績
"<a href=""/race/200305030811/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200309040611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200308040611/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/200305040211/"" title=""アルゼンチン共和国杯(G2)"">アルゼンチン共和国杯(G2)</a>",,,,,"<a href=""/race/200309040611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200305030811/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200303030811/"" title=""福島記念(G3)"">福島記念(G3)</a>","<a href=""/race/200305030811/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200308050409/"" title=""ドンカスターS(OP)"">ドンカスターS(OP)</a>","<a href=""/race/200308040211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/200335101310/"" title=""マイルチャンピオンシ(G1)"">マイルチャンピオンシ(G1)</a>","<a href=""/race/200305030811/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>",2走前レース名
2.7,13.0,20.2,21.1,,,,,3.9,9.6,9.3,38.7,2.9,2.2,,24.0,2走前オッズ
1,4,1,1,,,,,1,2,2,10,6,1,5,7,2走前成績
"<a href=""/race/200309030411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200305020410/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/200309040611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200308040211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>",,,,,"<a href=""/race/200305020410/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/200309030411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200302020411/"" title=""函館記念(G3)"">函館記念(G3)</a>","<a href=""/race/200304030611/"" title=""新潟記念(G3)"">新潟記念(G3)</a>","<a href=""/race/200308040611/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/200309030411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200343091510/"" title=""日本テレビ盃(G2)"">日本テレビ盃(G2)</a>","<a href=""/race/200306050611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>",3走前レース名
2.1,35.6,10.0,15.4,,,,,6.4,30.4,8.3,6.1,32.3,9.3,,8.7,3走前オッズ
5,8,5,7,,,,,2,2,5,1,6,3,2,2,3走前成績
