Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
馬名,ジェンティルドンナ,トゥザワールド,ゴールドシップ,ジャスタウェイ,エピファネイア,ラキシス,ラストインパクト,トーセンラー,デニムアンドルビー,フェノーメノ,サトノノブレス,ウインバリアシオン,ワンアンドオンリー,ヴィルシーナ,メイショウマンボ,オーシャンブルー
騎手名,戸崎圭太,ビュイッ,岩田康誠,福永祐一,川田将雅,Ｃ．デム,菱田裕二,武豊,浜中俊,田辺裕信,池添謙一,藤岡康太,横山典弘,内田博幸,武幸四郎,蛯名正義
枠順,4,6,14,15,13,5,7,1,12,10,11,9,3,2,8,16
走破タイム,2:35.3,2:35.4,2:35.4,2:35.5,2:35.5,2:35.5,2:35.5,2:35.7,2:35.7,2:35.7,2:35.9,2:35.9,2:36.0,2:36.1,2:36.4,2:36.4
オッズ,8.7,31.2,3.5,4.6,4.0,36.3,17.6,22.8,118.6,15.3,81.0,34.9,11.8,77.7,86.3,87.1
通過順位,3-3-3-2,7-7-6-7,11-10-6-5,13-13-13-12,2-2-2-1,5-5-5-2,8-9-10-10,3-3-3-5,11-11-10-12,8-7-6-7,13-13-14-15,10-11-10-7,5-5-6-10,1-1-1-2,16-16-16-16,15-15-14-14
馬体重,470(-2),524(+4),510(0),504(+6),494(+2),458(0),484(-2),462(-4),448(+6),502(+8),512(+4),530(-4),492(+4),458(+4),486(-4),432(-4)
性齢,牝5,牡3,牡5,牡5,牡4,牝4,牡4,牡6,牝4,牡5,牡4,牡6,牡3,牝5,牝4,牡6
斤量,55,55,57,57,57,55,57,57,55,57,57,57,55,55,55,57
上がり3ハロン,34.1,33.8,33.9,33.4,34.6,34.1,33.7,34.4,33.9,34.2,33.6,34.1,34.4,35.4,33.9,34.2
人気,4,9,1,3,2,11,7,8,16,6,13,10,5,12,14,15
芝適性,3,11,5,3,10,1,12,2,1,5,4,3,1,6,4,9
距離適性,62,62,100,57,75,63,76,64,65,77,62,96,72,60,56,66
脚質,52,46,107,109,49,85,47,97,114,35,75,109,105,20,112,95
成長,50,63,74,98,62,75,74,63,58,67,62,76,53,55,56,76
馬場適性,83,47,14,49,38,46,51,84,22,55,57,32,47,61,39,49
総合評価,4.28,3.91,4.16,4.25,4.11,3.63,3.96,3.55,3.39,4.03,3.44,4.09,3.84,3.67,3.85,3.87
実績評価,4.28,3.91,4.16,4.25,4.11,3.63,3.96,3.55,3.39,4.03,3.44,4.09,3.84,3.67,3.85,3.87
ポテンシャル評価,4.42,3.7,4.15,4.13,3.76,3.46,3.63,3.32,3.24,3.86,2.87,3.75,3.94,3.52,4.35,3.47
前走レース名,"<a href=""/race/201405050911/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201408040711/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/2014A8a00c05/"" title=""凱旋門賞(G1)"">凱旋門賞(G1)</a>","<a href=""/race/201405050911/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201405050911/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201408050411/"" title=""エリザベス女王杯(G1)"">エリザベス女王杯(G1)</a>","<a href=""/race/201407040111/"" title=""金鯱賞(G2)"">金鯱賞(G2)</a>","<a href=""/race/201408050611/"" title=""マイルチャンピオンS(G1)"">マイルチャンピオンS(G1)</a>","<a href=""/race/201405050911/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201405050911/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201407040111/"" title=""金鯱賞(G2)"">金鯱賞(G2)</a>","<a href=""/race/201407040111/"" title=""金鯱賞(G2)"">金鯱賞(G2)</a>","<a href=""/race/201405050911/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201408050411/"" title=""エリザベス女王杯(G1)"">エリザベス女王杯(G1)</a>","<a href=""/race/201408050411/"" title=""エリザベス女王杯(G1)"">エリザベス女王杯(G1)</a>","<a href=""/race/201407040111/"" title=""金鯱賞(G2)"">金鯱賞(G2)</a>"
前走オッズ,3.6,5.3,,6.7,8.9,6.8,3.8,4.7,13.0,18.2,7.0,5.4,14.3,18.3,5.6,41.6
前走成績,4,16,14,2,1,1,1,4,11,8,2,15,7,11,12,12
2走前レース名,"<a href=""/race/201405040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201404030411/"" title=""朝日セントライト記念(G2)"">朝日セントライト記念(G2)</a>","<a href=""/race/201401020211/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/2014A8a00c05/"" title=""凱旋門賞(G1)"">凱旋門賞(G1)</a>","<a href=""/race/201405040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201404030611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201408040311/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/201408040311/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/201405040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201405040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201405040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201409030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201408040711/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/201409030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201408040311/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/201408030411/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>"
2走前オッズ,4.7,4.3,1.8,,8.0,17.5,5.2,2.6,18.7,4.9,47.8,3.0,2.4,35.6,4.7,179.2
2走前成績,2,2,2,8,6,2,1,3,7,14,8,7,9,3,10,12
