0,1,10,11,12,13,14,15,2,3,4,5,6,7,8,9,Unnamed: 0
シンボリクリスエス,タップダンスシチー,ヒシミラクル,アクティブバイオ,アメリカンボス,イーグルカフェ,,,コイントス,ナリタトップロード,ファインモーション,ノーリーズン,ジャングルポケット,フサイチランハート,エアシャカール,テイエムオーシャン,馬名
ペリエ,佐藤哲三,角田晃一,後藤浩輝,江田照男,田中勝春,,,岡部幸雄,渡辺薫彦,武豊,蛯名正義,藤田伸二,バルジュ,横山典弘,本田優,騎手名
1,8,3,14,7,10,,,2,11,12,6,9,13,4,5,枠順
2:32.6,2:32.7,2:34.2,2:34.4,2:34.7,2:34.9,,,2:33.0,2:33.4,2:33.4,2:33.7,2:33.9,2:33.9,2:34.1,2:34.1,走破タイム
3.7,86.3,18.5,72.6,62.7,29.3,,,29.2,10.6,2.6,20.8,4.5,94.9,21.1,33.2,オッズ
6-6-6-6,2-2-1-1,13-14-14-11,4-4-4-6,8-8-6-9,11-11-12-14,,,4-4-4-4,3-3-3-3,1-1-2-2,8-8-10-9,8-8-6-4,11-12-12-11,13-13-10-11,6-6-6-6,通過順位
528(-8),500(-8),464(+4),502(+2),492(+6),486(+14),,,538(+8),506(+8),482(-6),476(+2),476(-2),494(+6),510(+2),468(+6),馬体重
牡3,牡5,牡3,牡5,牡7,牡5,,,牡4,牡6,牝3,牡3,牡4,牡5,牡5,牝4,性齢
55,57,55,57,57,57,,,57,57,53,55,57,57,57,55,斤量
34.6,35.9,35.6,36.6,36.8,36.7,,,35.2,35.8,35.9,35.6,35.9,35.7,36.0,36.2,上がり3ハロン
2,13,5,12,11,9,,,8,4,1,6,3,14,7,10,人気
9,8,4,8,12,57,,,4,3,8,11,4,4,4,3,芝適性
71,80,109,101,63,46,,,88,106,57,61,75,76,74,41,距離適性
87,3,96,24,16,101,,,19,33,35,48,111,99,105,5,脚質
72,112,94,87,89,58,,,75,67,49,31,50,60,32,35,成長
56,27,45,23,24,34,,,45,95,71,57,42,61,68,41,馬場適性
4.38,4.29,3.97,3.25,,3.5,,,3.25,4.08,4.15,3.5,4.33,,3.63,4.09,総合評価
4.38,4.29,3.97,3.25,,3.5,,,3.25,4.08,4.15,3.5,4.33,,3.63,4.09,実績評価
4.38,4.23,4.08,3.25,,3.07,,,3.25,3.77,3.73,3.5,4.19,,3.88,4.14,ポテンシャル評価
