0,1,10,11,12,13,14,15,2,3,4,5,6,7,8,9,Unnamed: 0
ディープインパクト,ポップロック,コスモバルク,スウィフトカレント,ウインジェネラーレ,トーセンシャナオー,,,ダイワメジャー,ドリームパスポート,メイショウサムソン,デルタブルース,トウショウナイト,アドマイヤフジ,アドマイヤメイン,スイープトウショウ,馬名
武豊,ペリエ,五十嵐冬,横山典弘,蛯名正義,勝浦正樹,,,安藤勝己,内田博幸,石橋守,岩田康誠,武士沢友,武幸四郎,柴田善臣,池添謙一,騎手名
4,1,7,11,13,14,,,5,3,8,2,9,12,10,6,枠順
2:31.9,2:32.4,2:33.2,2:33.3,2:33.6,2:34.0,,,2:32.5,2:32.5,2:32.7,2:32.7,2:32.8,2:32.8,2:32.8,2:32.9,走破タイム
1.2,31.1,36.4,92.0,209.9,218.2,,,15.1,13.1,21.4,39.0,73.9,131.4,35.4,29.6,オッズ
12-12-11-10,4-3-4-4,9-9-9-7,14-14-14-14,10-10-10-7,4-6-8-10,,,2-2-2-2,7-8-7-7,3-3-2-2,4-3-4-4,7-7-6-4,10-11-12-12,1-1-1-1,13-13-13-12,通過順位
438(+2),494(0),512(+2),478(-4),556(0),442(-4),,,532(+6),478(+12),518(+4),520(0),496(+14),528(-8),496(-7),456(-8),馬体重
牡4,牡5,牡5,牡5,牡6,牡3,,,牡5,牡3,牡3,牡5,牡5,牡4,牡3,牝5,性齢
57,57,57,57,57,55,,,57,55,55,57,57,57,55,55,斤量
33.8,35.0,35.4,34.4,35.7,36.3,,,35.3,34.9,35.4,35.3,35.3,34.6,36.3,34.5,上がり3ハロン
1,6,8,11,13,14,,,3,2,4,9,10,12,7,5,人気
9,7,20,6,20,24,,,14,6,10,6,13,8,11,7,芝適性
83,104,60,67,100,57,,,48,71,82,112,98,77,66,56,距離適性
110,76,6,100,19,20,,,10,104,24,25,76,100,9,113,脚質
56,100,46,82,84,53,,,65,60,67,83,88,70,50,58,成長
45,31,46,69,43,68,,,44,44,27,43,26,56,50,66,馬場適性
4.63,3.75,3.59,3.5,,3.0,,,4.27,3.91,4.14,3.9,3.25,3.25,3.0,4.03,総合評価
4.63,3.75,3.59,3.5,,3.0,,,4.27,3.91,4.14,3.9,3.25,3.25,3.0,4.03,実績評価
4.72,3.25,3.45,3.33,,3.0,,,4.35,3.44,4.24,4.0,3.25,3.25,2.67,4.11,ポテンシャル評価
"<a href=""/race/200605050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/2006B6a00107/"" title=""メルボルンC(G1)"">メルボルンC(G1)</a>","<a href=""/race/200605050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200605050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200607040211/"" title=""中日新聞杯(G3)"">中日新聞杯(G3)</a>","<a href=""/race/200605050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>",,,"<a href=""/race/200608060611/"" title=""マイルチャンピオンS(G1)"">マイルチャンピオンS(G1)</a>","<a href=""/race/200605050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200605050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/2006B6a00107/"" title=""メルボルンC(G1)"">メルボルンC(G1)</a>","<a href=""/race/200605050211/"" title=""アルゼンチン共和国杯(G2)"">アルゼンチン共和国杯(G2)</a>","<a href=""/race/200608010611/"" title=""日経新春杯(G2)"">日経新春杯(G2)</a>","<a href=""/race/2006G0a00103/"" title=""香港ヴァーズ(G1)"">香港ヴァーズ(G1)</a>","<a href=""/race/200608060411/"" title=""エリザベス女王杯(G1)"">エリザベス女王杯(G1)</a>",前走レース名
1.3,,40.9,43.3,24.4,151.1,,,2.3,16.2,16.0,,4.1,5.4,,2.9,前走オッズ
1,2,4,8,7,9,,,1,2,6,1,1,1,8,2,前走成績
"<a href=""/race/2006A8100107/"" title=""凱旋門賞(G1)"">凱旋門賞(G1)</a>","<a href=""/race/2006B6102108/"" title=""コーフィールドC(G1)"">コーフィールドC(G1)</a>","<a href=""/race/200605040811/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200605040811/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200605050211/"" title=""アルゼンチン共和国杯(G2)"">アルゼンチン共和国杯(G2)</a>","<a href=""/race/200608050611/"" title=""菊花賞(G1)"">菊花賞(G1)</a>",,,"<a href=""/race/200605040811/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200608050611/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/200608050611/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/2006B6102108/"" title=""コーフィールドC(G1)"">コーフィールドC(G1)</a>","<a href=""/race/200608050211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/200508050610/"" title=""古都S(1600万下)"">古都S(1600万下)</a>","<a href=""/race/200608050611/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/200605040811/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>",2走前レース名
,,6.2,16.9,6.7,48.9,,,7.0,4.9,2.0,,7.2,3.5,6.2,3.9,2走前オッズ
失,7,4,2,8,16,,,1,2,4,3,3,1,3,5,2走前成績
"<a href=""/race/200608040411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200605030412/"" title=""目黒記念(G2)"">目黒記念(G2)</a>","<a href=""/race/200606040611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/200606040611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/200606040611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/200606040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>",,,"<a href=""/race/200605040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200607030611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200607030611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200608030411/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/200601010809/"" title=""札幌日経OP(OP)"">札幌日経OP(OP)</a>","<a href=""/race/200508040611/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/200607030611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200608050211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>",3走前レース名
1.1,6.7,4.2,4.9,134.1,67.8,,,6.4,8.6,1.6,24.5,3.8,30.2,3.6,5.1,3走前オッズ
1,1,2,4,6,1,,,1,1,2,10,1,6,7,1,3走前成績
