Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
馬名,ドリームジャーニー,ブエナビスタ,エアシェイディ,フォゲッタブル,マイネルキッツ,セイウンワンダー,マツリダゴッホ,イコピコ,シャドウゲイト,コスモバルク,ミヤビランベリ,ネヴァブション,リーチザクラウン,テイエムプリキュア,アンライバルド,スリーロールス
騎手名,池添謙一,横山典弘,後藤浩輝,ルメール,三浦皇成,藤田伸二,蛯名正義,内田博幸,田中勝春,五十嵐冬,吉田隼人,北村宏司,武豊,熊沢重文,Ｍデムー,浜中俊
枠順,9,2,6,16,4,14,7,11,13,5,3,15,8,12,1,10
走破タイム,2:30.0,2:30.1,2:30.8,2:30.8,2:31.2,2:31.6,2:31.9,2:32.6,2:32.7,2:32.8,2:32.8,2:33.9,2:34.6,2:35.7,2:36.8,
オッズ,4.0,3.4,32.0,9.6,33.2,21.0,9.4,17.2,123.4,89.9,14.7,60.0,12.6,65.0,14.9,13.5
通過順位,15-15-14-8,6-6-4-3,16-16-15-12,13-13-10-5,10-10-6-5,13-13-10-5,10-10-4-1,6-8-6-8,4-4-2-2,10-10-10-12,2-2-2-3,6-8-9-14,1-1-1-8,3-2-10-15,5-5-6-11,6-6
馬体重,426(+4),446(-8),494(0),484(-2),504(+6),518(+4),502(+12),456(-10),504(+4),512(+2),492(-4),488(-2),508(+2),504(-2),474(+4),498(0)
性齢,牡5,牝3,牡8,牡3,牡6,牡3,牡6,牡3,牡7,牡8,牡6,牡6,牡3,牝6,牡3,牡3
斤量,57,53,57,55,57,55,57,55,57,57,57,57,55,55,55,55
上がり3ハロン,35.2,35.8,35.7,36.1,36.7,36.9,37.6,38.2,38.6,38.1,38.7,39.3,40.6,41.0,42.4,
人気,2,1,11,4,12,10,3,9,16,15,7,13,5,14,8,6
芝適性,6.0,5.0,5.0,8.0,7.0,12.0,8.0,6.0,9.0,20.0,9.0,11.0,11.0,15.0,9.0,7
距離適性,63.0,64.0,58.0,99.0,98.0,54.0,75.0,70.0,65.0,60.0,83.0,90.0,61.0,57.0,61.0,95
脚質,110.0,108.0,84.0,87.0,83.0,79.0,36.0,95.0,7.0,6.0,8.0,83.0,16.0,32.0,86.0,38
成長,70.0,48.0,76.0,81.0,93.0,49.0,78.0,66.0,77.0,46.0,88.0,85.0,53.0,43.0,44.0,83
馬場適性,61.0,54.0,62.0,51.0,57.0,45.0,45.0,71.0,28.0,46.0,28.0,49.0,42.0,24.0,64.0,67
総合評価,4.28,4.31,3.58,3.55,3.88,3.1,3.92,3.5,3.36,3.59,3.75,3.38,3.3,3.39,3.7,3.5
実績評価,4.28,4.31,3.58,3.55,3.88,3.1,3.92,3.5,3.36,3.59,3.75,3.38,3.3,3.39,3.7,3.5
ポテンシャル評価,4.26,4.38,3.42,3.55,3.97,3.1,4.0,3.33,3.64,3.45,3.81,3.5,3.2,3.28,3.58,3.6
前走成績,10.0,7.0,17.0,10.0,11.0,16.0,7.0,13.0,10.0,10.0,9.0,12.0,16.0,17.0,5.0,中
前々走成績,9.0,1.0,2.0,3.0,10.0,1.0,17.0,14.0,13.0,12.0,12.0,12.0,6.0,16.0,15.0,1
前々前走成績,13.0,4.0,3.0,7.0,7.0,4.0,1.0,7.0,9.0,14.0,2.0,9.0,8.0,16.0,15.0,1
前走オッズ,15.6,3.2,20.6,71.8,24.6,27.4,9.4,6.6,31.6,89.9,31.0,77.3,102.2,78.4,49.2,13.5
前々走オッズ,5.5,3.4,7.2,54.3,50.9,3.6,33.2,23.2,356.2,123.9,7.0,471.1,36.8,30.7,14.9,19.2
前々前走オッズ,12.1,2.8,32.0,28.7,118.3,6.8,4.6,5.4,15.9,131.5,20.3,135.4,11.6,31.0,5.4,3.7
