0,1,10,11,12,13,14,15,16,17,2,3,4,5,6,7,8,9,Unnamed: 0
ダイワメジャー,スウィフトカレント,ファストタテヤマ,グレイトジャーニー,ローゼンクロイツ,オースミグラスワン,インティライミ,カンパニー,トリリオンカット,,アドマイヤムーン,コスモバルク,スイープトウショウ,ダンスインザムード,アサクサデンエン,ハットトリック,サクラメガワンダー,ローエングリン,馬名
安藤勝己,横山典弘,武幸四郎,蛯名正義,後藤浩輝,四位洋文,佐藤哲三,福永祐一,和田竜二,,武豊,五十嵐冬,池添謙一,北村宏司,田中勝春,岩田康誠,内田博幸,柴田善臣,騎手名
14,10,11,16,17,13,9,2,6,,15,8,7,4,1,12,3,5,枠順
1:58.8,1:58.9,2:00.7,2:00.8,2:00.9,2:01.0,2:01.2,2:01.4,,,1:59.0,1:59.1,1:59.2,1:59.3,1:59.4,1:59.8,1:59.9,2:00.0,走破タイム
7.0,16.9,41.8,91.1,54.4,24.8,16.2,22.0,---,,6.0,6.2,3.9,7.1,18.9,44.3,41.0,34.5,オッズ
2-2-2,9-7-6,14-14-13,12-12-11,14-15-13,16-16-16,1-1-1,12-12-13,,,10-10-10,6-6-6,8-9-9,3-3-3,7-7-8,11-11-11,4-4-4,4-4-4,通過順位
528(+2),484(+10),460(+2),466(+2),450(-6),534(+2),478(-4),456(0),460(-2),,464(-6),500(+2),458(-12),482(-6),496(+2),494(+2),468(+2),494(0),馬体重
牡5,牡5,牡7,牡5,牡4,牡4,牡4,牡5,牡6,,牡3,牡5,牝5,牝5,牡7,牡5,牡3,牡7,性齢
58,58,58,58,58,58,58,58,58,,56,58,56,56,58,58,56,58,斤量
35.2,34.7,35.2,35.8,35.4,35.1,38.0,35.9,,,34.2,34.9,34.6,35.5,35.1,34.8,36.0,36.0,上がり3ハロン
4,7,13,16,15,10,6,9,,,2,3,1,5,8,14,12,11,人気
14,6,5,10,6,7,6,5,9,,11,20,7,7,8,5,6,15,芝適性
48,67,105,37,67,62,80,56,91,,55,60,56,46,27,29,61,48,距離適性
10,100,112,49,101,94,48,100,17,,100,6,113,24,79,110,97,10,脚質
65,82,67,46,64,80,67,87,85,,51,46,58,48,94,73,60,63,成長
44,69,58,67,68,60,38,55,65,,48,46,66,49,36,75,50,45,馬場適性
4.27,3.5,3.25,3.0,3.25,3.25,3.5,4.18,3.5,,4.19,3.59,4.03,3.78,3.75,4.06,3.78,3.67,総合評価
4.27,3.5,3.25,3.0,3.25,3.25,3.5,4.18,3.5,,4.19,3.59,4.03,3.78,3.75,4.06,3.78,3.67,実績評価
4.35,3.33,2.83,3.0,3.25,3.25,3.3,4.15,3.5,,4.26,3.45,4.11,3.69,3.75,4.06,3.5,3.42,ポテンシャル評価
"<a href=""/race/200605040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200606040611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/200608050211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/200605040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200608050211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/200605040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200608050211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/200605040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200607030111/"" title=""朝日チャレンジC(G3)"">朝日チャレンジC(G3)</a>",,"<a href=""/race/200601010409/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/200606040611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/200608050211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/200605040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200605040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200605040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200605040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200605040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>",前走レース名
6.4,4.9,19.2,27.1,6.7,18.5,2.4,7.8,30.9,,3.2,4.2,5.1,5.5,4.1,15.4,36.8,16.7,前走オッズ
1,4,2,7,4,8,7,5,1,,1,2,1,2,13,12,9,3,前走成績
"<a href=""/race/200608040411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200604030611/"" title=""新潟記念(G3)"">新潟記念(G3)</a>","<a href=""/race/200601010409/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/200601010409/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/200607020311/"" title=""金鯱賞(G2)"">金鯱賞(G2)</a>","<a href=""/race/200604030611/"" title=""新潟記念(G3)"">新潟記念(G3)</a>","<a href=""/race/200609010811/"" title=""阪神大賞典(G2)"">阪神大賞典(G2)</a>","<a href=""/race/200608040411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200604030611/"" title=""新潟記念(G3)"">新潟記念(G3)</a>",,"<a href=""/race/200605030410/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/200601010809/"" title=""札幌日経OP(OP)"">札幌日経OP(OP)</a>","<a href=""/race/200508050411/"" title=""エリザベス女王杯(G1)"">エリザベス女王杯(G1)</a>","<a href=""/race/2006A4070106/"" title=""キャッシュコール(G3)"">キャッシュコール(G3)</a>","<a href=""/race/200605030611/"" title=""安田記念(G1)"">安田記念(G1)</a>","<a href=""/race/200608040411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200605030410/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/200606040211/"" title=""京成杯オータムH(G3)"">京成杯オータムH(G3)</a>",2走前レース名
25.6,3.4,15.2,16.6,2.6,5.9,10.3,39.7,105.5,,5.9,3.7,2.8,,24.5,35.9,12.5,7.7,2走前オッズ
4,4,6,7,2,6,8,5,7,,7,2,1,1,2,7,10,4,2走前成績
