,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
馬名,ダイワメジャー,スウィフトカレント,アドマイヤムーン,コスモバルク,スイープトウショウ,ダンスインザムード,アサクサデンエン,ハットトリック,サクラメガワンダー,ローエングリン,ファストタテヤマ,グレイトジャーニー,ローゼンクロイツ,オースミグラスワン,インティライミ,カンパニー,トリリオンカット,
騎手名,安藤勝己,横山典弘,武豊,五十嵐冬,池添謙一,北村宏司,田中勝春,岩田康誠,内田博幸,柴田善臣,武幸四郎,蛯名正義,後藤浩輝,四位洋文,佐藤哲三,福永祐一,和田竜二,
枠順,14,10,15,8,7,4,1,12,3,5,11,16,17,13,9,2,6,
走破タイム,1:58.8,1:58.9,1:59.0,1:59.1,1:59.2,1:59.3,1:59.4,1:59.8,1:59.9,2:00.0,2:00.7,2:00.8,2:00.9,2:01.0,2:01.2,2:01.4,,
オッズ,7.0,16.9,6.0,6.2,3.9,7.1,18.9,44.3,41.0,34.5,41.8,91.1,54.4,24.8,16.2,22.0,---,
通過順位,2-2-2,9-7-6,10-10-10,6-6-6,8-9-9,3-3-3,7-7-8,11-11-11,4-4-4,4-4-4,14-14-13,12-12-11,14-15-13,16-16-16,1-1-1,12-12-13,,
馬体重,528(+2),484(+10),464(-6),500(+2),458(-12),482(-6),496(+2),494(+2),468(+2),494(0),460(+2),466(+2),450(-6),534(+2),478(-4),456(0),460(-2),
性齢,牡5,牡5,牡3,牡5,牝5,牝5,牡7,牡5,牡3,牡7,牡7,牡5,牡4,牡4,牡4,牡5,牡6,
斤量,58,58,56,58,56,56,58,58,56,58,58,58,58,58,58,58,58,
上がり3ハロン,35.2,34.7,34.2,34.9,34.6,35.5,35.1,34.8,36.0,36.0,35.2,35.8,35.4,35.1,38.0,35.9,,
人気,4,7,2,3,1,5,8,14,12,11,13,16,15,10,6,9,,
