,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
馬名,ラブリーデイ,ステファノス,イスラボニータ,ショウナンパンドラ,アンビシャス,クラレント,ペルーサ,ディサイファ,エイシンヒカリ,スピルバーグ,アドマイヤデウス,ラストインパクト,カレンミロティック,ダコール,ダービーフィズ,ワンアンドオンリー,サトノクラウン,ヴァンセンヌ
騎手名,浜中俊,戸崎圭太,蛯名正義,池添謙一,Ｍ．デム,田辺裕信,柴山雄一,四位洋文,武豊,北村宏司,岩田康誠,菱田裕二,吉田豊,三浦皇成,Ｃ．デム,内田博幸,ルメール,横山典弘
枠順,8,14,16,15,2,5,10,1,9,17,18,7,6,4,12,11,3,13
走破タイム,1:58.4,1:58.5,1:58.6,1:58.6,1:58.6,1:58.8,1:58.9,1:58.9,1:59.1,1:59.2,1:59.2,1:59.2,1:59.3,1:59.4,1:59.4,1:59.5,1:59.9,2:00.3
オッズ,3.4,34.3,11.7,9.0,8.7,122.5,95.6,8.3,4.3,23.1,106.3,31.7,58.9,142.5,48.6,35.6,12.5,63.5
通過順位,4-4-4,8-8-12,12-11-10,14-14-12,8-8-8,1-1-2,14-14-15,5-8-10,2-2-1,16-16-15,18-18-18,10-11-8,3-3-3,12-11-12,16-16-15,5-4-4,5-4-4,11-4-4
馬体重,486(-4),474(-2),476(-4),438(-2),458(+2),498(0),512(-6),498(-2),500(0),506(+6),480(+10),492(-8),454(-8),472(-14),466(+16),498(+4),480(+10),502(-2)
性齢,牡5,牡4,牡4,牝4,牡3,牡6,牡8,牡6,牡4,牡6,牡4,牡5,セ7,牡7,牡5,牡4,牡3,牡6
斤量,58,58,58,56,56,58,58,58,58,58,58,58,58,58,58,58,56,58
上がり3ハロン,33.7,33.4,33.6,33.4,33.7,34.4,33.6,33.9,34.7,33.8,33.4,34.3,34.8,34.3,34.1,34.7,35.1,35.5
人気,1,10,6,5,4,17,15,3,2,8,16,9,13,18,12,11,7,14
