,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
馬名,ジャスタウェイ,ジェンティルドンナ,エイシンフラッシュ,アンコイルド,コディーノ,ナカヤマナイト,ヒットザターゲット,ヴェルデグリーン,フラガラッハ,トウケイヘイロー,トーセンジョーダン,トゥザグローリー,オーシャンブルー,レインスティック,ダイワファルコン,ダノンバラード,レッドスパーダ,
騎手名,福永祐一,岩田康誠,Ｍ．デム,吉田隼人,リスポリ,柴田善臣,北村友一,田辺裕信,高倉稜,武豊,メンディ,池添謙一,内田博幸,武士沢友,川須栄彦,川田将雅,蛯名正義,
枠順,7,9,6,13,1,2,8,17,12,11,10,4,14,5,3,16,15,
走破タイム,1:57.5,1:58.2,1:58.5,1:58.6,1:58.8,1:59.1,1:59.2,1:59.3,1:59.5,1:59.7,1:59.8,1:59.8,2:00.0,2:00.3,2:00.4,2:00.5,2:02.0,
オッズ,15.5,2.0,4.7,46.8,14.9,85.8,72.8,38.7,182.1,4.4,59.7,51.2,83.4,235.4,240.9,32.1,141.9,
通過順位,11-10-9,2-2-2,8-9-10,5-6-6,5-6-7,10-10-11,14-13-13,15-15-13,16-16-16,1-1-1,8-6-7,12-12-11,13-13-13,16-16-16,2-2-3,5-5-3,4-2-3,
馬体重,496(-2),470(0),488(+4),478(-6),482(-8),486(0),512(-2),476(+4),496(-4),492(+4),476(-18),526(-8),438(+12),464(+8),514(+6),484(+2),528(-6),
性齢,牡4,牝4,牡6,牡4,牡3,牡5,牡5,牡5,牡6,牡4,牡7,牡6,牡5,牡6,牡6,牡5,牡7,
斤量,58,56,58,58,56,58,58,58,58,58,58,58,58,58,58,58,58,
上がり3ハロン,34.6,35.8,35.5,36.0,36.1,36.0,35.9,35.9,35.9,37.5,37.0,36.7,36.7,36.7,37.9,38.0,39.5,
人気,5,1,3,8,4,13,11,7,15,2,10,9,12,16,17,6,14,
