,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
馬名,トーセンジョーダン,ダークシャドウ,ペルーサ,ブエナビスタ,トゥザグローリー,エイシンフラッシュ,ナリタクリスタル,ミッキードリーム,ジャガーメイル,ローズキングダム,シンゲン,アクシオン,シャドウゲイト,アーネストリー,ダノンヨーヨー,シルポート,ビッグウィーク,メイショウベルーガ
騎手名,ピンナ,ベリー,横山典弘,岩田康誠,福永祐一,ルメール,武豊,和田竜二,四位洋文,メンディ,田辺裕信,柴田善臣,田中勝春,佐藤哲三,後藤浩輝,蛯名正義,川田将雅,池添謙一
枠順,12,7,8,5,17,4,16,13,9,11,15,3,14,18,2,1,6,10
走破タイム,1:56.1,1:56.2,1:56.3,1:56.4,1:56.7,1:56.8,1:57.1,1:57.2,1:57.4,1:57.5,1:57.7,1:58.0,1:58.2,1:58.6,1:58.8,1:59.2,1:59.8,
オッズ,33.3,5.7,8.2,2.8,58.9,5.9,96.9,45.4,53.2,6.6,258.3,249.9,356.2,7.3,70.7,82.8,131.5,164.5
通過順位,11-10-11,7-8-7,13-13-13,7-9-9,7-10-9,3-3-3,11-12-12,5-5-5,18-15-14,5-5-5,14-13-14,7-5-7,15-15-16,3-3-3,15-15-16,1-1-1,2-2-2,17-18
馬体重,478(-8),508(+2),520(+14),462(-10),528(+2),490(-4),484(+4),478(0),490(+4),460(-8),494(0),522(-2),502(-4),530(+8),520(+4),504(0),456(+6),498(-16)
性齢,牡5,牡4,牡4,牝5,牡4,牡4,牡5,牡4,牡7,牡4,牡8,牡8,牡9,牡6,牡5,牡6,牡4,牝6
斤量,58,58,58,56,58,58,58,58,58,58,58,58,58,58,58,58,58,56
上がり3ハロン,34.2,34.7,33.9,34.7,35.0,35.7,35.0,35.9,34.8,36.2,35.2,36.6,35.4,37.5,36.0,38.9,38.9,
人気,7,2,6,1,10,3,13,8,9,4,17,16,18,5,11,12,14,15
