,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
馬名,スピルバーグ,ジェンティルドンナ,イスラボニータ,ラブイズブーシェ,ヒットザターゲット,エピファネイア,デニムアンドルビー,サトノノブレス,カレンブラックヒル,ダークシャドウ,マイネルラクリマ,ディサイファ,マーティンボロ,フェノーメノ,フラガラッハ,ペルーサ,トーセンジョーダン,アスカクリチャン
騎手名,北村宏司,戸崎圭太,ルメール,古川吉洋,武豊,福永祐一,浜中俊,岩田康誠,秋山真一,ベリー,柴田大知,四位洋文,川田将雅,蛯名正義,高倉稜,柴田善臣,ブドー,三浦皇成
枠順,4,1,15,11,2,5,3,7,13,6,18,8,14,9,12,10,16,17
走破タイム,1:59.7,1:59.8,1:59.8,1:59.9,1:59.9,1:59.9,1:59.9,2:00.0,2:00.0,2:00.2,2:00.2,2:00.3,2:00.3,2:00.4,2:00.5,2:00.5,2:00.7,2:03.9
オッズ,11.0,4.7,2.8,119.3,34.6,8.0,18.7,47.8,32.8,88.1,91.2,31.6,19.1,4.9,103.6,117.7,139.6,250.3
通過順位,13-14-12,3-3-3,3-3-3,6-7-6,15-14-15,9-10-9,10-11-12,5-5-6,1-1-1,6-8-9,2-2-2,10-13-12,6-5-5,13-11-9,17-16-16,18-18-18,10-8-6,15-16-17
馬体重,506(-2),470(+2),474(0),452(-2),512(-2),490(+7),444(+6),508(-6),468(-10),510(+2),484(+4),498(+4),444(-2),496(-2),500(+4),516(-2),480(-10),490(-6)
性齢,牡5,牝5,牡3,牡5,牡6,牡4,牝4,牡4,牡5,牡7,牡6,牡5,牡5,牡5,牡7,牡7,牡8,牡7
斤量,58,56,56,58,58,58,56,58,58,58,58,58,58,58,58,58,58,58
上がり3ハロン,33.7,34.4,34.4,34.3,33.8,34.1,33.9,34.4,34.9,34.4,35.0,34.4,34.8,34.6,34.3,34.0,35.1,37.5
人気,5,2,1,16,10,4,6,11,9,12,13,8,7,3,14,15,17,18
