,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
馬名,ゼンノロブロイ,ダンスインザムード,アドマイヤグルーヴ,ツルマルボーイ,ローエングリン,ナリタセンチュリー,ヴィータローザ,トーセンダンディ,バランスオブゲーム,シルクフェイマス,テレグノシス,リンカーン,シェルゲーム,サクラプレジデント,マイソールサウンド,ヒシミラクル,ダイワメジャー,
騎手名,ペリエ,ルメール,武豊,蛯名正義,横山典弘,田島裕和,小牧太,江田照男,田中勝春,四位洋文,勝浦正樹,安藤勝己,岡部幸雄,松永幹夫,本田優,角田晃一,柴田善臣,
枠順,13,4,8,5,10,11,1,6,15,12,2,16,3,9,7,14,17,
走破タイム,1:58.9,1:59.1,1:59.3,1:59.3,1:59.5,1:59.6,2:00.2,2:00.3,2:00.5,2:00.6,2:00.6,2:00.7,2:00.8,2:00.8,2:01.1,2:02.7,2:02.9,
オッズ,3.4,38.3,17.0,8.6,10.7,13.9,85.2,65.4,13.9,10.2,6.4,9.6,50.7,23.9,87.4,19.8,37.5,
通過順位,11-8-9,3-3-3,9-8-8,13-11-13,1-1-1,15-15-15,17-17-17,5-5-5,5-8-9,9-11-11,16-15-15,11-13-11,2-2-2,8-7-5,3-3-3,13-14-13,5-5-5,
馬体重,498(+6),466(-8),464(-12),464(+6),484(+4),464(-4),470(+8),520(+6),470(-8),466(-4),472(-2),460(-6),430(-4),490(-2),468(0),454(0),520(0),
性齢,牡4,牝3,牝4,牡6,牡5,牡5,牡4,牡6,牡5,牡5,牡5,牡4,牡3,牡4,牡5,牡5,牡3,
斤量,58,54,56,58,58,58,58,58,58,58,58,58,56,58,58,58,56,
上がり3ハロン,34.4,34.9,34.9,34.5,35.7,34.5,34.8,36.0,36.0,36.0,35.5,36.1,36.8,36.5,36.9,37.8,38.6,
人気,1,13,9,3,6,7,16,15,8,5,2,4,14,11,17,10,12,
