,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
馬名,ヘヴンリーロマンス,ゼンノロブロイ,ダンスインザムード,アサクサデンエン,スイープトウショウ,ハーツクライ,ハットトリック,ストーミーカフェ,タップダンスシチー,ホオキパウェーブ,バランスオブゲーム,サンライズペガサス,スズカマンボ,テレグノシス,リンカーン,キングストレイル,アドマイヤグルーヴ,メイショウカイドウ
騎手名,松永幹夫,横山典弘,北村宏司,蛯名正義,池添謙一,ルメール,ペリエ,四位洋文,佐藤哲三,藤田伸二,田中勝春,後藤浩輝,安藤勝己,勝浦正樹,武豊,福永祐一,上村洋行,幸英明
枠順,1,13,12,5,14,10,4,11,6,7,18,16,2,15,3,8,17,9
走破タイム,2:00.1,2:00.1,2:00.1,2:00.3,2:00.4,2:00.4,2:00.5,2:00.6,2:00.6,2:00.6,2:00.7,2:00.7,2:00.8,2:00.9,2:00.9,2:01.1,2:01.1,2:01.3
オッズ,75.8,2.2,53.9,32.6,9.0,6.7,35.7,82.5,14.1,43.0,82.9,13.7,29.7,22.3,7.2,34.1,96.0,155.0
通過順位,8-8-8,6-6-8,4-3-3,4-5-5,11-10-10,8-10-10,11-12-13,1-1-1,2-2-2,6-6-5,3-3-3,11-8-7,8-12-13,15-16-16,14-15-16,17-18-18,15-12-12,17-16-15
馬体重,510(-2),500(0),468(-4),496(-6),464(-2),490(-6),490(+2),484(+2),520(+8),488(0),470(0),478(-8),480(-4),470(-2),474(0),486(-2),466(-8),518(+2)
性齢,牝5,牡5,牝4,牡6,牝4,牡4,牡4,牡3,牡8,牡4,牡6,牡7,牡4,牡6,牡5,牡3,牝5,牡6
斤量,56,58,56,58,56,58,58,56,58,58,58,58,58,58,58,56,56,58
上がり3ハロン,32.7,32.7,33.3,33.2,32.8,32.8,32.6,34.1,33.9,33.4,33.8,33.4,32.9,32.8,32.8,32.7,33.3,33.3
人気,14,1,13,9,4,2,11,15,6,12,16,5,8,7,3,10,17,18
