,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
馬名,レイデオロ,サングレーザー,キセキ,アルアイン,ミッキーロケット,サクラアンプルール,マカヒキ,ヴィブロス,ステファノス,スワーヴリチャード,アクションスター,ブラックムーン,ダンビュライト,,,,,
騎手名,ルメール,モレイラ,川田将雅,北村友一,和田竜二,田辺裕信,武豊,福永祐一,オドノヒ,Ｍ．デム,大野拓弥,横山典弘,戸崎圭太,,,,,
枠順,4,9,10,7,11,12,6,3,1,5,13,2,8,,,,,
走破タイム,1:56.8,1:57.0,1:57.0,1:57.2,1:57.2,1:57.6,1:57.7,1:57.7,1:58.1,1:58.3,1:59.7,2:00.1,,,,,,
オッズ,3.1,9.6,12.8,12.7,22.0,135.2,7.0,17.4,71.0,2.5,352.1,181.3,---,,,,,
通過順位,6-5-5,7-7-7,1-1-1,2-2-2,5-5-5,9-8-8,10-10-9,2-3-3,4-3-3,11-10-11,11-12-12,8-8-9,,,,,,
馬体重,482(-2),476(-12),496(-8),512(-6),474(-2),468(-12),494(-12),440(0),484(+2),510(+4),472(+2),484(-16),488(+6),,,,,
性齢,牡4,牡4,牡4,牡4,牡5,牡7,牡5,牝5,牡7,牡4,牡8,牡6,牡4,,,,,
斤量,58,58,58,58,58,58,58,56,58,58,58,58,58,,,,,
上がり3ハロン,33.6,33.4,34.7,34.5,34.0,33.8,33.7,34.7,35.2,34.1,35.3,36.1,,,,,,
人気,2,4,6,5,8,10,3,7,9,1,12,11,,,,,,
