,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
馬名,アーモンドアイ,フィエールマン,クロノジェネシス,ダノンプレミアム,キセキ,ダイワキャグニー,ジナンボー,カデナ,スカーレットカラー,ウインブライト,ブラストワンピース,ダノンキングリー,,,,,,
騎手名,ルメール,福永祐一,北村友一,川田将雅,武豊,内田博幸,Ｍ．デム,田辺裕信,岩田康誠,松岡正海,池添謙一,戸崎圭太,,,,,,
枠順,9,6,7,11,8,3,12,2,10,5,1,4,,,,,,
走破タイム,1:57.8,1:57.9,1:57.9,1:58.2,1:58.6,1:59.0,1:59.1,1:59.2,1:59.2,1:59.4,1:59.5,2:00.7,,,,,,
オッズ,1.4,17.4,4.4,21.6,16.7,89.8,89.0,146.1,42.3,180.6,32.3,13.3,,,,,,
通過順位,3-3-4,10-9-10,8-9-9,1-1-1,3-3-2,2-2-2,7-6-4,12-11-11,11-11-12,5-6-6,8-5-6,5-6-6,,,,,,
馬体重,490(+2),478(-12),464(0),496(-10),508(+6),496(-2),492(+6),478(+2),488(+14),484(0),550(+8),450(-6),,,,,,
性齢,牝5,牡5,牝4,牡5,牡6,セ6,牡5,牡6,牝5,牡6,牡5,牡4,,,,,,
斤量,56,58,56,58,58,58,58,58,56,58,58,58,,,,,,
上がり3ハロン,33.1,32.7,32.8,34.0,34.1,34.5,34.4,33.9,33.7,34.5,34.6,35.8,,,,,,
人気,1,5,2,6,4,10,9,11,8,12,7,3,,,,,,
