,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
馬名,ウオッカ,ダイワスカーレット,ディープスカイ,カンパニー,エアシェイディ,サクラメガワンダー,オースミグラスワン,アサクサキングス,キングストレイル,ドリームジャーニー,アドマイヤフジ,アドマイヤモナーク,エリモハリアー,ポップロック,ハイアーゲーム,トーセンキャプテン,タスカータソルテ,
騎手名,武豊,安藤勝己,四位洋文,横山典弘,後藤浩輝,福永祐一,蛯名正義,藤岡佑介,北村宏司,池添謙一,川田将雅,岩田康誠,吉田豊,内田博幸,柴田善臣,ペリエ,ルメール,
枠順,14,7,2,16,3,5,13,1,10,17,9,4,6,8,11,15,12,
走破タイム,1:57.2,1:57.2,1:57.2,1:57.2,1:57.3,1:57.5,1:57.5,1:57.7,1:57.7,1:58.0,1:58.0,1:58.2,1:58.3,1:58.3,1:58.4,1:58.6,1:58.8,
オッズ,2.7,3.6,4.1,52.8,33.6,32.1,43.1,21.2,109.2,14.6,57.9,69.4,201.8,40.1,84.4,71.5,20.6,
通過順位,7-7-7,1-1-1,6-5-5,16-16-16,8-7-8,9-9-9,14-15-15,5-5-5,2-3-3,17-17-16,2-4-3,12-12-12,14-14-13,12-12-13,9-10-9,2-2-2,9-10-9,
馬体重,490(0),498(0),510(+2),460(+10),490(-2),486(+2),532(+6),494(0),492(+8),420(+6),528(-2),458(-8),452(+2),498(-2),514(-6),492(-2),456(+6),
性齢,牝4,牝4,牡3,牡7,牡7,牡5,牡6,牡4,牡6,牡4,牡6,牡7,セ8,牡7,牡7,牡4,牡4,
斤量,56,56,56,58,58,58,58,58,58,58,58,58,58,58,58,58,58,
上がり3ハロン,34.4,35.2,34.5,33.5,34.4,34.5,34.0,35.0,35.3,34.2,35.6,35.0,34.9,35.0,35.3,36.4,35.7,
人気,1,2,3,11,8,7,10,6,16,4,12,13,17,9,15,14,5,
