,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
馬名,エフフォーリア,コントレイル,グランアレグリア,サンレイポケット,ヒシイグアス,ポタジェ,ペルシアンナイト,ラストドラフト,ユーキャンスマイル,ムイトオブリガード,ワールドプレミア,カレンブーケドール,モズベッロ,カイザーミノル,トーセンスーリヤ,カデナ,,
騎手名,横山武史,福永祐一,ルメール,鮫島克駿,松山弘平,川田将雅,大野拓弥,三浦皇成,藤岡佑介,柴田善臣,岩田康誠,戸崎圭太,池添謙一,横山典弘,横山和生,田辺裕信,,
枠順,5,1,9,8,15,4,13,12,16,11,7,14,3,10,6,2,,
走破タイム,1:57.9,1:58.0,1:58.1,1:58.4,1:58.7,1:58.7,1:58.7,1:58.9,1:59.0,1:59.1,1:59.1,1:59.2,1:59.3,1:59.3,1:59.4,1:59.7,,
オッズ,3.4,2.5,2.8,113.5,40.4,23.3,159.1,190.4,153.0,332.6,30.2,19.6,104.6,146.7,67.1,257.8,,
通過順位,6-6-6,9-8-8,2-2-2,10-6-6,7-8-8,4-3-3,15-15-14,7-10-11,13-14-14,11-12-11,14-13-11,4-3-3,11-10-8,1-1-1,2-3-3,16-16-16,,
馬体重,514(+4),464(-8),504(+2),472(0),492(+2),474(+2),490(-12),462(-6),500(-16),492(-10),482(-4),482(+2),482(+2),466(-2),488(0),478(+2),,
性齢,牡3,牡4,牝5,牡6,牡5,牡4,牡7,牡5,牡6,牡7,牡5,牝5,牡5,牡5,牡6,牡7,,
斤量,56,58,56,58,58,58,58,58,58,58,58,56,58,58,58,58,,
上がり3ハロン,33.2,33.0,33.8,33.6,33.7,34.1,33.1,33.6,33.4,33.8,33.7,34.7,34.2,35.0,34.8,33.8,,
人気,3,1,2,10,7,5,13,14,12,16,6,4,9,11,8,15,,
