,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
馬名,カンパニー,スクリーンヒーロー,ウオッカ,オウケンブルースリ,シンゲン,ドリームジャーニー,ヤマニンキングリー,エアシェイディ,エイシンデピュティ,アドマイヤフジ,スマイルジャック,キャプテントゥーレ,サクラメガワンダー,コスモバルク,サクラオリオン,ホッコーパドゥシャ,マツリダゴッホ,アサクサキングス
騎手名,横山典弘,北村宏司,武豊,内田博幸,藤田伸二,池添謙一,柴山雄一,後藤浩輝,戸崎圭太,スミヨン,三浦皇成,川田将雅,福永祐一,松岡正海,秋山真一,岩田康誠,蛯名正義,四位洋文
枠順,3,2,7,15,10,12,5,18,17,4,11,8,14,1,9,16,13,6
走破タイム,1:57.2,1:57.5,1:57.5,1:58.0,1:58.0,1:58.0,1:58.2,1:58.2,1:58.3,1:58.4,1:58.4,1:58.5,1:58.5,1:58.5,1:58.7,1:58.7,1:58.9,1:59.3
オッズ,11.5,31.4,2.1,8.0,7.4,10.7,46.4,67.4,84.6,94.4,69.7,16.0,39.6,131.5,105.3,115.2,33.2,47.5
通過順位,9-9-9,2-4-4,13-14-14,12-12-11,9-9-9,17-15-14,6-6-6,13-12-11,1-1-1,7-6-6,15-15-16,2-2-2,7-8-8,5-4-4,17-17-16,9-11-11,4-2-2,15-17-16
馬体重,466(+4),490(+12),498(0),482(-8),494(-2),422(0),480(+8),494(+2),510(-10),522(0),482(+2),460(+4),492(+2),504(-6),468(-6),472(-4),490(+4),500(-2)
性齢,牡8,牡5,牝5,牡4,牡6,牡5,牡4,牡8,牡7,牡7,牡4,牡4,牡6,牡8,牡7,牡7,牡6,牡5
斤量,58,58,56,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
上がり3ハロン,32.9,33.6,32.9,33.6,33.7,33.4,34.2,33.8,34.8,34.4,33.7,34.9,34.4,34.6,33.9,34.3,35.3,34.5
人気,5,7,1,3,2,4,10,12,14,15,13,6,9,18,16,17,8,11
