,0,1,2,3,4,5,6,7,8,9,10,11,12,13
芝適性,6.0,6.0,26.0,9.0,7.0,6.0,5.0,12.0,6.0,7.0,2.0,6.0,51.0,6.0
距離適性,73.0,72.0,63.0,66.0,74.0,73.0,64.0,63.0,53.0,62.0,99.0,61.0,79.0,69.0
脚質,107.0,92.0,54.0,81.0,35.0,97.0,108.0,44.0,27.0,23.0,105.0,81.0,42.0,100.0
成長,74.0,57.0,75.0,81.0,73.0,61.0,48.0,53.0,53.0,82.0,94.0,48.0,86.0,64.0
馬場適性,15.0,37.0,49.0,40.0,54.0,49.0,54.0,31.0,58.0,59.0,48.0,65.0,46.0,54.0
総合評価,4.35,4.23,3.78,4.3,4.16,3.82,4.31,4.3,3.67,4.12,3.77,3.73,3.0,3.52
実績評価,4.35,4.23,3.78,4.3,4.16,3.82,4.31,4.3,3.67,4.12,3.77,3.73,3.0,3.52
ポテンシャル評価,4.37,4.18,3.53,3.94,4.15,3.82,4.38,4.6,3.45,3.95,3.82,3.88,3.11,2.96
前走成績,1.0,10.0,16.0,3.0,14.0,3.0,7.0,8.0,7.0,11.0,16.0,11.0,15.0,16.0
前々走成績,2.0,3.0,5.0,3.0,17.0,11.0,1.0,13.0,6.0,10.0,9.0,12.0,10.0,17.0
前々前走成績,1.0,1.0,12.0,3.0,10.0,4.0,4.0,1.0,4.0,11.0,6.0,12.0,16.0,7.0
前走オッズ,1.6,4.9,48.1,3.7,169.9,5.0,3.2,10.2,151.1,70.1,279.2,18.6,166.5,26.1
前々走オッズ,,4.7,44.7,5.4,139.6,23.3,3.4,10.9,14.0,6.3,154.2,116.9,259.7,66.3
前々前走オッズ,,7.9,15.8,4.5,67.2,9.5,2.8,,48.8,85.4,48.2,51.6,45.8,95.6
