,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
芝適性,5,9,9,6,24,6,5,5,6,3,7,6,10,5,11,26
距離適性,100,66,66,72,87,61,54,73,102,58,62,61,85,100,90,63
脚質,107,95,81,92,93,105,78,24,27,55,23,81,40,111,83,54
成長,74,76,81,57,78,85,70,67,75,61,82,48,80,80,85,75
馬場適性,14,49,40,37,52,58,50,50,53,53,59,65,55,60,49,49
総合評価,4.16,3.87,4.3,4.23,3.88,3.75,3.56,3.79,3.64,3.36,4.12,3.73,3.6,3.48,3.38,3.78
実績評価,4.16,3.87,4.3,4.23,3.88,3.75,3.56,3.79,3.64,3.36,4.12,3.73,3.6,3.48,3.38,3.78
ポテンシャル評価,4.15,3.47,3.94,4.18,3.44,3.49,3.35,3.25,3.55,2.95,3.95,3.88,3.4,3.42,3.5,3.53
前走レース名,"<a href=""/race/201208040711/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/201207030111/"" title=""金鯱賞(G2)"">金鯱賞(G2)</a>","<a href=""/race/201205050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201205050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201208040711/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/201205050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201205040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201205050211/"" title=""アルゼンチン共和国杯(G2)"">アルゼンチン共和国杯(G2)</a>","<a href=""/race/201205050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201203030611/"" title=""福島記念(G3)"">福島記念(G3)</a>","<a href=""/race/201207030111/"" title=""金鯱賞(G2)"">金鯱賞(G2)</a>","<a href=""/race/201205050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/2012A4a00809/"" title=""BCターフ(G1)"">BCターフ(G1)</a>","<a href=""/race/201205050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201206050111/"" title=""ステイヤーズS(G2)"">ステイヤーズS(G2)</a>","<a href=""/race/201209050211/"" title=""ジャパンカップダート(G1)"">ジャパンカップダート(G1)</a>"
前走オッズ,1.4,7.3,5.4,13.9,22.3,18.6,17.0,3.8,43.2,4.9,6.3,48.2,,207.8,31.5,22.6
前走成績,1,1,3,9,2,4,9,1,7,1,10,16,4,14,5,12
2走前レース名,"<a href=""/race/201209040711/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/201205050211/"" title=""アルゼンチン共和国杯(G2)"">アルゼンチン共和国杯(G2)</a>","<a href=""/race/201205040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201205040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201206040511/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/201205040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201206040711/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201206040711/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201205050211/"" title=""アルゼンチン共和国杯(G2)"">アルゼンチン共和国杯(G2)</a>","<a href=""/race/201205040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201205040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201208040311/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/2012A4a00603/"" title=""アロヨセコマイル(G2)"">アロヨセコマイル(G2)</a>","<a href=""/race/201205050211/"" title=""アルゼンチン共和国杯(G2)"">アルゼンチン共和国杯(G2)</a>","<a href=""/race/201205040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201205040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>"
2走前オッズ,2.3,11.5,4.5,16.6,92.0,5.3,3.1,2.4,22.8,117.2,85.4,3.6,,7.3,260.9,58.6
2走前成績,1,5,3,1,2,4,1,4,4,10,11,6,2,7,14,18
3走前レース名,"<a href=""/race/201205021210/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/201208040210/"" title=""大原S(1600万下)"">大原S(1600万下)</a>","<a href=""/race/201209030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201205040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201204030510/"" title=""阿賀野川特別(1000万下)"">阿賀野川特別(1000万下)</a>","<a href=""/race/201201020211/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/201209030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201201010511/"" title=""札幌日経OP(OP)"">札幌日経OP(OP)</a>","<a href=""/race/201208040311/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/201206040711/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201209030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201205030211/"" title=""安田記念(G1)"">安田記念(G1)</a>","<a href=""/race/201205021212/"" title=""目黒記念(G2)"">目黒記念(G2)</a>","<a href=""/race/201208040311/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/201206040711/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201209030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>"
3走前オッズ,3.1,2.7,4.4,4.4,3.6,1.7,69.5,1.6,,13.7,21.4,14.2,4.7,24.1,182.9,8.6
3走前成績,5,1,2,9,6,2,8,1,取,2,7,13,9,2,13,12
