,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
芝適性,8,13,14,13,7,6,24,10,6,20,7,6,8,4,10,17
距離適性,75,57,48,74,104,71,68,82,80,60,55,112,71,80,67,61
脚質,36,5,10,45,76,104,47,24,48,6,84,25,60,105,10,35
成長,78,52,65,67,100,60,83,67,67,46,54,83,89,60,45,53
馬場適性,45,43,44,31,31,44,51,27,38,46,69,43,74,75,41,48
総合評価,3.92,4.56,4.27,3.25,3.75,3.91,3.5,4.14,3.5,3.59,4.3,3.9,3.0,3.9,3.0,3.88
実績評価,3.92,4.56,4.27,3.25,3.75,3.91,3.5,4.14,3.5,3.59,4.3,3.9,3.0,3.9,3.0,3.88
ポテンシャル評価,4.0,4.51,4.35,3.25,3.25,3.44,2.75,4.24,3.3,3.45,4.58,4.0,3.0,3.5,2.75,3.75
前走成績,7,1,3,12,11,11,3,8,15,10,8,16,9,6,11,取
前々走成績,17,2,1,3,5,9,1,6,11,12,1,10,14,8,8,9
前々前走成績,1,1,9,4,14,9,3,10,14,14,3,6,15,3,3,2
前走オッズ,9.4,2.6,15.2,6.9,51.4,11.5,3.5,8.4,22.7,89.9,,53.0,50.7,30.1,12.6,
前々走オッズ,33.2,3.6,3.8,4.1,17.5,23.1,3.1,6.5,17.3,123.9,3.6,47.6,15.6,24.6,4.3,74.8
前々前走オッズ,4.6,2.0,5.6,7.5,14.2,9.9,2.6,,123.9,131.5,2.1,36.5,12.5,112.9,5.9,8.3
