,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
芝適性,3,16,3,9,12,10,2,3,9,1,9,10,3,1,8,1
距離適性,106,41,97,77,60,105,81,97,73,47,61,52,73,58,78,58
脚質,3,39,99,87,102,95,105,106,78,86,103,108,66,68,21,78
成長,97,58,101,74,53,99,86,98,71,97,36,40,75,77,70,116
馬場適性,20,29,57,50,59,43,60,14,52,29,63,24,22,37,52,83
総合評価,4.58,3.77,3.72,3.96,4.07,4.09,3.7,4.17,3.29,3.88,4.0,4.2,3.88,3.5,3.84,3.61
実績評価,4.58,3.77,3.72,3.96,4.07,4.09,3.7,4.17,3.29,3.88,4.0,4.2,3.88,3.5,3.84,3.61
ポテンシャル評価,4.67,3.85,3.49,3.73,3.76,3.53,3.32,3.96,2.68,3.74,3.9,3.84,3.75,3.11,3.8,3.56
前走レース名,"<a href=""/race/201705050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201708050411/"" title=""エリザベス女王杯(G1)"">エリザベス女王杯(G1)</a>","<a href=""/race/201705050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201705050211/"" title=""アルゼンチン共和国杯(G2)"">アルゼンチン共和国杯(G2)</a>","<a href=""/race/201708050411/"" title=""エリザベス女王杯(G1)"">エリザベス女王杯(G1)</a>","<a href=""/race/201705050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201705050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201705050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201709050111/"" title=""チャレンジC(G3)"">チャレンジC(G3)</a>","<a href=""/race/201705050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201708050411/"" title=""エリザベス女王杯(G1)"">エリザベス女王杯(G1)</a>","<a href=""/race/201709050111/"" title=""チャレンジC(G3)"">チャレンジC(G3)</a>","<a href=""/race/201705050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201708050411/"" title=""エリザベス女王杯(G1)"">エリザベス女王杯(G1)</a>","<a href=""/race/201705050211/"" title=""アルゼンチン共和国杯(G2)"">アルゼンチン共和国杯(G2)</a>","<a href=""/race/201705040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>"
前走オッズ,2.1,15.1,13.3,2.0,6.2,48.2,102.0,57.7,3.5,116.5,7.2,3.7,5.7,86.7,31.7,52.5
前走成績,3,7,1,1,9,11,12,6,1,8,3,3,10,10,5,8
2走前レース名,"<a href=""/race/201705040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201705040411/"" title=""アイルランド府中牝馬(G2)"">アイルランド府中牝馬(G2)</a>","<a href=""/race/201708040311/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/201705021210/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/201706040711/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201705040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201708040311/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/201705040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201708040711/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/201705040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201709030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201708040711/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/201705040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201705040411/"" title=""アイルランド府中牝馬(G2)"">アイルランド府中牝馬(G2)</a>","<a href=""/race/201708040311/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/201701020211/"" title=""札幌記念(G2)"">札幌記念(G2)</a>"
2走前オッズ,3.1,6.1,2.2,5.9,7.8,30.6,4.2,59.6,14.7,15.9,10.4,33.3,4.0,14.5,83.4,19.9
2走前成績,1,4,3,2,1,15,13,3,10,11,3,12,2,5,8,1
3走前レース名,"<a href=""/race/201709030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201705020811/"" title=""ヴィクトリアマイル(G1)"">ヴィクトリアマイル(G1)</a>","<a href=""/race/201709030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201706030811/"" title=""皐月賞(G1)"">皐月賞(G1)</a>","<a href=""/race/201705020811/"" title=""ヴィクトリアマイル(G1)"">ヴィクトリアマイル(G1)</a>","<a href=""/race/201709030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201701020211/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/201709030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201706040511/"" title=""朝日セントライト記念(G2)"">朝日セントライト記念(G2)</a>","<a href=""/race/201701020211/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/201705020811/"" title=""ヴィクトリアマイル(G1)"">ヴィクトリアマイル(G1)</a>","<a href=""/race/201605050511/"" title=""東京スポーツ杯2歳S(G3)"">東京スポーツ杯2歳S(G3)</a>","<a href=""/race/201709030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201701010211/"" title=""クイーンS(G3)"">クイーンS(G3)</a>","<a href=""/race/2016G4110107/"" title=""メルボルンC(G1)"">メルボルンC(G1)</a>","<a href=""/race/201702020411/"" title=""函館記念(G3)"">函館記念(G3)</a>"
3走前オッズ,1.4,9.4,12.7,7.0,7.6,8.5,8.0,23.8,6.6,2.7,1.9,3.2,9.0,14.7,,21.3
3走前成績,9,6,8,6,10,4,4,5,3,3,7,1,1,2,23,9
