,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
芝適性,1.0,1.0,1.0,3.0,1.0,1.0,7.0,1.0,8.0,5.0,1.0,1.0,1.0,11.0,1.0,1.0
距離適性,72.0,113.0,63.0,65.0,110.0,111.0,78.0,97.0,99.0,91.0,82.0,102.0,69.0,48.0,114.0,58.0
脚質,25.0,13.0,76.0,113.0,1.0,43.0,97.0,74.0,116.0,42.0,39.0,97.0,1.0,75.0,109.0,91.0
成長,55.0,96.0,91.0,77.0,97.0,84.0,87.0,111.0,108.0,82.0,82.0,58.0,113.0,40.0,102.0,58.0
馬場適性,34.0,8.0,9.0,6.0,8.0,64.0,20.0,20.0,70.0,11.0,58.0,39.0,7.0,82.0,35.0,44.0
総合評価,4.49,4.18,4.35,4.41,4.73,4.13,3.45,3.69,3.67,4.4,3.64,3.64,4.09,4.04,3.61,3.06
実績評価,4.49,4.18,4.35,4.41,4.73,4.13,3.45,3.69,3.67,4.4,3.64,3.64,4.09,4.04,3.61,3.06
ポテンシャル評価,4.49,3.95,4.31,4.07,4.61,3.87,3.3,3.85,3.43,4.11,3.5,2.57,3.73,3.95,2.88,2.56
前走成績,6.0,4.0,3.0,9.0,1.0,17.0,8.0,8.0,13.0,10.0,3.0,8.0,8.0,14.0,13.0,11.0
前々走成績,9.0,2.0,7.0,2.0,1.0,6.0,10.0,13.0,5.0,10.0,12.0,9.0,1.0,3.0,9.0,8.0
前々前走成績,1.0,1.0,1.0,4.0,1.0,9.0,3.0,13.0,9.0,3.0,11.0,12.0,1.0,7.0,13.0,4.0
前走オッズ,3.3,5.6,2.9,5.7,4.2,10.3,41.8,146.2,78.6,43.8,18.9,10.2,10.2,62.3,210.3,30.9
前々走オッズ,1.5,2.1,4.8,1.8,4.9,47.7,20.4,278.8,23.8,37.4,12.4,89.9,4.5,10.0,123.3,8.1
前々前走オッズ,2.1,1.2,1.8,7.9,1.6,20.5,17.8,104.6,150.6,7.4,70.0,23.3,4.4,159.1,15.4,18.8
