,0,1,2,3,4,5,6,7,8,9,10,11,12,13
芝適性,13,8,5,6,25,15,9,10,10,16,20,8,11,7
距離適性,57,107,58,63,78,88,67,82,91,74,60,75,105,87
脚質,5,97,84,110,39,72,83,24,64,102,6,36,65,13
成長,52,95,76,70,80,76,61,67,77,62,46,78,81,61
馬場適性,43,63,62,61,50,53,40,27,57,52,46,45,60,52
総合評価,4.56,3.17,3.58,4.28,3.79,3.79,4.22,4.14,3.0,,3.59,3.92,3.33,3.78
実績評価,4.56,3.17,3.58,4.28,3.79,3.79,4.22,4.14,3.0,,3.59,3.92,3.33,3.78
ポテンシャル評価,4.51,3.17,3.42,4.26,3.6,3.64,4.22,4.24,2.5,,3.45,4.0,2.83,4.0
前走レース名,"<a href=""/race/200805040811/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200805050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200805040811/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200805040811/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200805050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200805050211/"" title=""アルゼンチン共和国杯(G2)"">アルゼンチン共和国杯(G2)</a>","<a href=""/race/200808050411/"" title=""エリザベス女王杯(G1)"">エリザベス女王杯(G1)</a>","<a href=""/race/200805050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200806050111/"" title=""ステイヤーズS(G2)"">ステイヤーズS(G2)</a>","<a href=""/race/200806050111/"" title=""ステイヤーズS(G2)"">ステイヤーズS(G2)</a>","<a href=""/race/200805050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200805050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200806050111/"" title=""ステイヤーズS(G2)"">ステイヤーズS(G2)</a>","<a href=""/race/200805050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>"
前走オッズ,3.6,119.1,33.6,14.6,41.0,2.4,1.8,6.5,3.8,7.9,107.8,8.0,11.9,12.9
前走成績,2,12,5,10,1,3,2,6,2,4,17,4,1,8
2走前レース名,"<a href=""/race/200809020411/"" title=""産経大阪杯(G2)"">産経大阪杯(G2)</a>","<a href=""/race/200805040811/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200806040611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/200809040210/"" title=""朝日チャレンジC(G3)"">朝日チャレンジC(G3)</a>","<a href=""/race/200805050211/"" title=""アルゼンチン共和国杯(G2)"">アルゼンチン共和国杯(G2)</a>","<a href=""/race/200808040211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/200805040411/"" title=""府中牝馬S(G3)"">府中牝馬S(G3)</a>","<a href=""/race/2008A8a00506/"" title=""凱旋門賞(G1)"">凱旋門賞(G1)</a>","<a href=""/race/200808040611/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/200808040611/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/2008M0a00108/"" title=""シンガポール航空国際(G1)"">シンガポール航空国際(G1)</a>","<a href=""/race/200806040611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/200805050211/"" title=""アルゼンチン共和国杯(G2)"">アルゼンチン共和国杯(G2)</a>","<a href=""/race/200805040811/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>"
2走前オッズ,2.0,69.4,8.4,1.7,8.9,2.0,2.3,,37.7,20.1,,1.4,32.6,21.2
2走前成績,1,12,5,1,1,5,2,10,2,6,6,1,15,8
3走前レース名,"<a href=""/race/200706050809/"" title=""有馬記念(G1)"">有馬記念(G1)</a>","<a href=""/race/200808040211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/200809030410/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200810020610/"" title=""小倉記念(G3)"">小倉記念(G3)</a>","<a href=""/race/200805040210/"" title=""オクトーバーS(1600万下)"">オクトーバーS(1600万下)</a>","<a href=""/race/200809030410/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200807020311/"" title=""金鯱賞(G2)"">金鯱賞(G2)</a>","<a href=""/race/200809030410/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200809040610/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200809040610/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200806030111/"" title=""日経賞(G2)"">日経賞(G2)</a>","<a href=""/race/200801010409/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/200801010809/"" title=""札幌日経OP(OP)"">札幌日経OP(OP)</a>","<a href=""/race/200809030410/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>"
3走前オッズ,8.1,16.3,36.3,4.2,5.1,7.7,10.0,2.1,128.6,81.5,21.8,2.3,4.5,8.7
3走前成績,2,2,7,1,2,10,3,2,12,4,4,2,3,5
