,0,1,2,3,4,5,6,7,8,9,10,11,12,13
芝適性,9.0,8.0,4.0,3.0,8.0,11.0,4.0,4.0,4.0,3.0,4.0,8.0,12.0,57.0
距離適性,71.0,80.0,88.0,106.0,57.0,61.0,75.0,76.0,74.0,41.0,109.0,101.0,63.0,46.0
脚質,87.0,3.0,19.0,33.0,35.0,48.0,111.0,99.0,105.0,5.0,96.0,24.0,16.0,101.0
成長,72.0,112.0,75.0,67.0,49.0,31.0,50.0,60.0,32.0,35.0,94.0,87.0,89.0,58.0
馬場適性,56.0,27.0,45.0,95.0,71.0,57.0,42.0,61.0,68.0,41.0,45.0,23.0,24.0,34.0
総合評価,4.38,4.29,3.25,4.08,4.15,3.5,4.33,,3.63,4.09,3.97,3.25,,3.5
実績評価,4.38,4.29,3.25,4.08,4.15,3.5,4.33,,3.63,4.09,3.97,3.25,,3.5
ポテンシャル評価,4.38,4.23,3.25,3.77,3.73,3.5,4.19,,3.88,4.14,4.08,3.25,,3.07
前走成績,1.0,12.0,5.0,4.0,9.0,11.0,7.0,14.0,9.0,3.0,16.0,7.0,13.0,10.0
前々走成績,3.0,10.0,6.0,10.0,1.0,4.0,5.0,9.0,12.0,2.0,3.0,17.0,14.0,13.0
前々前走成績,1.0,9.0,3.0,2.0,2.0,5.0,2.0,9.0,4.0,9.0,14.0,8.0,8.0,6.0
前走オッズ,2.6,19.7,207.3,10.6,4.5,14.4,4.5,38.8,21.1,4.5,6.0,82.9,62.7,57.2
前々走オッズ,1.9,17.2,3.9,3.9,2.2,9.0,4.2,48.4,19.7,2.9,14.8,168.4,70.6,18.3
前々前走オッズ,2.7,14.1,7.1,5.1,2.1,3.7,3.5,189.8,8.6,5.2,13.1,47.1,7.3,50.0
