,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
芝適性,4,3,2,1,9,3,15,2,1,4,21,11,4,24,5,10
距離適性,85,106,99,47,61,97,116,81,65,81,72,65,62,82,54,71
脚質,71,3,21,86,103,99,109,105,114,97,94,96,75,93,1,8
成長,49,97,99,97,36,101,107,86,58,93,61,83,62,76,89,84
馬場適性,42,20,35,29,63,57,44,60,22,26,46,61,57,60,38,29
総合評価,4.28,4.58,4.22,3.88,4.0,3.72,3.58,3.7,3.39,4.29,3.15,3.34,3.44,3.31,3.71,3.32
実績評価,4.28,4.58,4.22,3.88,4.0,3.72,3.58,3.7,3.39,4.29,3.15,3.34,3.44,3.31,3.71,3.32
ポテンシャル評価,4.14,4.67,4.09,3.74,3.9,3.49,3.58,3.32,3.24,4.08,3.06,2.98,2.87,2.92,3.33,2.93
前走成績,6,1,11,4,11,6,13,16,7,10,4,13,5,14,6,11
前々走成績,6,3,16,4,3,9,17,14,7,6,3,6,15,7,14,中
前々前走成績,1,1,11,10,3,8,2,9,2,5,11,12,2,8,11,4
前走オッズ,18.1,1.9,18.1,38.5,19.6,135.4,7.4,144.2,47.0,19.3,100.0,34.6,12.6,259.3,65.5,34.5
前々走オッズ,7.1,2.1,80.6,8.5,7.2,20.0,171.2,246.5,17.3,3.1,24.5,72.8,107.8,92.1,89.0,33.1
前々前走オッズ,2.3,3.1,4.3,24.6,10.4,11.7,3.7,53.3,8.5,2.9,51.5,95.8,89.2,134.5,92.4,10.5
