,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
芝適性,6,3,5,4,4,8,63,26,1,3,4,2,5,7,19,5
距離適性,73,96,100,62,57,78,91,63,58,58,81,58,54,74,62,73
脚質,107,109,107,87,13,21,98,54,72,95,102,29,78,35,70,24
成長,74,76,74,72,70,70,69,75,66,74,77,89,70,73,59,67
馬場適性,15,32,14,62,55,52,54,49,58,49,27,67,50,54,40,50
総合評価,4.35,4.09,4.16,3.5,3.5,3.84,3.44,3.78,3.0,3.05,4.17,4.14,3.56,4.16,3.24,3.79
実績評価,4.35,4.09,4.16,3.5,3.5,3.84,3.44,3.78,3.0,3.05,4.17,4.14,3.56,4.16,3.24,3.79
ポテンシャル評価,4.37,3.75,4.15,3.36,3.04,3.8,3.0,3.53,3.08,3.0,4.31,4.21,3.35,4.15,2.98,3.25
前走レース名,"<a href=""/race/2013A8a01805/"" title=""凱旋門賞(G1)"">凱旋門賞(G1)</a>","<a href=""/race/201307040111/"" title=""金鯱賞(G2)"">金鯱賞(G2)</a>","<a href=""/race/201305050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201303030611/"" title=""福島記念(G3)"">福島記念(G3)</a>","<a href=""/race/201309050311/"" title=""朝日チャレンジC(G3)"">朝日チャレンジC(G3)</a>","<a href=""/race/201307040111/"" title=""金鯱賞(G2)"">金鯱賞(G2)</a>","<a href=""/race/201306050111/"" title=""ステイヤーズS(G2)"">ステイヤーズS(G2)</a>","<a href=""/race/201307040111/"" title=""金鯱賞(G2)"">金鯱賞(G2)</a>","<a href=""/race/201309050311/"" title=""朝日チャレンジC(G3)"">朝日チャレンジC(G3)</a>","<a href=""/race/201305040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201305050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201307040111/"" title=""金鯱賞(G2)"">金鯱賞(G2)</a>","<a href=""/race/201305050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201305050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201305040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201305050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>"
前走オッズ,,11.0,3.4,18.7,5.8,6.6,3.0,8.9,25.0,38.7,21.1,9.4,54.4,100.3,32.1,25.7
前走成績,2,3,15,3,6,1,1,4,14,8,4,2,9,3,16,6
2走前レース名,"<a href=""/race/2013A8a00d06/"" title=""フォワ賞(G2)"">フォワ賞(G2)</a>","<a href=""/race/201209030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201308040211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/201302040211/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/201308040711/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/201302030411/"" title=""札幌日経OP(OP)"">札幌日経OP(OP)</a>","<a href=""/race/201305050211/"" title=""アルゼンチン共和国杯(G2)"">アルゼンチン共和国杯(G2)</a>","<a href=""/race/201305040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201308050410/"" title=""アンドロメダS(OP)"">アンドロメダS(OP)</a>","<a href=""/race/201306040711/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201305050211/"" title=""アルゼンチン共和国杯(G2)"">アルゼンチン共和国杯(G2)</a>","<a href=""/race/201310020411/"" title=""小倉記念(G3)"">小倉記念(G3)</a>","<a href=""/race/201305040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201305040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201306040711/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201305050211/"" title=""アルゼンチン共和国杯(G2)"">アルゼンチン共和国杯(G2)</a>"
2走前オッズ,,7.9,1.2,74.4,43.8,1.7,23.5,51.2,5.1,38.0,6.9,8.2,85.8,59.7,3.0,4.6
2走前成績,1,4,5,10,8,8,6,12,5,1,2,2,6,11,3,3
